component,manufacturer,sku,unit_price_usd,uom,quote_valid_through,lead_time_business_days,supplier,quantity_tier,notes
Monocrystalline PV panel 400W,Qcells,QPEAK-DUO-G10-400,212.40,each,2026-10-21,7,Brewster Electric,1-49,8.4 kW reference array uses 21 panels
Monocrystalline PV panel 400W,Qcells,QPEAK-DUO-G10-400,203.80,each,2026-10-21,7,Brewster Electric,50+,Volume tier
String inverter 7.6 kW,Enphase,IQ8M-7.6,1480.00,each,2026-10-21,18,Brewster Electric,1-4,Lead time pushed since Q3
String inverter 7.6 kW,SolarEdge,SE7600H-US,1395.00,each,2026-10-21,12,Brewster Electric,1-4,Alternative
Microinverter,Enphase,IQ8PLUS-72-M-US,178.00,each,2026-10-21,18,Brewster Electric,1-99,One per panel
Rail rack 14ft,IronRidge,XR1000-204A,98.50,each,2026-10-21,5,Brewster Electric,1-99,
Roof attachment - shingle,IronRidge,FF2-MILL-M1,16.80,each,2026-10-21,5,Brewster Electric,1-99,16 per typical install
Grounding lug,Burndy,KC22U,8.40,each,2026-10-21,5,Brewster Electric,1-99,
DC disconnect 60A,Eaton,DG222NRB,148.00,each,2026-10-21,7,Brewster Electric,1-9,
AC disconnect 60A,Eaton,DH362NRK,182.00,each,2026-10-21,7,Brewster Electric,1-9,
PV wire 10AWG (per ft),Service Wire,USE-2-10BLK,1.18,foot,2026-10-21,3,Brewster Electric,1-999,Typical install 600 ft
EMT conduit 3/4in (per ft),Allied,EMT-075,1.42,foot,2026-10-21,3,Brewster Electric,1-999,Typical install 80 ft AC side
Production meter,Itron,CL200-PROD,165.00,each,2026-10-21,7,Brewster Electric,1-9,
System monitoring (Enphase Envoy),Enphase,IQ-COMBINER-4,612.00,each,2026-10-21,18,Brewster Electric,1-9,
Permit fees and engineering letter,Various,N/A,485.00,lot,2026-12-31,N/A,Internal,1,Standard residential WI permit + PE stamp
