month,stripe_usd,square_usd,paypal_usd,total_usd,qb_posted_usd,reconciliation_delta_usd,notes
2025-10,9420.00,3180.00,640.00,13240.00,13240.00,0.00,
2025-11,11250.00,2840.00,420.00,14510.00,14510.00,0.00,
2025-12,14820.00,2110.00,860.00,17790.00,17790.00,0.00,Year-end push
2026-01,7180.00,1980.00,310.00,9470.00,9470.00,0.00,
2026-02,8240.00,2630.00,540.00,11410.00,11410.00,0.00,
2026-03,10590.00,3120.00,720.00,14430.00,14430.00,0.00,
2026-04,12480.00,3650.00,890.00,17020.00,17020.00,0.00,
2026-05,15310.00,4220.00,1040.00,20570.00,20570.00,0.00,Harborview progress billing 1
2026-06,16880.00,3940.00,920.00,21740.00,21740.00,0.00,
2026-07,17420.00,4580.00,1180.00,23180.00,22980.00,200.00,Two Square deposits posting in next period
2026-08,18250.00,4310.00,1020.00,23580.00,23580.00,0.00,
2026-09,17900.00,4140.00,890.00,22930.00,22550.00,380.00,Stripe payout in transit at month-end
