component,manufacturer,sku,unit_price_usd,uom,quote_valid_through,lead_time_business_days,supplier,notes
EMT conduit 1/2in oil-rubbed bronze,Wheatland,EMT-050-ORB,4.85,foot,2026-10-21,12,Brewster Electric,Historic-permit compliant for 1st floor visible runs
EMT conduit 3/4in oil-rubbed bronze,Wheatland,EMT-075-ORB,6.20,foot,2026-10-21,12,Brewster Electric,Historic-permit compliant
EMT conduit 1/2in galvanized,Allied,EMT-050,1.18,foot,2026-10-21,3,Midwest Conduit,NOT permitted on 1st floor visible runs per HPC amendment 09/24/2026
EMT conduit 3/4in galvanized,Allied,EMT-075,1.42,foot,2026-10-21,3,Midwest Conduit,NOT permitted on 1st floor visible runs per HPC amendment
Romex 12-2 NM-B (per ft),Southwire,12-2-NMB,0.78,foot,2026-10-21,3,Brewster Electric,Standard for hidden runs
Romex 14-2 NM-B (per ft),Southwire,14-2-NMB,0.62,foot,2026-10-21,3,Brewster Electric,
Romex 12-3 NM-B (per ft),Southwire,12-3-NMB,1.12,foot,2026-10-21,3,Brewster Electric,
Old-work junction box (single gang),Carlon,B118A-UPC,3.20,each,2026-10-21,3,Brewster Electric,For fish-behind installs per HPC amendment
Old-work junction box (double gang),Carlon,B232A-UPC,5.40,each,2026-10-21,3,Brewster Electric,
Period-correct surface raceway 1ft,Wiremold,V500-ORB,9.85,foot,2026-10-21,12,Brewster Electric,For rooms 1A 1B and stair hall where plaster cuts prohibited
Toggle switch single-pole satin brass,Lutron,AY-600P-SB,28.40,each,2026-10-21,7,Brewster Electric,Only approved switch finish on 1st floor per HPC
Toggle switch 3-way satin brass,Lutron,AY-603P-SB,34.20,each,2026-10-21,7,Brewster Electric,
Decora-style switch white,Leviton,5601-2W,2.40,each,2026-10-21,3,Brewster Electric,NOT approved on 1st floor per HPC
Outlet duplex tamper-resistant brass plate,Leviton,T5325-W + brass plate,18.60,each,2026-10-21,5,Brewster Electric,
GFCI outlet 15A,Leviton,GFNT1-W,24.80,each,2026-10-21,5,Brewster Electric,
AFCI breaker 15A,Square D,HOM115AFI,52.40,each,2026-10-21,5,Brewster Electric,
AFCI/GFCI dual breaker 20A,Square D,HOM120DFC,68.90,each,2026-10-21,5,Brewster Electric,
Service panel 200A 40-space,Square D,HOM4080M200PCVP,389.00,each,2026-10-21,7,Brewster Electric,Existing service to be replaced
Grounding rod 8ft copper,ERICO,615840UPC,28.40,each,2026-10-21,3,Brewster Electric,
Ground wire 6AWG bare copper (per ft),Southwire,6-BARE-CU,2.85,foot,2026-10-21,3,Brewster Electric,
Wire nuts assortment kit,Ideal,WT5-B,18.40,each,2026-10-21,3,Brewster Electric,
Sunroom subpanel (work held until owner returns),Square D,HOM816L100PRBVP,142.00,each,2026-10-21,7,Brewster Electric,Do not install before Nov 20 2026 per owner note
Period-style brass cover plate single,Restoration Hardware,RH-BCP-1,14.20,each,2026-10-21,21,Brewster Electric,Long lead - order by Oct 12
Period-style brass cover plate double,Restoration Hardware,RH-BCP-2,18.40,each,2026-10-21,21,Brewster Electric,Long lead
LB conduit body 1/2in bronze,Crouse-Hinds,LB17-ORB,38.80,each,2026-10-21,12,Brewster Electric,
Box extension ring,Raco,8231,2.80,each,2026-10-21,3,Brewster Electric,
