date,event,time,location,parent_required,notes
2026-10-04,Fall band concert,19:00,Bay View HS Auditorium,yes,Yuna plays clarinet
2026-10-11,Homecoming dance,19:00,Bay View HS Gym,no,Mina handling dress
2026-10-18,SAT prep workshop,09:00,Bay View HS Library,no,3 hour session
2026-10-25,Cross country invitational,08:00,Whitnall Park,optional,Yuna running JV
2026-11-01,Parent-teacher conferences,15:00,Bay View HS,yes,Jae or Mina
2026-11-08,Fall play - Our Town,19:00,Bay View HS Auditorium,yes,Yuna stage crew
2026-11-15,Academic awards ceremony,10:00,Bay View HS Commons,yes,Honor roll
2026-11-22,Thanksgiving break begins,,,,No school Nov 25-29
2026-12-13,Winter band concert,19:00,Bay View HS Auditorium,yes,
2026-12-20,Last day before break,,,,
