Date	Opponent	Color	TimeControl	Result	RatingAfter
2025-11-03	nightowl_84	White	15+10	Win	1638
2025-11-09	caro_kann_fan	Black	15+10	Draw	1641
2025-11-17	rook_lift	White	10+5	Loss	1629
2025-11-24	endgame_ed	Black	15+10	Win	1644
2025-12-01	silent_bishop	White	15+10	Win	1652
2025-12-08	g6_grinder	Black	10+5	Loss	1640
2025-12-15	tactics_tom	White	15+10	Win	1651
2025-12-22	prophylaxis	Black	15+10	Draw	1653
2026-01-05	zugzwang_z	White	15+10	Win	1662
2026-01-12	passed_pawn	Black	10+5	Loss	1649
2026-01-19	najdorf_no9	White	15+10	Win	1658
2026-01-26	kingside_storm	Black	15+10	Win	1666
2026-02-02	quiet_queen	White	15+10	Draw	1664
2026-02-09	time_scramble	Black	10+5	Win	1671
2026-02-16	fianchetto_f	White	15+10	Loss	1659
