water_id,date,cups,notes
1,2025-07-01,9,
2,2025-07-02,4,
3,2025-07-03,8,"Long shift, low water"
4,2025-07-04,11,Good day
5,2025-07-05,5,"Long shift, low water"
6,2025-07-06,8,
7,2025-07-07,6,"Long shift, low water"
8,2025-07-08,10,"Long shift, low water"
9,2025-07-09,10,
10,2025-07-10,5,Good day
11,2025-07-11,6,
12,2025-07-12,9,Good day
13,2025-07-13,9,Good day
14,2025-07-14,12,Good day
15,2025-07-15,7,
16,2025-07-16,5,Good day
17,2025-07-17,8,Good day
18,2025-07-18,5,Good day
19,2025-07-19,9,Good day
20,2025-07-20,11,
21,2025-07-21,12,"Long shift, low water"
22,2025-07-22,7,
23,2025-07-23,4,Good day
24,2025-07-24,7,Good day
25,2025-07-25,12,"Long shift, low water"
26,2025-07-26,9,Good day
27,2025-07-27,6,"Long shift, low water"
28,2025-07-28,10,Good day
29,2025-07-29,5,Good day
30,2025-07-30,8,
31,2025-07-31,8,"Long shift, low water"
32,2025-08-01,6,"Long shift, low water"
33,2025-08-02,10,Good day
34,2025-08-03,12,
35,2025-08-04,8,"Long shift, low water"
36,2025-08-05,10,"Long shift, low water"
37,2025-08-06,5,"Long shift, low water"
38,2025-08-07,7,
39,2025-08-08,12,
40,2025-08-09,11,Good day
41,2025-08-10,10,Good day
42,2025-08-11,6,Good day
43,2025-08-12,6,Good day
44,2025-08-13,8,Good day
45,2025-08-14,7,
46,2025-08-15,12,Good day
47,2025-08-16,5,Good day
48,2025-08-17,6,Good day
49,2025-08-18,5,Good day
50,2025-08-19,5,
51,2025-08-20,7,Good day
52,2025-08-21,12,"Long shift, low water"
53,2025-08-22,5,"Long shift, low water"
54,2025-08-23,5,Good day
55,2025-08-24,12,Good day
56,2025-08-25,7,"Long shift, low water"
57,2025-08-26,7,
58,2025-08-27,11,"Long shift, low water"
59,2025-08-28,10,Good day
60,2025-08-29,9,Good day
61,2025-08-30,8,Good day
62,2025-08-31,4,
63,2025-09-01,6,Good day
64,2025-09-02,6,"Long shift, low water"
65,2025-09-03,10,Good day
66,2025-09-04,11,Good day
67,2025-09-05,12,"Long shift, low water"
68,2025-09-06,5,Good day
69,2025-09-07,5,
70,2025-09-08,4,"Long shift, low water"
71,2025-09-09,10,"Long shift, low water"
72,2025-09-10,4,
73,2025-09-11,5,Good day
74,2025-09-12,4,
75,2025-09-13,10,"Long shift, low water"
76,2025-09-14,8,"Long shift, low water"
77,2025-09-15,11,Good day
78,2025-09-16,8,Good day
79,2025-09-17,12,"Long shift, low water"
80,2025-09-18,4,
81,2025-09-19,5,Good day
82,2025-09-20,9,Good day
83,2025-09-21,7,
84,2025-09-22,10,
85,2025-09-23,7,Good day
