food_id,food_name,brand,serving_size,serving_unit,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g,potassium_mg,is_verified
1,Oatmeal (cooked),Homemade,2,cup,346,20.7,7.9,72,50,21.3,9.0,4.4,34.9,72,false
2,Grilled Chicken Breast,La Costena,4,cup,225,6.0,5.1,35,693,10.6,0.8,11.2,17.2,487,true
3,Black Beans,,4,oz,319,20.5,7.3,45,149,11.9,7.7,4.8,22.6,218,true
4,Corn Tortilla,Homemade,1,oz,73,14.4,6.0,60,489,21.0,4.7,8.6,10.9,169,true
5,Carnitas,La Costena,2,cup,471,5.7,6.8,8,354,22.9,7.7,12.6,27.9,231,true
6,Pozole,,2,bowl,288,19.0,5.9,2,82,12.5,1.8,9.7,19.7,23,false
7,Mole Negro,Homemade,4,cup,399,14.9,3.9,14,72,3.8,4.7,5.2,18.5,123,false
8,Cafe de Olla,Aurora Organics,1,bowl,141,10.8,5.2,14,462,36.1,8.6,14.3,15.2,238,true
9,Greek Yogurt,,4,oz,129,4.8,3.1,76,535,19.3,7.9,4.2,2.9,57,true
10,Avocado,,1,oz,109,16.9,5.8,24,248,31.6,1.3,15.2,29.7,161,false
11,Brown Rice,Aurora Organics,2,cup,105,16.4,3.6,21,416,4.6,6.7,15.3,0.4,130,false
12,Nopales,Homemade,2,cup,229,8.9,4.6,109,310,8.3,0.3,17.5,26.5,58,true
13,Queso Fresco,Homemade,4,oz,302,6.1,7.4,88,194,18.8,2.3,17.9,6.4,33,true
14,Tamales,Aurora Organics,1,bowl,114,4.6,2.6,38,220,22.8,3.8,9.6,17.7,44,true
15,Salsa Verde,Homemade,4,bowl,379,11.3,6.9,24,167,11.9,1.9,4.1,18.4,95,false
16,Cafe de Olla 15,,2,cup,388,1.4,3.8,66,199,18.7,3.7,8.9,28.9,110,true
17,Brown Rice 16,,1,cup,295,14.3,1.6,110,694,42.2,0.5,12.1,24.6,412,false
