weight_id,date,weight_lbs,notes
1,2025-07-01,138.2,Night float week
2,2025-07-03,138.0,Night float week
3,2025-07-05,137.6,After long run
4,2025-07-09,137.3,Post-call
5,2025-07-14,137.0,
6,2025-07-18,136.4,
7,2025-07-23,137.0,Post-call
8,2025-07-25,137.3,Post-call
9,2025-07-27,137.3,After long run
10,2025-08-01,137.8,Night float week
11,2025-08-04,137.6,After long run
12,2025-08-08,137.3,After long run
13,2025-08-11,137.7,After long run
14,2025-08-13,138.0,
15,2025-08-15,137.6,Post-call
16,2025-08-18,137.0,After long run
17,2025-08-23,137.4,
18,2025-08-25,137.8,Night float week
19,2025-08-27,137.9,Post-call
20,2025-09-01,138.1,Post-call
21,2025-09-04,137.6,Night float week
22,2025-09-08,138.1,Post-call
23,2025-09-10,137.8,Post-call
24,2025-09-12,137.7,Night float week
25,2025-09-16,137.6,Night float week
26,2025-09-18,137.1,
27,2025-09-22,136.7,After long run
28,2025-09-26,137.2,Night float week
29,2025-10-01,136.7,Night float week
30,2025-10-03,136.2,Post-call
31,2025-10-06,136.6,Post-call
32,2025-10-08,137.0,After long run
33,2025-10-13,137.3,After long run
34,2025-10-15,137.0,Night float week
35,2025-10-19,136.7,After long run
36,2025-10-22,136.3,After long run
37,2025-10-27,135.9,After long run
38,2025-10-29,135.3,Night float week
39,2025-10-31,135.2,Night float week
40,2025-11-03,135.5,
41,2025-11-05,135.4,Post-call
42,2025-11-08,135.7,Post-call
43,2025-11-13,135.1,Night float week
44,2025-11-15,135.0,After long run
45,2025-11-19,135.6,
46,2025-11-24,136.1,Post-call
47,2025-11-28,136.0,After long run
48,2025-12-02,136.3,After long run
49,2025-12-07,136.5,
50,2025-12-10,136.8,
51,2025-12-12,137.0,Post-call
52,2025-12-16,137.0,Night float week
53,2025-12-21,137.3,After long run
54,2025-12-23,137.5,After long run
55,2025-12-27,136.9,
56,2025-12-30,136.4,Post-call
57,2026-01-04,136.7,Night float week
58,2026-01-08,136.7,
59,2026-01-11,136.8,Post-call
60,2026-01-14,137.3,Night float week
61,2026-01-18,137.2,Night float week
62,2026-01-20,137.2,
63,2026-01-22,136.9,After long run
64,2026-01-24,137.5,Post-call
65,2026-01-28,137.8,Post-call
66,2026-01-31,138.2,Post-call
67,2026-02-04,138.0,After long run
68,2026-02-09,138.4,After long run
69,2026-02-11,138.9,Night float week
70,2026-02-14,138.3,Post-call
71,2026-02-18,138.0,Night float week
72,2026-02-21,137.5,Night float week
73,2026-02-24,138.0,
74,2026-02-27,137.7,After long run
75,2026-03-03,137.4,Post-call
76,2026-03-05,137.2,Post-call
77,2026-03-09,137.3,After long run
78,2026-03-14,137.6,Night float week
79,2026-03-18,137.9,Night float week
80,2026-03-23,138.5,
81,2026-03-25,138.0,
82,2026-03-27,138.0,After long run
83,2026-03-31,138.3,
84,2026-04-02,138.0,
85,2026-04-04,138.6,Night float week
86,2026-04-07,139.2,Post-call
87,2026-04-09,138.8,
88,2026-04-14,139.3,After long run
89,2026-04-17,139.2,
90,2026-04-20,138.7,After long run
91,2026-04-25,139.2,Night float week
92,2026-04-28,138.7,Night float week
93,2026-04-30,138.2,After long run
94,2026-05-03,138.5,After long run
95,2026-05-06,138.2,After long run
96,2026-05-11,138.3,
97,2026-05-14,138.6,
98,2026-05-19,138.7,
99,2026-05-24,138.6,After long run
100,2026-05-27,138.1,Night float week
101,2026-06-01,137.5,Night float week
102,2026-06-04,137.2,Night float week
103,2026-06-09,137.8,Night float week
104,2026-06-12,137.2,
105,2026-06-14,137.5,Post-call
106,2026-06-17,137.5,After long run
107,2026-06-21,136.9,Post-call
108,2026-06-25,136.4,Post-call
109,2026-06-28,136.0,After long run
110,2026-07-01,135.5,After long run
111,2026-07-04,135.9,
112,2026-07-06,136.3,Post-call
113,2026-07-10,136.9,After long run
114,2026-07-15,136.6,Night float week
115,2026-07-18,136.4,Post-call
116,2026-07-23,136.1,
117,2026-07-27,136.7,Post-call
