Date	Activity	Route	Distance_mi	Moving_Time	Avg_HR_bpm	Max_HR_bpm	Elevation_ft	Avg_Power_W	Device	Notes
2026-01-03	Endurance ride	Folsom Lake loop	42.1	2:31:18	138	161	1840	172	Garmin Edge 530	Saturday with Marcus, steady not fast
2026-01-07	Recovery spin	American River Trail	18.4	1:06:02	121	139	320	118	Garmin Edge 530	easy legs, light rain
2026-01-10	Hill repeats	Latrobe Rd	50.6	3:12:44	144	168	3120	181	Garmin Edge 530	Saturday with Marcus, climbing focus
2026-01-14	Tempo	River Road to Clarksburg	22.7	1:14:51	149	164	240	196	Garmin Edge 530	two by twelve tempo blocks
2026-01-17	Long endurance	Sloughhouse loop	55.3	3:28:09	140	166	2010	176	Garmin Edge 530	Saturday with Marcus, Century base
2026-01-21	Recovery spin	Land Park to Pocket	16.2	0:58:40	119	134	180	112	Garmin Edge 530	shoulder a bit stiff, kept it easy
2026-01-24	Gold Country preview	Latrobe to Plymouth	60.4	3:54:27	142	170	3680	178	Garmin Edge 530	Saturday with Marcus, route scouting
2026-01-28	Intervals	American River Trail	20.1	1:09:33	151	172	300	201	Garmin Edge 530	four by eight VO2
2026-01-31	Endurance ride	Folsom to Auburn	58.7	3:41:55	139	165	3240	174	Garmin Edge 530	Saturday with Marcus
2026-02-04	Tempo	River Road	24.3	1:20:12	148	163	260	193	Garmin Edge 530	negative split
2026-02-07	Hill repeats	Latrobe Rd	52.0	3:18:06	145	169	3260	182	Garmin Edge 530	Saturday with Marcus
2026-02-11	Recovery spin	American River Trail	16.8	1:01:14	120	136	220	115	Garmin Edge 530	legs heavy after clinic week
2026-02-14	Long endurance	Sloughhouse loop	64.2	4:02:38	141	167	2360	175	Garmin Edge 530	Saturday with Marcus, longest of block
2026-02-18	Tempo	River Road to Clarksburg	23.6	1:18:44	147	162	240	191	Garmin Edge 530	steady
2026-02-21	Gold Country foothills	Plymouth to Fiddletown	66.5	4:21:50	143	171	4120	179	Garmin Edge 530	Saturday with Marcus, Century specific
2026-02-25	Recovery spin	Land Park loop	18.0	1:05:27	118	133	160	110	Garmin Edge 530	taper week ahead
