album_id,name,artist_id,album_type,release_date,total_tracks,label
al_0000,Album 0,ar_0062,album,2025-02-23,12,Label
al_0001,Album 1,ar_0012,single,2025-07-25,17,Label
al_0002,Album 2,ar_0010,album,2025-04-10,15,Label
al_0003,Album 3,ar_0038,compilation,2025-12-05,4,Label
al_0004,Album 4,ar_0013,album,2023-12-01,2,Label
al_0005,Album 5,ar_0023,compilation,2022-12-28,16,Label
al_0006,Album 6,ar_0078,compilation,2026-03-01,6,Label
al_0007,Album 7,ar_0042,compilation,2020-03-20,2,Label
al_0008,Album 8,ar_0065,single,2023-04-05,16,Label
al_0009,Album 9,ar_0075,album,2024-03-25,4,Label
al_0010,Album 10,ar_0007,single,2023-12-05,13,Label
al_0011,Album 11,ar_0086,compilation,2022-03-24,1,Label
al_0012,Album 12,ar_0033,compilation,2023-02-04,19,Label
al_0013,Album 13,ar_0098,single,2022-04-05,17,Label
al_0014,Album 14,ar_0073,compilation,2022-04-05,13,Label
al_0015,Album 15,ar_0057,album,2026-03-21,17,Label
al_0016,Album 16,ar_0034,single,2020-07-15,4,Label
al_0017,Album 17,ar_0060,single,2026-05-20,10,Label
al_0018,Album 18,ar_0028,single,2026-02-10,11,Label
al_0019,Album 19,ar_0082,album,2024-05-18,7,Label
al_0020,Album 20,ar_0006,compilation,2024-10-06,6,Label
al_0021,Album 21,ar_0063,single,2021-07-19,20,Label
al_0022,Album 22,ar_0038,single,2022-06-16,18,Label
al_0023,Album 23,ar_0036,album,2024-07-21,14,Label
al_0024,Album 24,ar_0059,album,2026-10-26,16,Label
al_0025,Album 25,ar_0098,single,2024-04-14,4,Label
al_0026,Album 26,ar_0085,compilation,2023-09-09,17,Label
al_0027,Album 27,ar_0028,compilation,2020-11-02,4,Label
al_0028,Album 28,ar_0008,album,2024-09-05,16,Label
al_0029,Album 29,ar_0077,single,2022-12-21,14,Label
al_0030,Album 30,ar_0100,single,2026-10-20,8,Label
al_0031,Album 31,ar_0082,album,2023-12-20,9,Label
al_0032,Album 32,ar_0012,album,2023-12-20,13,Label
al_0033,Album 33,ar_0089,single,2023-03-24,1,Label
al_0034,Album 34,ar_0077,compilation,2021-07-16,18,Label
al_0035,Album 35,ar_0077,album,2026-03-26,4,Label
al_0036,Album 36,ar_0015,compilation,2024-08-06,2,Label
al_0037,Album 37,ar_0019,compilation,2021-04-21,19,Label
al_0038,Album 38,ar_0003,album,2025-04-24,2,Label
al_0039,Album 39,ar_0034,album,2023-12-12,12,Label
al_0040,Album 40,ar_0093,compilation,2023-08-19,9,Label
al_0041,Album 41,ar_0093,single,2021-10-04,1,Label
al_0042,Album 42,ar_0046,single,2020-10-25,14,Label
al_0043,Album 43,ar_0097,album,2025-08-01,13,Label
al_0044,Album 44,ar_0074,album,2025-03-15,8,Label
al_0045,Album 45,ar_0058,compilation,2023-05-20,3,Label
al_0046,Album 46,ar_0003,single,2025-02-02,6,Label
al_0047,Album 47,ar_0072,single,2026-04-11,19,Label
al_0048,Album 48,ar_0026,compilation,2025-09-18,14,Label
al_0049,Album 49,ar_0080,album,2026-06-03,1,Label
al_0050,Album 50,ar_0061,album,2025-03-03,12,Label
al_0051,Album 51,ar_0010,album,2020-01-04,4,Label
al_0052,Album 52,ar_0082,single,2020-12-12,11,Label
al_0053,Album 53,ar_0100,album,2024-12-01,4,Label
al_0054,Album 54,ar_0039,album,2022-02-02,17,Label
al_0055,Album 55,ar_0081,album,2025-05-07,1,Label
al_0056,Album 56,ar_0004,album,2022-03-02,4,Label
al_0057,Album 57,ar_0096,album,2020-07-02,8,Label
al_0058,Album 58,ar_0072,single,2022-12-26,16,Label
al_0059,Album 59,ar_0031,compilation,2020-05-07,11,Label
al_0060,Album 60,ar_0060,compilation,2022-01-10,13,Label
al_0061,Album 61,ar_0043,single,2026-02-04,10,Label
al_0062,Album 62,ar_0010,album,2023-10-22,16,Label
al_0063,Album 63,ar_0054,single,2024-11-01,11,Label
al_0064,Album 64,ar_0088,album,2022-01-10,6,Label
al_0065,Album 65,ar_0062,album,2022-06-02,5,Label
al_0066,Album 66,ar_0041,album,2021-07-08,20,Label
al_0067,Album 67,ar_0095,compilation,2023-08-05,1,Label
al_0068,Album 68,ar_0017,album,2021-10-11,1,Label
al_0069,Album 69,ar_0010,compilation,2020-08-28,14,Label
al_0070,Album 70,ar_0032,single,2024-03-13,1,Label
al_0071,Album 71,ar_0065,single,2020-01-16,19,Label
al_0072,Album 72,ar_0051,single,2021-12-11,8,Label
al_0073,Album 73,ar_0007,album,2020-09-11,17,Label
al_0074,Album 74,ar_0087,album,2021-02-10,14,Label
al_0075,Album 75,ar_0017,album,2026-05-18,18,Label
al_0076,Album 76,ar_0007,album,2021-03-23,12,Label
al_0077,Album 77,ar_0004,single,2020-10-20,13,Label
al_0078,Album 78,ar_0008,compilation,2025-02-17,10,Label
al_0079,Album 79,ar_0033,album,2023-03-08,7,Label
al_0080,Album 80,ar_0018,album,2023-01-23,13,Label
al_0081,Album 81,ar_0033,compilation,2023-11-23,20,Label
