id,user_id,caption,media_type,media_url,permalink,thumbnail_url,timestamp,like_count,comments_count,is_comment_enabled
ig_m_pendleton_2026,ig_user_midori_hikari,"Pendleton Round - Open 4D - 17.29 - clean run, no rail. Proud of Hikari today. #CBRA #barrelracing #pendleton",IMAGE,https://cdn.example.com/ig/pendleton_2026.jpg,https://www.instagram.com/p/CMK_PEN_2026/,,2026-09-19T22:14:00Z,142,18,True
ig_m_sisters_2026,ig_user_midori_hikari,Sisters Open - 17.24 - sharp clean run @tara.redhawk you're next #CBRA #barrelracing #hikari,VIDEO,https://cdn.example.com/ig/sisters_2026.mp4,https://www.instagram.com/p/CMK_SIS_2026/,https://cdn.example.com/ig/sisters_2026_thumb.jpg,2026-07-25T23:40:00Z,318,47,True
ig_m_redmond_2026,ig_user_midori_hikari,SEASON BEST at home - Redmond Harvest Showdown - 17.18!! Hikari at her absolute peak. Career-best clean run. #CBRA #barrelracing #17point18 #hikari,VIDEO,https://cdn.example.com/ig/redmond_2026.mp4,https://www.instagram.com/p/CMK_RED_2026/,https://cdn.example.com/ig/redmond_2026_thumb.jpg,2026-10-03T22:18:00Z,402,61,True
ig_m_lapine_2026,ig_user_midori_hikari,La Pine Fall Series - 17.24 - so close to the home record. Hikari still flying #CBRA #barrelracing,IMAGE,https://cdn.example.com/ig/lapine_2026.jpg,https://www.instagram.com/p/CMK_LAP_2026/,,2026-10-10T21:30:00Z,158,14,True
ig_m_burns_2026,ig_user_midori_hikari,Burns Stampede - 17.34 - Hikari hauling like a freight train #CBRA #barrelracing,IMAGE,https://cdn.example.com/ig/burns_2026.jpg,https://www.instagram.com/p/CMK_BUR_2026/,,2026-08-22T22:55:00Z,96,11,True
ig_m_barn_dawn_01,ig_user_midori_hikari,5am barn check. Frost on the rails. Hikari unimpressed. Sage asleep standing. Kaze refusing to leave the heater. #ranchlife,IMAGE,https://cdn.example.com/ig/barn_dawn_01.jpg,https://www.instagram.com/p/CMK_BARN_01/,,2026-10-18T13:42:00Z,71,6,True
ig_m_carousel_summer,ig_user_midori_hikari,"Summer wrap - the runs, the hauls, the friends. @tara.redhawk @cbra.pnw #carousel",CAROUSEL_ALBUM,https://cdn.example.com/ig/summer_carousel.jpg,https://www.instagram.com/p/CMK_SUMMER/,,2026-09-01T18:20:00Z,204,22,True
ig_m_auto_0001,ig_user_midori_hikari,"La Pine Rodeo — Open 4D — 17.94 — clean run, no rail. Proud of Hikari. #CBRA #barrelracing #lapine",IMAGE,https://cdn.example.com/ig/auto_1.jpg,https://www.instagram.com/p/CMK_LA 1/,,2025-03-27T18:03:00Z,170,54,True
ig_m_auto_0002,ig_user_midori_hikari,"La Pine Rodeo — Open 4D — 17.67 — clean run, no rail. Proud of Hikari. #CBRA #barrelracing #lapine",IMAGE,https://cdn.example.com/ig/auto_2.jpg,https://www.instagram.com/p/CMK_LA 2/,,2026-08-03T22:02:00Z,357,51,True
ig_m_auto_0003,ig_user_midori_hikari,"Madras Spring Jackpot — Open 4D — 17.6 — clean run, no rail. Proud of Hikari. #CBRA #barrelracing #madras",IMAGE,https://cdn.example.com/ig/auto_3.jpg,https://www.instagram.com/p/CMK_MAD3/,,2024-12-26T21:10:00Z,220,35,True
