id,key,project_key,issue_type,summary,description,status,priority,assignee,reporter,sprint_id,story_points,created,updated
1,URDE-1,URDE,Bug,Ingestion degraded on 2026-07-09,Feed degraded. Correlates with Sentry URISN-440 and PagerDuty PI001.,Done,High,u-yemi,u-marcus,sprint-q3,3,2026-07-09T04:00:00.000-0400,2026-07-09T07:00:00.000-0400
2,URDE-2,URDE,Bug,Ingestion degraded on 2026-07-23,Feed degraded. Correlates with Sentry URISN-441 and PagerDuty PI002.,Done,High,u-yemi,u-marcus,sprint-q3,3,2026-07-23T04:00:00.000-0400,2026-07-23T07:00:00.000-0400
3,URDE-3,URDE,Bug,Ingestion incomplete on 2026-08-06,Feed incomplete. Correlates with Sentry URISN-442 and PagerDuty PI003.,In Progress,High,u-yemi,u-marcus,sprint-q3,3,2026-08-06T04:00:00.000-0400,
4,URDE-4,URDE,Bug,Ingestion degraded on 2026-08-20,Feed degraded. Correlates with Sentry URISN-443 and PagerDuty PI004.,Done,High,u-yemi,u-marcus,sprint-q3,3,2026-08-20T04:00:00.000-0400,2026-08-20T07:00:00.000-0400
5,URDE-5,URDE,Bug,Ingestion incomplete on 2026-08-27,Feed incomplete. Correlates with Sentry URISN-444 and PagerDuty PI005.,In Progress,High,u-yemi,u-marcus,sprint-q3,3,2026-08-27T04:00:00.000-0400,
6,URDE-6,URDE,Bug,Ingestion degraded on 2026-09-03,Feed degraded. Correlates with Sentry URISN-445 and PagerDuty PI006.,Done,High,u-yemi,u-marcus,sprint-q3,3,2026-09-03T04:00:00.000-0400,2026-09-03T07:00:00.000-0400
7,URDE-7,URDE,Bug,Ingestion incomplete on 2026-09-17,Feed incomplete. Correlates with Sentry URISN-446 and PagerDuty PI007.,In Progress,High,u-yemi,u-marcus,sprint-q3,3,2026-09-17T04:00:00.000-0400,
8,URDE-8,URDE,Task,Routine pipeline task 8,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
9,URDE-9,URDE,Task,Routine pipeline task 9,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
10,URDE-10,URDE,Task,Routine pipeline task 10,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
11,URDE-11,URDE,Task,Routine pipeline task 11,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
12,URDE-12,URDE,Task,Routine pipeline task 12,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
13,URDE-13,URDE,Task,Routine pipeline task 13,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
14,URDE-14,URDE,Task,Routine pipeline task 14,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
15,URDE-15,URDE,Task,Routine pipeline task 15,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
16,URDE-16,URDE,Task,Routine pipeline task 16,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
17,URDE-17,URDE,Task,Routine pipeline task 17,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
18,URDE-18,URDE,Task,Routine pipeline task 18,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
19,URDE-19,URDE,Task,Routine pipeline task 19,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
20,URDE-20,URDE,Task,Routine pipeline task 20,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
21,URDE-21,URDE,Task,Routine pipeline task 21,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
22,URDE-22,URDE,Task,Routine pipeline task 22,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
23,URDE-23,URDE,Task,Routine pipeline task 23,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
24,URDE-24,URDE,Task,Routine pipeline task 24,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
25,URDE-25,URDE,Task,Routine pipeline task 25,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
26,URDE-26,URDE,Task,Routine pipeline task 26,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
27,URDE-27,URDE,Task,Routine pipeline task 27,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
28,URDE-28,URDE,Task,Routine pipeline task 28,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
29,URDE-29,URDE,Task,Routine pipeline task 29,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
30,URDE-30,URDE,Task,Routine pipeline task 30,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
31,URDE-31,URDE,Task,Routine pipeline task 31,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
32,URDE-32,URDE,Task,Routine pipeline task 32,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
33,URDE-33,URDE,Task,Routine pipeline task 33,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
34,URDE-34,URDE,Task,Routine pipeline task 34,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
35,URDE-35,URDE,Task,Routine pipeline task 35,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
36,URDE-36,URDE,Task,Routine pipeline task 36,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
37,URDE-37,URDE,Task,Routine pipeline task 37,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
38,URDE-38,URDE,Task,Routine pipeline task 38,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
39,URDE-39,URDE,Task,Routine pipeline task 39,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
40,URDE-40,URDE,Task,Routine pipeline task 40,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
41,URDE-41,URDE,Task,Routine pipeline task 41,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
42,URDE-42,URDE,Task,Routine pipeline task 42,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
43,URDE-43,URDE,Task,Routine pipeline task 43,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
44,URDE-44,URDE,Task,Routine pipeline task 44,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
45,URDE-45,URDE,Task,Routine pipeline task 45,Routine.,Done,Low,u-yemi,u-marcus,sprint-q3,1,2026-08-01T00:00:00.000-0400,2026-08-02T00:00:00.000-0400
