id,order_id,status,amount_value,currency_code,final_capture,create_time
CAP_0000000000001,ORDER-0000000000001,COMPLETED,42.00,USD,true,2026-07-14T00:01:00Z
CAP_0000000000002,ORDER-0000000000002,COMPLETED,38.50,USD,true,2026-08-05T00:01:00Z
CAP_0000000000003,ORDER-0000000000003,COMPLETED,46.75,USD,true,2026-09-04T00:01:00Z
CAP_0000000000004,ORDER-0000000000004,COMPLETED,51.25,USD,true,2026-10-05T00:01:00Z
CAP_0000000000005,ORDER-0000000000005,COMPLETED,44.60,USD,true,2026-11-04T00:01:00Z
CAP_0000000000006,ORDER-0000000000006,COMPLETED,39.99,USD,true,2026-01-13T00:01:00Z
CAP_0000000000007,ORDER-0000000000007,COMPLETED,38.27,USD,true,2026-02-16T00:01:00Z
CAP_0000000000008,ORDER-0000000000008,COMPLETED,41.08,USD,true,2026-03-13T00:01:00Z
CAP_0000000000009,ORDER-0000000000009,COMPLETED,38.30,USD,true,2026-04-15T00:01:00Z
CAP_0000000000010,ORDER-0000000000010,COMPLETED,39.90,USD,true,2026-05-13T00:01:00Z
CAP_0000000000011,ORDER-0000000000011,COMPLETED,38.95,USD,true,2026-06-14T00:01:00Z
CAP_0000000000012,ORDER-0000000000012,COMPLETED,38.82,USD,true,2026-07-13T00:01:00Z
CAP_0000000000013,ORDER-0000000000013,COMPLETED,41.05,USD,true,2026-08-15T00:01:00Z
CAP_0000000000014,ORDER-0000000000014,COMPLETED,38.77,USD,true,2026-09-13T00:01:00Z
CAP_0000000000015,ORDER-0000000000015,COMPLETED,41.43,USD,true,2026-10-14T00:01:00Z
CAP_0000000000016,ORDER-0000000000016,COMPLETED,39.89,USD,true,2026-11-13T00:01:00Z
CAP_0000000000017,ORDER-0000000000017,COMPLETED,41.52,USD,true,2026-11-01T00:01:00Z
CAP_0000000000018,ORDER-0000000000018,COMPLETED,43.91,USD,true,2026-04-29T00:01:00Z
CAP_0000000000019,ORDER-0000000000019,COMPLETED,44.95,USD,true,2026-08-06T00:01:00Z
CAP_0000000000020,ORDER-0000000000020,COMPLETED,41.61,USD,true,2026-05-22T00:01:00Z
CAP_0000000000021,ORDER-0000000000021,COMPLETED,23.67,USD,true,2026-07-27T00:01:00Z
CAP_0000000000022,ORDER-0000000000022,COMPLETED,26.32,USD,true,2025-07-23T00:01:00Z
CAP_0000000000023,ORDER-0000000000023,COMPLETED,34.92,USD,true,2025-07-09T00:01:00Z
CAP_0000000000024,ORDER-0000000000024,COMPLETED,46.36,USD,true,2026-10-10T00:01:00Z
CAP_0000000000025,ORDER-0000000000025,COMPLETED,15.81,USD,true,2025-12-28T00:01:00Z
CAP_0000000000026,ORDER-0000000000026,COMPLETED,55.60,USD,true,2026-01-13T00:01:00Z
CAP_0000000000027,ORDER-0000000000027,COMPLETED,28.80,USD,true,2026-07-24T00:01:00Z
CAP_0000000000028,ORDER-0000000000028,COMPLETED,27.31,USD,true,2025-07-25T00:01:00Z
CAP_0000000000029,ORDER-0000000000029,COMPLETED,58.30,USD,true,2026-10-01T00:01:00Z
CAP_0000000000030,ORDER-0000000000030,COMPLETED,22.31,USD,true,2026-04-22T00:01:00Z
CAP_0000000000031,ORDER-0000000000031,COMPLETED,25.03,USD,true,2026-01-08T00:01:00Z
CAP_0000000000032,ORDER-0000000000032,COMPLETED,55.03,USD,true,2026-05-07T00:01:00Z
CAP_0000000000033,ORDER-0000000000033,COMPLETED,12.55,USD,true,2026-09-26T00:01:00Z
CAP_0000000000034,ORDER-0000000000034,COMPLETED,19.45,USD,true,2026-06-17T00:01:00Z
CAP_0000000000035,ORDER-0000000000035,COMPLETED,34.47,USD,true,2026-01-08T00:01:00Z
CAP_0000000000036,ORDER-0000000000036,COMPLETED,27.75,USD,true,2026-04-24T00:01:00Z
CAP_0000000000037,ORDER-0000000000037,COMPLETED,52.78,USD,true,2026-06-28T00:01:00Z
CAP_0000000000038,ORDER-0000000000038,COMPLETED,15.80,USD,true,2026-03-18T00:01:00Z
CAP_0000000000039,ORDER-0000000000039,COMPLETED,19.76,USD,true,2026-05-23T00:01:00Z
CAP_0000000000040,ORDER-0000000000040,COMPLETED,50.79,USD,true,2026-04-25T00:01:00Z
CAP_0000000000041,ORDER-0000000000041,COMPLETED,39.89,USD,true,2026-05-13T00:01:00Z
CAP_0000000000042,ORDER-0000000000042,COMPLETED,28.66,USD,true,2026-06-14T00:01:00Z
CAP_0000000000043,ORDER-0000000000043,COMPLETED,20.78,USD,true,2025-09-23T00:01:00Z
CAP_0000000000044,ORDER-0000000000044,COMPLETED,34.06,USD,true,2025-06-20T00:01:00Z
CAP_0000000000045,ORDER-0000000000045,COMPLETED,26.59,USD,true,2026-09-13T00:01:00Z
CAP_0000000000046,ORDER-0000000000046,COMPLETED,51.73,USD,true,2025-10-01T00:01:00Z
CAP_0000000000047,ORDER-0000000000047,COMPLETED,15.56,USD,true,2025-11-29T00:01:00Z
CAP_0000000000048,ORDER-0000000000048,COMPLETED,38.88,USD,true,2026-02-03T00:01:00Z
