id,capture_id,status,amount_value,currency_code,note_to_payer,create_time
REF_0000000000001,CAP_0000000000109,COMPLETED,27.43,USD,overpayment adjustment,2025-07-01T00:00:00Z
REF_0000000000002,CAP_0000000000082,COMPLETED,37.84,USD,overpayment adjustment,2025-07-03T00:00:00Z
REF_0000000000003,CAP_0000000000080,COMPLETED,13.53,USD,duplicate charge reversed,2025-07-05T00:00:00Z
REF_0000000000004,CAP_0000000000157,COMPLETED,27.51,USD,overpayment adjustment,2025-07-07T00:00:00Z
REF_0000000000005,CAP_0000000000190,COMPLETED,34.45,USD,overpayment adjustment,2025-07-09T00:00:00Z
REF_0000000000006,CAP_0000000000170,COMPLETED,10.82,USD,split correction,2025-07-11T00:00:00Z
REF_0000000000007,CAP_0000000000157,COMPLETED,20.75,USD,partial reimbursement,2025-07-13T00:00:00Z
REF_0000000000008,CAP_0000000000191,COMPLETED,14.44,USD,duplicate charge reversed,2025-07-15T00:00:00Z
REF_0000000000009,CAP_0000000000004,COMPLETED,31.88,USD,split correction,2025-07-17T00:00:00Z
REF_0000000000010,CAP_0000000000225,COMPLETED,24.83,USD,duplicate charge reversed,2025-07-19T00:00:00Z
REF_0000000000011,CAP_0000000000045,COMPLETED,5.13,USD,duplicate charge reversed,2025-07-21T00:00:00Z
REF_0000000000012,CAP_0000000000026,COMPLETED,5.36,USD,split correction,2025-07-23T00:00:00Z
REF_0000000000013,CAP_0000000000174,COMPLETED,38.95,USD,duplicate charge reversed,2025-07-25T00:00:00Z
REF_0000000000014,CAP_0000000000063,COMPLETED,15.87,USD,overpayment adjustment,2025-07-27T00:00:00Z
REF_0000000000015,CAP_0000000000007,COMPLETED,39.35,USD,duplicate charge reversed,2025-07-29T00:00:00Z
REF_0000000000016,CAP_0000000000095,COMPLETED,24.54,USD,overpayment adjustment,2025-07-31T00:00:00Z
REF_0000000000017,CAP_0000000000112,COMPLETED,30.17,USD,partial reimbursement,2025-08-02T00:00:00Z
REF_0000000000018,CAP_0000000000028,COMPLETED,9.22,USD,split correction,2025-08-04T00:00:00Z
REF_0000000000019,CAP_0000000000105,COMPLETED,33.99,USD,split correction,2025-08-06T00:00:00Z
REF_0000000000020,CAP_0000000000045,COMPLETED,14.07,USD,overpayment adjustment,2025-08-08T00:00:00Z
REF_0000000000021,CAP_0000000000168,COMPLETED,11.99,USD,overpayment adjustment,2025-08-10T00:00:00Z
REF_0000000000022,CAP_0000000000107,COMPLETED,15.63,USD,split correction,2025-08-12T00:00:00Z
REF_0000000000023,CAP_0000000000203,COMPLETED,36.22,USD,split correction,2025-08-14T00:00:00Z
REF_0000000000024,CAP_0000000000164,COMPLETED,28.18,USD,overpayment adjustment,2025-08-16T00:00:00Z
REF_0000000000025,CAP_0000000000217,COMPLETED,30.86,USD,duplicate charge reversed,2025-08-18T00:00:00Z
REF_0000000000026,CAP_0000000000166,COMPLETED,31.28,USD,split correction,2025-08-20T00:00:00Z
REF_0000000000027,CAP_0000000000010,COMPLETED,26.36,USD,split correction,2025-08-22T00:00:00Z
REF_0000000000028,CAP_0000000000221,COMPLETED,28.76,USD,split correction,2025-08-24T00:00:00Z
REF_0000000000029,CAP_0000000000122,COMPLETED,27.53,USD,split correction,2025-08-26T00:00:00Z
REF_0000000000030,CAP_0000000000120,COMPLETED,13.11,USD,overpayment adjustment,2025-08-28T00:00:00Z
REF_0000000000031,CAP_0000000000139,COMPLETED,15.79,USD,split correction,2025-08-30T00:00:00Z
REF_0000000000032,CAP_0000000000134,COMPLETED,34.20,USD,split correction,2025-09-01T00:00:00Z
REF_0000000000033,CAP_0000000000024,COMPLETED,23.60,USD,duplicate charge reversed,2025-09-03T00:00:00Z
REF_0000000000034,CAP_0000000000230,COMPLETED,18.82,USD,duplicate charge reversed,2025-09-05T00:00:00Z
REF_0000000000035,CAP_0000000000069,COMPLETED,35.01,USD,duplicate charge reversed,2025-09-07T00:00:00Z
REF_0000000000036,CAP_0000000000044,COMPLETED,19.63,USD,partial reimbursement,2025-09-09T00:00:00Z
REF_0000000000037,CAP_0000000000141,COMPLETED,5.15,USD,partial reimbursement,2025-09-11T00:00:00Z
REF_0000000000038,CAP_0000000000220,COMPLETED,12.90,USD,overpayment adjustment,2025-09-13T00:00:00Z
REF_0000000000039,CAP_0000000000044,COMPLETED,7.85,USD,split correction,2025-09-15T00:00:00Z
REF_0000000000040,CAP_0000000000024,COMPLETED,13.88,USD,split correction,2025-09-17T00:00:00Z
REF_0000000000041,CAP_0000000000123,COMPLETED,17.12,USD,overpayment adjustment,2025-09-19T00:00:00Z
REF_0000000000042,CAP_0000000000193,COMPLETED,29.94,USD,split correction,2025-09-21T00:00:00Z
REF_0000000000043,CAP_0000000000189,COMPLETED,9.90,USD,partial reimbursement,2025-09-23T00:00:00Z
REF_0000000000044,CAP_0000000000056,COMPLETED,8.16,USD,partial reimbursement,2025-09-25T00:00:00Z
REF_0000000000045,CAP_0000000000044,COMPLETED,8.55,USD,duplicate charge reversed,2025-09-27T00:00:00Z
REF_0000000000046,CAP_0000000000231,COMPLETED,37.74,USD,overpayment adjustment,2025-09-29T00:00:00Z
REF_0000000000047,CAP_0000000000028,COMPLETED,17.23,USD,partial reimbursement,2025-10-01T00:00:00Z
REF_0000000000048,CAP_0000000000086,COMPLETED,32.96,USD,duplicate charge reversed,2025-10-03T00:00:00Z
REF_0000000000049,CAP_0000000000030,COMPLETED,26.29,USD,duplicate charge reversed,2025-10-05T00:00:00Z
REF_0000000000050,CAP_0000000000209,COMPLETED,22.76,USD,partial reimbursement,2025-10-07T00:00:00Z
