line_id,txn_date,customer,item,amount_usd,memo,status
qb-0001,2026-11-01,Greenleaf Health Systems,HIPAA retainer,4200.00,INV-GL-1106 November retainer,Open
qb-0002,2026-11-05,Ashdale Technologies,Quarterly audit block,3000.00,Q4 kickoff prep hours,Posted
qb-0003,2026-11-08,Stonewick Financial,Annual pentest,3750.00,November test window labor,Posted
qb-0004,2026-11-09,Brightmoor SaaS,SOC 2 evidence,1250.00,Evidence window 3 support,Posted
qb-0005,2026-11-10,Ironclad internal,Software subscriptions,221.00,Burp + Nessus monthly,Posted
qb-0006,2026-11-10,Ironclad internal,Studio plugin renewal,128.00,Plugin Boutique,Posted
qb-0007,2026-10-28,Stonewick Financial,Pentest mobilization,1500.00,October test week 1,Posted
qb-0008,2026-10-30,Greenleaf Health Systems,HIPAA retainer,4500.00,INV-GL-1006 October (full),Posted
qb-0009,2026-11-02,Ashdale Technologies,Incident response retainer,900.00,October carryover block,Posted
qb-0010,2026-11-06,Ironclad internal,Charlotte panel travel,287.00,Southwest GSO-CLT,Posted
qb-0011,2026-11-07,AmandaXO studio,Distro + promo,89.00,Lagos Sunset release spend,Pending
qb-0012,2026-11-09,Brightmoor SaaS,Remediation workshop,800.00,Follow-on scoping,Pending
