Id,Name,Description,Type,UnitPrice,IncomeAccountRef_value,IncomeAccountRef_name,Active,Taxable
4000,Belt — Small #1,Handmade Salazar Leathercraft product,Service,15,1004,Sales of Product Income,True,True
4001,Wallet — Medium #1,Handmade Salazar Leathercraft product,Inventory,22,1004,Sales of Product Income,True,True
4002,Holster — Large #1,Handmade Salazar Leathercraft product,Inventory,29,1004,Sales of Product Income,True,True
4003,Chaps — Extra Large #1,Handmade Salazar Leathercraft product,Service,36,1004,Sales of Product Income,True,True
4004,Bag — Small #1,Handmade Salazar Leathercraft product,Inventory,43,1004,Sales of Product Income,True,True
4005,Notebook Cover — Medium #1,Handmade Salazar Leathercraft product,Inventory,50,1004,Sales of Product Income,True,True
4006,Journal Sleeve — Large #1,Handmade Salazar Leathercraft product,Service,57,1004,Sales of Product Income,True,True
4007,Bracelet — Extra Large #1,Handmade Salazar Leathercraft product,Inventory,64,1004,Sales of Product Income,True,True
4008,Keychain — Small #1,Handmade Salazar Leathercraft product,Inventory,71,1004,Sales of Product Income,True,True
4009,Watch Strap — Medium #1,Handmade Salazar Leathercraft product,Service,78,1004,Sales of Product Income,True,True
4010,Sheath — Large #1,Handmade Salazar Leathercraft product,Inventory,85,1004,Sales of Product Income,True,True
4011,Notebook — Extra Large #1,Handmade Salazar Leathercraft product,Inventory,92,1004,Sales of Product Income,True,True
4012,Halter — Small #1,Handmade Salazar Leathercraft product,Service,99,1004,Sales of Product Income,True,True
4013,Bridle — Medium #1,Handmade Salazar Leathercraft product,Inventory,106,1004,Sales of Product Income,True,True
4014,Card Case — Large #1,Handmade Salazar Leathercraft product,Inventory,113,1004,Sales of Product Income,True,True
4015,Belt — Extra Large #2,Handmade Salazar Leathercraft product,Service,120,1004,Sales of Product Income,True,True
4016,Wallet — Small #2,Handmade Salazar Leathercraft product,Inventory,127,1004,Sales of Product Income,True,True
4017,Holster — Medium #2,Handmade Salazar Leathercraft product,Inventory,134,1004,Sales of Product Income,True,True
4018,Chaps — Large #2,Handmade Salazar Leathercraft product,Service,141,1004,Sales of Product Income,True,True
4019,Bag — Extra Large #2,Handmade Salazar Leathercraft product,Inventory,148,1004,Sales of Product Income,True,True
4020,Notebook Cover — Small #2,Handmade Salazar Leathercraft product,Inventory,155,1004,Sales of Product Income,True,True
4021,Journal Sleeve — Medium #2,Handmade Salazar Leathercraft product,Service,162,1004,Sales of Product Income,True,True
4022,Bracelet — Large #2,Handmade Salazar Leathercraft product,Inventory,169,1004,Sales of Product Income,True,True
4023,Keychain — Extra Large #2,Handmade Salazar Leathercraft product,Inventory,176,1004,Sales of Product Income,True,True
4024,Watch Strap — Small #2,Handmade Salazar Leathercraft product,Service,183,1004,Sales of Product Income,True,True
4025,Sheath — Medium #2,Handmade Salazar Leathercraft product,Inventory,190,1004,Sales of Product Income,True,True
4026,Notebook — Large #2,Handmade Salazar Leathercraft product,Inventory,197,1004,Sales of Product Income,True,True
4027,Halter — Extra Large #2,Handmade Salazar Leathercraft product,Service,204,1004,Sales of Product Income,True,True
4028,Bridle — Small #2,Handmade Salazar Leathercraft product,Inventory,211,1004,Sales of Product Income,True,True
4029,Card Case — Medium #2,Handmade Salazar Leathercraft product,Inventory,218,1004,Sales of Product Income,True,True
4030,Belt — Large #3,Handmade Salazar Leathercraft product,Service,225,1004,Sales of Product Income,True,True
4031,Wallet — Extra Large #3,Handmade Salazar Leathercraft product,Inventory,232,1004,Sales of Product Income,True,True
4032,Holster — Small #3,Handmade Salazar Leathercraft product,Inventory,239,1004,Sales of Product Income,True,True
4033,Chaps — Medium #3,Handmade Salazar Leathercraft product,Service,246,1004,Sales of Product Income,True,True
4034,Bag — Large #3,Handmade Salazar Leathercraft product,Inventory,253,1004,Sales of Product Income,True,True
4035,Notebook Cover — Extra Large #3,Handmade Salazar Leathercraft product,Inventory,260,1004,Sales of Product Income,True,True
4036,Journal Sleeve — Small #3,Handmade Salazar Leathercraft product,Service,267,1004,Sales of Product Income,True,True
4037,Bracelet — Medium #3,Handmade Salazar Leathercraft product,Inventory,274,1004,Sales of Product Income,True,True
4038,Keychain — Large #3,Handmade Salazar Leathercraft product,Inventory,281,1004,Sales of Product Income,True,True
4039,Watch Strap — Extra Large #3,Handmade Salazar Leathercraft product,Service,288,1004,Sales of Product Income,True,True
4040,Sheath — Small #3,Handmade Salazar Leathercraft product,Inventory,295,1004,Sales of Product Income,True,True
4041,Notebook — Medium #3,Handmade Salazar Leathercraft product,Inventory,302,1004,Sales of Product Income,True,True
4042,Halter — Large #3,Handmade Salazar Leathercraft product,Service,309,1004,Sales of Product Income,True,True
4043,Bridle — Extra Large #3,Handmade Salazar Leathercraft product,Inventory,16,1004,Sales of Product Income,True,True
4044,Card Case — Small #3,Handmade Salazar Leathercraft product,Inventory,23,1004,Sales of Product Income,True,True
4045,Belt — Medium #4,Handmade Salazar Leathercraft product,Service,30,1004,Sales of Product Income,True,True
4046,Wallet — Large #4,Handmade Salazar Leathercraft product,Inventory,37,1004,Sales of Product Income,True,True
4047,Holster — Extra Large #4,Handmade Salazar Leathercraft product,Inventory,44,1004,Sales of Product Income,True,True
4048,Chaps — Small #4,Handmade Salazar Leathercraft product,Service,51,1004,Sales of Product Income,True,True
4049,Bag — Medium #4,Handmade Salazar Leathercraft product,Inventory,58,1004,Sales of Product Income,True,True
4050,Notebook Cover — Large #4,Handmade Salazar Leathercraft product,Inventory,65,1004,Sales of Product Income,True,True
4051,Journal Sleeve — Extra Large #4,Handmade Salazar Leathercraft product,Service,72,1004,Sales of Product Income,True,True
4052,Bracelet — Small #4,Handmade Salazar Leathercraft product,Inventory,79,1004,Sales of Product Income,True,True
4053,Keychain — Medium #4,Handmade Salazar Leathercraft product,Inventory,86,1004,Sales of Product Income,True,True
4054,Watch Strap — Large #4,Handmade Salazar Leathercraft product,Service,93,1004,Sales of Product Income,True,True
4055,Sheath — Extra Large #4,Handmade Salazar Leathercraft product,Inventory,100,1004,Sales of Product Income,True,True
4056,Notebook — Small #4,Handmade Salazar Leathercraft product,Inventory,107,1004,Sales of Product Income,True,True
4057,Halter — Medium #4,Handmade Salazar Leathercraft product,Service,114,1004,Sales of Product Income,True,True
4058,Bridle — Large #4,Handmade Salazar Leathercraft product,Inventory,121,1004,Sales of Product Income,True,True
4059,Card Case — Extra Large #4,Handmade Salazar Leathercraft product,Inventory,128,1004,Sales of Product Income,True,True
4060,Belt — Small #5,Handmade Salazar Leathercraft product,Service,135,1004,Sales of Product Income,True,True
4061,Wallet — Medium #5,Handmade Salazar Leathercraft product,Inventory,142,1004,Sales of Product Income,True,True
4062,Holster — Large #5,Handmade Salazar Leathercraft product,Inventory,149,1004,Sales of Product Income,True,True
