Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
1000,Bank — Main #1,Bank,Checking,1000,true,Asset,Salazar Leathercraft ledger account row #1
1001,Credit Card — Secondary #1,Credit Card,CreditCard,1137,true,Liability,Salazar Leathercraft ledger account row #2
1002,Accounts Receivable — Reserve #1,Accounts Receivable,AccountsReceivable,1274,true,Equity,Salazar Leathercraft ledger account row #3
1003,Accounts Payable — Vendor A #1,Accounts Payable,AccountsPayable,1411,true,Revenue,Salazar Leathercraft ledger account row #4
1004,Income — Vendor B #1,Income,SalesOfProductIncome,1548,true,Expense,Salazar Leathercraft ledger account row #5
1005,Expense — Sales #1,Expense,OtherMiscellaneousExpense,1685,true,Asset,Salazar Leathercraft ledger account row #6
1006,Cost of Goods Sold — Inventory #1,Cost of Goods Sold,SuppliesMaterialsCogs,1822,true,Liability,Salazar Leathercraft ledger account row #7
1007,Other Current Asset — Equipment #1,Other Current Asset,OtherCurrentAssets,1959,true,Equity,Salazar Leathercraft ledger account row #8
1008,Fixed Asset — Deposits #1,Fixed Asset,FurnitureAndFixtures,2096,true,Revenue,Salazar Leathercraft ledger account row #9
1009,Other Current Liability — Loans #1,Other Current Liability,LineOfCredit,2233,true,Expense,Salazar Leathercraft ledger account row #10
1010,Equity — Retained #1,Equity,OwnersEquity,2370,true,Asset,Salazar Leathercraft ledger account row #11
1011,Bank — Main #2,Bank,Checking,2507,true,Liability,Salazar Leathercraft ledger account row #12
1012,Credit Card — Secondary #2,Credit Card,CreditCard,2644,true,Equity,Salazar Leathercraft ledger account row #13
1013,Accounts Receivable — Reserve #2,Accounts Receivable,AccountsReceivable,2781,true,Revenue,Salazar Leathercraft ledger account row #14
1014,Accounts Payable — Vendor A #2,Accounts Payable,AccountsPayable,2918,true,Expense,Salazar Leathercraft ledger account row #15
1015,Income — Vendor B #2,Income,SalesOfProductIncome,3055,true,Asset,Salazar Leathercraft ledger account row #16
1016,Expense — Sales #2,Expense,OtherMiscellaneousExpense,3192,true,Liability,Salazar Leathercraft ledger account row #17
1017,Cost of Goods Sold — Inventory #2,Cost of Goods Sold,SuppliesMaterialsCogs,3329,true,Equity,Salazar Leathercraft ledger account row #18
1018,Other Current Asset — Equipment #2,Other Current Asset,OtherCurrentAssets,3466,true,Revenue,Salazar Leathercraft ledger account row #19
1019,Fixed Asset — Deposits #2,Fixed Asset,FurnitureAndFixtures,3603,true,Expense,Salazar Leathercraft ledger account row #20
1020,Other Current Liability — Loans #2,Other Current Liability,LineOfCredit,3740,true,Asset,Salazar Leathercraft ledger account row #21
1021,Equity — Retained #2,Equity,OwnersEquity,3877,true,Liability,Salazar Leathercraft ledger account row #22
1022,Bank — Main #3,Bank,Checking,4014,true,Equity,Salazar Leathercraft ledger account row #23
1023,Credit Card — Secondary #3,Credit Card,CreditCard,4151,true,Revenue,Salazar Leathercraft ledger account row #24
1024,Accounts Receivable — Reserve #3,Accounts Receivable,AccountsReceivable,4288,true,Expense,Salazar Leathercraft ledger account row #25
1025,Accounts Payable — Vendor A #3,Accounts Payable,AccountsPayable,4425,true,Asset,Salazar Leathercraft ledger account row #26
1026,Income — Vendor B #3,Income,SalesOfProductIncome,4562,true,Liability,Salazar Leathercraft ledger account row #27
1027,Expense — Sales #3,Expense,OtherMiscellaneousExpense,4699,true,Equity,Salazar Leathercraft ledger account row #28
1028,Cost of Goods Sold — Inventory #3,Cost of Goods Sold,SuppliesMaterialsCogs,4836,true,Revenue,Salazar Leathercraft ledger account row #29
1029,Other Current Asset — Equipment #3,Other Current Asset,OtherCurrentAssets,4973,true,Expense,Salazar Leathercraft ledger account row #30
1030,Fixed Asset — Deposits #3,Fixed Asset,FurnitureAndFixtures,5110,true,Asset,Salazar Leathercraft ledger account row #31
1031,Other Current Liability — Loans #3,Other Current Liability,LineOfCredit,5247,true,Liability,Salazar Leathercraft ledger account row #32
1032,Equity — Retained #3,Equity,OwnersEquity,5384,true,Equity,Salazar Leathercraft ledger account row #33
1033,Bank — Main #4,Bank,Checking,5521,true,Revenue,Salazar Leathercraft ledger account row #34
1034,Credit Card — Secondary #4,Credit Card,CreditCard,5658,true,Expense,Salazar Leathercraft ledger account row #35
1035,Accounts Receivable — Reserve #4,Accounts Receivable,AccountsReceivable,5795,true,Asset,Salazar Leathercraft ledger account row #36
1036,Accounts Payable — Vendor A #4,Accounts Payable,AccountsPayable,5932,true,Liability,Salazar Leathercraft ledger account row #37
1037,Income — Vendor B #4,Income,SalesOfProductIncome,6069,true,Equity,Salazar Leathercraft ledger account row #38
1038,Expense — Sales #4,Expense,OtherMiscellaneousExpense,6206,true,Revenue,Salazar Leathercraft ledger account row #39
1039,Cost of Goods Sold — Inventory #4,Cost of Goods Sold,SuppliesMaterialsCogs,6343,true,Expense,Salazar Leathercraft ledger account row #40
1040,Other Current Asset — Equipment #4,Other Current Asset,OtherCurrentAssets,6480,true,Asset,Salazar Leathercraft ledger account row #41
1041,Fixed Asset — Deposits #4,Fixed Asset,FurnitureAndFixtures,6617,true,Liability,Salazar Leathercraft ledger account row #42
1042,Other Current Liability — Loans #4,Other Current Liability,LineOfCredit,6754,true,Equity,Salazar Leathercraft ledger account row #43
1043,Equity — Retained #4,Equity,OwnersEquity,6891,true,Revenue,Salazar Leathercraft ledger account row #44
1044,Bank — Main #5,Bank,Checking,7028,true,Expense,Salazar Leathercraft ledger account row #45
1045,Credit Card — Secondary #5,Credit Card,CreditCard,7165,true,Asset,Salazar Leathercraft ledger account row #46
1046,Accounts Receivable — Reserve #5,Accounts Receivable,AccountsReceivable,7302,true,Liability,Salazar Leathercraft ledger account row #47
