Month	Utility	Provider	Amount	Due_Date	Paid_Date	Confirmation_Number
2025-01	Electric	NorthWestern Energy	48.22	2025-01-20	2025-01-17	NWE-20250117-4821
2025-01	Gas	NorthWestern Energy	61.44	2025-01-20	2025-01-17	NWE-20250117-4822
2025-01	Water/Sewer	City of Missoula Utilities	18.00	2025-01-25	2025-01-22	CMU-20250122-3301
2025-01	Internet	Spectrum	27.99	2025-01-15	2025-01-13	SPC-20250113-7740
2025-02	Electric	NorthWestern Energy	52.87	2025-02-20	2025-02-18	NWE-20250218-4823
2025-02	Gas	NorthWestern Energy	67.91	2025-02-20	2025-02-18	NWE-20250218-4824
2025-02	Water/Sewer	City of Missoula Utilities	18.00	2025-02-25	2025-02-21	CMU-20250221-3302
2025-02	Internet	Spectrum	27.99	2025-02-15	2025-02-12	SPC-20250212-7741
2025-03	Electric	NorthWestern Energy	44.10	2025-03-20	2025-03-18	NWE-20250318-4825
2025-03	Gas	NorthWestern Energy	53.29	2025-03-20	2025-03-18	NWE-20250318-4826
2025-03	Water/Sewer	City of Missoula Utilities	18.00	2025-03-25	2025-03-24	CMU-20250324-3303
2025-03	Internet	Spectrum	27.99	2025-03-15	2025-03-13	SPC-20250313-7742
2025-04	Electric	NorthWestern Energy	31.75	2025-04-20	2025-04-17	NWE-20250417-4827
2025-04	Gas	NorthWestern Energy	28.44	2025-04-20	2025-04-17	NWE-20250417-4828
2025-04	Water/Sewer	City of Missoula Utilities	18.00	2025-04-25	2025-04-23	CMU-20250423-3304
2025-04	Internet	Spectrum	27.99	2025-04-15	2025-04-14	SPC-20250414-7743
2025-05	Electric	NorthWestern Energy	22.40	2025-05-20	2025-05-16	NWE-20250516-4829
2025-05	Gas	NorthWestern Energy	12.00	2025-05-20	2025-05-16	NWE-20250516-4830
2025-05	Water/Sewer	City of Missoula Utilities	18.00	2025-05-25	2025-05-22	CMU-20250522-3305
2025-05	Internet	Spectrum	27.99	2025-05-15	2025-05-13	SPC-20250513-7744
2025-06	Electric	NorthWestern Energy	19.88	2025-06-20	2025-06-18	NWE-20250618-4831
2025-06	Gas	NorthWestern Energy	10.00	2025-06-20	2025-06-18	NWE-20250618-4832
2025-06	Water/Sewer	City of Missoula Utilities	18.00	2025-06-25	2025-06-24	CMU-20250624-3306
2025-06	Internet	Spectrum	27.99	2025-06-15	2025-06-13	SPC-20250613-7745
2025-07	Electric	NorthWestern Energy	24.55	2025-07-20	2025-07-18	NWE-20250718-4833
2025-07	Gas	NorthWestern Energy	10.00	2025-07-20	2025-07-18	NWE-20250718-4834
2025-07	Water/Sewer	City of Missoula Utilities	18.00	2025-07-25	2025-07-23	CMU-20250723-3307
2025-07	Internet	Spectrum	27.99	2025-07-15	2025-07-11	SPC-20250711-7746
2025-08	Electric	NorthWestern Energy	29.14	2025-08-20	2025-08-19	NWE-20250819-4835
2025-08	Gas	NorthWestern Energy	10.00	2025-08-20	2025-08-19	NWE-20250819-4836
2025-08	Water/Sewer	City of Missoula Utilities	18.00	2025-08-25	2025-08-22	CMU-20250822-3308
2025-08	Internet	Spectrum	27.99	2025-08-15	2025-08-13	SPC-20250813-7747
2025-09	Electric	NorthWestern Energy	21.66	2025-09-20	2025-09-18	NWE-20250918-4837
2025-09	Gas	NorthWestern Energy	11.50	2025-09-20	2025-09-18	NWE-20250918-4838
2025-09	Water/Sewer	City of Missoula Utilities	18.00	2025-09-25	2025-09-24	CMU-20250924-3309
2025-09	Internet	Spectrum	27.99	2025-09-15	2025-09-12	SPC-20250912-7748
2025-10	Electric	NorthWestern Energy	34.02	2025-10-20	2025-10-17	NWE-20251017-4839
2025-10	Gas	NorthWestern Energy	29.88	2025-10-20	2025-10-17	NWE-20251017-4840
2025-10	Water/Sewer	City of Missoula Utilities	18.00	2025-10-25	2025-10-22	CMU-20251022-3310
2025-10	Internet	Spectrum	27.99	2025-10-15	2025-10-13	SPC-20251013-7749
2025-11	Electric	NorthWestern Energy	43.90	2025-11-20	2025-11-18	NWE-20251118-4841
2025-11	Gas	NorthWestern Energy	52.17	2025-11-20	2025-11-18	NWE-20251118-4842
2025-11	Water/Sewer	City of Missoula Utilities	18.00	2025-11-25	2025-11-21	CMU-20251121-3311
2025-11	Internet	Spectrum	27.99	2025-11-15	2025-11-14	SPC-20251114-7750
2025-12	Electric	NorthWestern Energy	55.33	2025-12-20	2025-12-18	NWE-20251218-4843
2025-12	Gas	NorthWestern Energy	69.04	2025-12-20	2025-12-18	NWE-20251218-4844
2025-12	Water/Sewer	City of Missoula Utilities	18.00	2025-12-25	2025-12-23	CMU-20251223-3312
2025-12	Internet	Spectrum	27.99	2025-12-15	2025-12-12	SPC-20251212-7751
2026-01	Electric	NorthWestern Energy	58.41	2026-01-20	2026-01-16	NWE-20260116-4844
2026-01	Gas	NorthWestern Energy	72.30	2026-01-20	2026-01-16	NWE-20260116-4845
2026-01	Water/Sewer	City of Missoula Utilities	18.00	2026-01-25	2026-01-22	CMU-20260122-3313
2026-01	Internet	Spectrum	27.99	2026-01-15	2026-01-13	SPC-20260113-7752
2026-02	Electric	NorthWestern Energy	54.20	2026-02-20	2026-02-18	NWE-20260218-4846
2026-02	Gas	NorthWestern Energy	68.77	2026-02-20	2026-02-18	NWE-20260218-4847
2026-02	Water/Sewer	City of Missoula Utilities	18.00	2026-02-25	2026-02-23	CMU-20260223-3314
2026-02	Internet	Spectrum	27.99	2026-02-15	2026-02-12	SPC-20260212-7753
