Date	Activity_Type	Name	Distance_mi	Duration_min	Elevation_ft	Avg_HR	Calories	Avg_Pace_min_mi
2025-11-03	Run	Morning run - Rattlesnake Creek loop	4.2	38	310	148	412	9:03
2025-11-05	Run	Morning run - Clark Fork path	3.8	34	85	145	368	8:57
2025-11-07	Run	Morning run - University District loop	4.0	36	220	147	391	9:00
2025-11-10	Run	Morning run - Rattlesnake Creek	4.5	41	390	150	441	9:07
2025-11-12	Run	Morning run - Clark Fork path out and back	3.8	35	80	144	363	9:12
2025-11-14	Run	Morning run - Kim Williams trail	4.2	38	195	147	410	9:03
2025-11-15	Hike	Saturday hike with Rowan - Stuart Peak trail	7.8	210	2450	135	821	26:55 (hike pace)
2025-11-17	Run	Morning run - Rattlesnake Creek loop	4.2	37	310	149	415	8:49
2025-11-19	Run	Morning run - Clark Fork path	3.8	34	85	146	369	8:57
2025-11-21	Run	Morning run - University District loop	4.1	37	230	148	402	9:02
2025-11-22	Hike	Weekend hike - Waterworks Hill	5.2	135	1020	138	548	25:58 (hike pace)
2025-11-24	Run	Morning run - Kim Williams trail	4.3	39	200	148	422	9:04
2025-11-26	Run	Morning run - Rattlesnake Wilderness area	4.8	44	480	151	473	9:10
2025-12-01	Run	Morning run - Clark Fork path	3.8	36	80	145	367	9:29
2025-12-03	Run	Morning run - University District loop	3.9	36	215	146	381	9:14
2025-12-05	Run	Morning run - Kim Williams trail	4.0	37	195	147	393	9:15
2025-12-06	Hike/XC Ski	Blue Mountain Nordic area - first ski of season	8.3	175	820	142	780	ski pace
2025-12-08	Run	Morning run - Rattlesnake Creek	4.2	39	310	147	410	9:17
2025-12-10	Run	Morning run - Clark Fork path	3.8	36	85	144	365	9:29
2025-12-12	Run	Morning run - University District loop	3.9	37	220	146	382	9:29
2025-12-13	Nordic Ski	Blue Mountain - Saturday ski with Rowan	10.2	195	1100	138	940	ski pace
2025-12-15	Run	Morning run - Kim Williams trail	4.0	38	200	146	392	9:30
2025-12-17	Run	Morning run - Clark Fork path	3.5	34	75	143	339	9:43
2025-12-19	Run	Morning run - Rattlesnake Creek short loop	3.2	31	245	144	312	9:41
2025-12-20	Nordic Ski	Blue Mountain - solo ski	9.4	180	980	137	862	ski pace
2025-12-22	Run	Morning run - Clark Fork path	3.8	37	80	145	368	9:44
2025-12-26	Run	Post-holiday run - University District	4.0	38	215	146	390	9:30
2025-12-29	Run	Morning run - Kim Williams trail	4.1	39	195	147	401	9:31
2026-01-02	Run	Morning run - Rattlesnake Creek loop	4.2	40	310	147	411	9:31
2026-01-05	Run	Morning run - Clark Fork path	3.8	36	85	144	366	9:29
2026-01-07	Run	Morning run - University District loop	3.9	37	220	145	380	9:29
2026-01-09	Run	Morning run - Kim Williams trail	4.0	38	195	147	392	9:30
2026-01-10	Nordic Ski	Blue Mountain - Saturday ski	10.5	200	1120	139	968	ski pace
2026-01-12	Run	Morning run - Rattlesnake Wilderness	4.5	44	430	150	442	9:47
2026-01-14	Run	Morning run - Clark Fork path	3.8	36	80	144	365	9:29
2026-01-16	Run	Morning run - Kim Williams trail	4.1	39	198	147	401	9:31
2026-01-17	Nordic Ski	Blue Mountain - Saturday ski with Rowan	11.0	210	1190	140	1014	ski pace
2026-01-19	Run	Morning run - University District loop	4.0	38	225	146	391	9:30
2026-01-21	Run	Morning run - Rattlesnake Creek	4.2	40	310	148	411	9:31
2026-01-23	Run	Morning run - Clark Fork path	3.8	36	80	143	364	9:29
2026-01-24	Nordic Ski	Blue Mountain - solo ski	9.8	185	1040	137	899	ski pace
2026-01-26	Run	Morning run - Kim Williams trail	4.0	38	200	146	391	9:30
2026-01-28	Run	Morning run - University District loop	3.9	37	215	145	379	9:29
2026-01-30	Run	Morning run - Rattlesnake Creek loop	4.2	40	315	148	413	9:31
2026-01-31	Nordic Ski	Blue Mountain - Saturday ski	10.1	193	1080	138	930	ski pace
2026-02-02	Run	Morning run - Clark Fork path	3.8	37	80	144	366	9:44
2026-02-04	Run	Morning run - Kim Williams trail	4.0	39	200	147	391	9:45
2026-02-06	Run	Morning run - University District loop	4.0	38	220	146	391	9:30
2026-02-07	Nordic Ski	Blue Mountain - Saturday ski with Rowan	10.8	205	1150	140	996	ski pace
2026-02-09	Run	Morning run - Rattlesnake Creek	4.2	41	310	148	412	9:46
2026-02-11	Run	Morning run - Clark Fork path	3.8	36	80	143	365	9:29
2026-02-13	Run	Morning run - Kim Williams trail	4.0	38	198	146	390	9:30
2026-02-14	Nordic Ski	Blue Mountain - short ski loop	7.5	140	750	135	688	ski pace
2026-02-16	Run	Morning run - Rattlesnake Wilderness short loop	3.5	34	265	144	341	9:43
2026-02-18	Run	Morning run - Clark Fork path	3.8	36	80	144	366	9:29
2026-02-20	Run	Morning run - University District loop	4.0	38	225	145	390	9:30
2026-02-21	Nordic Ski	Blue Mountain - Saturday ski with Rowan	11.2	215	1200	140	1035	ski pace
2026-02-23	Run	Morning run - Rattlesnake Creek	4.2	40	310	147	412	9:31
2026-02-25	Run	Morning run - Kim Williams trail	4.1	39	200	147	402	9:31
2026-02-27	Run	Morning run - Clark Fork path	3.8	37	82	144	367	9:44
2026-02-28	Nordic Ski	Blue Mountain - Saturday ski	10.4	198	1100	139	961	ski pace
