Date	Day	Session_Start	Session_End	Duration_min	Routes_Attempted	Routes_Completed	Highest_Grade	Notes
2025-11-04	Tuesday	17:30	19:15	105	6	5	V4	Sent the crimpy V4 on the east wall; third attempt this week
2025-11-07	Friday	17:45	19:00	75	4	3	V3	Felt tired from morning run; hands not sticky
2025-11-11	Tuesday	17:30	19:30	120	7	6	V4	Good session; figured out the heel hook on the overhang V4
2025-11-14	Friday	17:30	18:45	75	4	4	V3	Quick session before Sasha cooking night
2025-11-18	Tuesday	17:45	19:30	105	6	5	V4	Tried the new V5 on the slab; got to the crux; not ready yet
2025-11-21	Friday	17:30	19:15	105	5	4	V3	Worked movement on V3 variants; good for technique
2025-11-25	Tuesday	17:45	19:00	75	4	3	V3	Short session; wrists a little tight from cooking Thanksgiving prep
2025-12-02	Tuesday	17:30	19:30	120	7	6	V4	Linked all moves on the purple V4 finally; very satisfying
2025-12-05	Friday	17:30	18:30	60	3	2	V3	Early close; ran into neighbor from the building
2025-12-09	Tuesday	17:30	19:45	135	8	6	V4	Long session; warmed up slow, finished strong; tried slab V4 again
2025-12-12	Friday	17:15	18:45	90	5	4	V4	Sent the slab V4; finally figured out the balance move at the top
2025-12-16	Tuesday	17:30	19:15	105	6	5	V4	Good power endurance today; linked V3s without rest
2025-12-19	Friday	17:00	18:30	90	5	5	V3	All sends; confidence session before the holiday
2025-12-23	Tuesday	17:45	19:00	75	4	3	V3	Distracted; gym packed with school break crowd
2026-01-06	Tuesday	17:30	19:30	120	7	5	V4	Back from holidays; felt rusty first hour; got it back
2026-01-09	Friday	17:30	18:45	75	5	4	V3	Focused on footwork drills on easier routes
2026-01-13	Tuesday	17:30	19:30	120	7	6	V4	Best session in a while; moved well on everything
2026-01-16	Friday	17:00	19:00	120	6	5	V4	Tried the new V5 pinch problem; still working through the sequence
2026-01-20	Tuesday	17:30	19:45	135	8	6	V4	Long open gym; worked on dynos; sent two V4s first try
2026-01-23	Friday	17:30	18:45	75	4	3	V3	Quick maintenance session; hands feeling strong
2026-01-27	Tuesday	17:30	19:15	105	6	5	V4	Focused session; routed through V3-V4 circuit three times
2026-01-30	Friday	17:45	19:00	75	4	4	V3	Good send rate today; clean footwork throughout
2026-02-03	Tuesday	17:30	19:30	120	7	6	V4	Willa visiting; she tried V1s and V2s; I worked my own session
2026-02-06	Friday	17:30	19:00	90	5	4	V4	Worked the new pink V4 slab; got the sequence mapped
2026-02-10	Tuesday	17:30	19:30	120	7	5	V4	Sent the pink V4 slab; smooth run top to bottom
2026-02-13	Friday	17:15	18:30	75	4	4	V3	Short effective session; tried some open-handed grip training
2026-02-17	Tuesday	17:30	19:15	105	6	5	V4	Rowan came to watch; sent two V4s clean; tried one V5 for fun
2026-02-20	Friday	17:30	19:00	90	5	4	V4	Final reset day; most old routes stripped; worked what was left
2026-02-24	Tuesday	17:30	19:30	120	7	6	V4	New problems up; spent time reading routes; sent two V4s
2026-02-27	Friday	17:30	18:45	75	5	4	V3	Light session; hands a little raw from Tuesday
