Plant_Name	Species	Propagation_Date	Method	Parent_Plant_Location	Current_Location	Pot_Type	Watering_Frequency	Given_To	Notes
Golden Pothos 1	Epipremnum aureum	2022-08-15	Stem cutting in water	Original from graduate school	Living room shelf above bookcase	Terracotta 6-inch	Every 10 days	N/A	Original plant; started the whole collection; slightly leggy; needs to be cut back
Golden Pothos 2	Epipremnum aureum	2023-02-20	Stem cutting in water	Golden Pothos 1	Kitchen windowsill	Mason jar (rooted) then 4-inch terracotta	Every 10 days	N/A	Good trailing habit; stays compact on the windowsill
Golden Pothos 3	Epipremnum aureum	2023-05-10	Stem cutting in water	Golden Pothos 1	Given away	N/A	N/A	Neighbor on 4th floor	Gave to Maya downstairs when she moved in; she named it Phil
Golden Pothos 4	Epipremnum aureum	2023-09-01	Stem cutting in water	Golden Pothos 2	Given away	N/A	N/A	Sasha Amin	Sasha's first plant; she has not killed it
Golden Pothos 5	Epipremnum aureum	2024-01-14	Stem cutting in water	Golden Pothos 1	Bathroom shelf	Small clay pot	Every 12 days	N/A	Low light; doing fine
Golden Pothos 6	Epipremnum aureum	2024-06-30	Stem cutting in water	Golden Pothos 2	Given away	N/A	N/A	Rowan McAllister	Gave to Rowan in December 2025 when they started spending more time here
Snake Plant 1	Dracaena trifasciata	2022-11-01	Pup division from original	Bought at co-op plant sale Nov 2022	Bedroom corner	Terracotta 8-inch	Every 21 days	N/A	Very tolerant; never complains; best plant for low-maintenance weeks
Snake Plant 2	Dracaena trifasciata	2023-07-18	Pup division	Snake Plant 1	Given away	N/A	N/A	Jude Schultz	Brought to Boise when visiting for Willa's graduation; mom seems to like it
Snake Plant 3	Dracaena trifasciata	2024-02-14	Pup division	Snake Plant 1	Living room corner by yoga mat	Terracotta 6-inch	Every 21 days	N/A	Growing slowly; second offset visible; will divide next year
Snake Plant 4	Dracaena trifasciata	2025-01-09	Leaf cutting in water	Snake Plant 1	Rooting on bathroom counter	Tall glass	Until rooted then terracotta	N/A	Experimenting with leaf cutting; slower than pup division; two months in; roots showing
Fiddle Leaf Fig	Ficus lyrata	2023-04-01	Bought at Missoula Nursery	N/A	Living room by south window	Ceramic 10-inch	Every 7 days in summer; 12 days in winter	N/A	Not propagated; bought as a 2-foot plant; now 4.5 feet; hates being moved; loves the south window
Fiddle Leaf Fig cutting attempt 1	Ficus lyrata	2024-09-15	Stem cutting in water	Fiddle Leaf Fig (lower branch)	Failed	N/A	N/A	N/A	Did not root; cutting went mushy after three weeks; lower stem method not reliable
Herb pot - Basil	Ocimum basilicum	2025-05-01	Seed from co-op seed bank	N/A	Balcony (seasonal)	Terracotta 6-inch	Daily in heat; every 2 days in cool	N/A	Summer only; balcony faces south; excellent production June through August
Herb pot - Thyme	Thymus vulgaris	2024-05-10	Small plant from Missoula Nursery	N/A	Balcony in summer; kitchen windowsill in winter	Terracotta 4-inch	Every 5 days	N/A	Second year; overwintered indoors on the windowsill; doing well
Herb pot - Rosemary	Salvia rosmarinus	2024-05-10	Small plant from Missoula Nursery	N/A	Balcony in summer; not overwintered (too cold)	Terracotta 6-inch	Every 4 days	N/A	Cannot overwinter on Montana balcony; will buy fresh each May
Cherry tomatoes - Sungold	Solanum lycopersicum	2025-04-15	Seedling from co-op	N/A	Balcony large pot (seasonal)	15-gallon fabric pot	Daily when fruiting	N/A	Best balcony tomato for Missoula; good production even in mountain summer
Cherry tomatoes - Black Cherry	Solanum lycopersicum	2025-04-15	Seedling from co-op	N/A	Balcony large pot (seasonal)	15-gallon fabric pot	Daily when fruiting	N/A	First time trying this variety; darker fruit; sweeter than expected
Neon Pothos	Epipremnum aureum neon	2025-11-20	Stem cutting in water	Bought parent at Missoula Nursery October 2025	Mason jar on kitchen shelf	Rooting in jar; will pot in spring	Until rooted; every 10 days after	N/A	New variety; bright yellow-green; rooting faster than golden; four cuttings total
Pearl and Jade Pothos cutting	Epipremnum aureum Pearl and Jade	2026-01-05	Stem cutting in water	Given by Sasha (her plant)	Bathroom windowsill	Mason jar	Until rooted	N/A	Sasha's propagation gift; variegated; rooting slowly but roots visible
