Date	Merchant	Category	Account	Amount	Notes
2026-01-02	Donut Depot	Coffee	Checking 4412	4.75	Iced coffee
2026-01-02	MBTA Charlie	Transit	Checking 4412	2.40	Red Line
2026-01-03	Donut Depot	Coffee	Checking 4412	6.50	Bagel and coffee
2026-01-04	Greenfield Market	Groceries	Checking 4412	37.10	Weekly shop
2026-01-05	Spotify	Subscriptions	Checking 4412	11.99	Premium
2026-01-06	The Ashmont Tap	Dining	Checking 4412	32.00	Friday beers
2026-01-08	MBTA Charlie	Transit	Checking 4412	30.00	Charlie reload
2026-01-10	Trattoria del Sol	Dining	Checking 4412	58.40	Dinner with Rachel
2026-01-11	Corner Market	Groceries	Checking 4412	27.04	Midweek
2026-01-12	Coinbase	Investing	Checking 4412	46.60	ETH buy
2026-01-12	Beacon Roth Transfer	Savings	Transfer	200.00	Monthly Roth
2026-01-13	DoorDash	Dining	Checking 4412	24.15	Grading night
2026-01-15	Watchbox	Subscriptions	Checking 4412	9.99	Streaming
2026-01-18	Greenfield Market	Groceries	Checking 4412	73.36	Pot roast and dog food
2026-01-20	CVS Pharmacy	Health	Checking 4412	12.00	Lisinopril copay
2026-01-22	SportZone+	Subscriptions	Checking 4412	14.99	Celtics games
2026-01-25	Corner Market	Groceries	Checking 4412	19.98	Coffee beans
2026-01-28	Donut Depot	Coffee	Checking 4412	4.75	Iced coffee
2026-01-30	BEU Dues	Union	Payroll	85.00	Monthly dues
2026-01-31	PayPal	Family	Checking 4412	200.00	Grandma care to L. Russo
