Played_At	Type	Title	Artist_or_Show	Duration_min	Device
2026-02-09 05:22	Podcast	The Lawrence Strike Revisited	Working History	48	iPhone
2026-02-09 06:18	Song	American Girl	Tom Petty	3	iPhone
2026-02-09 06:21	Song	Born to Run	Bruce Springsteen	4	iPhone
2026-02-08 07:40	Podcast	Celtics Postgame Breakdown	The Garden Report	61	iPhone
2026-02-07 17:05	Podcast	Bread and Roses 1912	Labor Notes Audio	37	iPhone
2026-02-07 18:30	Song	Everlong	Foo Fighters	4	Apple TV
2026-02-06 05:30	Podcast	The Knights of Labor	American History Tellers	42	AirPods
2026-02-05 06:15	Song	N.Y. State of Mind	Nas	4	AirPods
2026-02-04 05:25	Podcast	Pullman 1894	Working History	51	iPhone
2026-02-03 17:10	Song	Alright	Kendrick Lamar	5	iPhone
2026-02-02 06:20	Song	Refugee	Tom Petty	3	iPhone
2026-02-01 09:05	Podcast	Contract Season Field Notes	The Labor Dispatch	29	iPhone
