Initials	Section	Assignment	Type	Points_Possible	Points_Earned	Submitted	Date
E.R.	AP-USH-A	Gilded Age DBQ	DBQ	7	7	On time	2026-01-16
J.M.	AP-USH-A	Gilded Age DBQ	DBQ	7	5	On time	2026-01-16
C.N.	AP-USH-A	Gilded Age DBQ	DBQ	7	6	On time	2026-01-16
A.D.	AP-USH-B	Progressive Era Quiz	Quiz	20	14	On time	2026-01-21
M.K.	AP-USH-B	Progressive Era Quiz	Quiz	20	18	On time	2026-01-21
R.S.	AP-USH-B	Progressive Era Quiz	Quiz	20	15	Late	2026-01-22
E.R.	AP-USH-A	Labor Source Analysis	Worksheet	15	15	On time	2026-02-03
J.M.	AP-USH-A	Labor Source Analysis	Worksheet	15	12	On time	2026-02-03
L.P.	AP-USH-B	Progressive Era Quiz	Quiz	20	11	Late	2026-01-23
S.W.	WH-10-C	Industrial Revolution Map	Project	25	22	On time	2026-02-06
T.O.	AP-USH-A	Labor Source Analysis	Worksheet	15	13	On time	2026-02-03
D.F.	AP-USH-A	Gilded Age DBQ	DBQ	7	6	On time	2026-01-16
