campaign_id,campaign_name,cohort,sent,opened,completed,avg_time_seconds
HS-2026-Q3-001,Winter HOS Refresh,Southeast Long,58,42,31,412
HS-2026-Q3-001,Winter HOS Refresh,Southeast Short,44,32,24,398
HS-2026-Q3-001,Winter HOS Refresh,Midwest Long,52,38,27,405
HS-2026-Q3-001,Winter HOS Refresh,Midwest Short,41,29,19,384
HS-2026-Q3-002,Fuel Card Scanner Fallback,Southeast Long,58,44,22,201
HS-2026-Q3-002,Fuel Card Scanner Fallback,Southeast Short,44,33,18,188
HS-2026-Q3-002,Fuel Card Scanner Fallback,Midwest Long,52,41,26,214
HS-2026-Q3-002,Fuel Card Scanner Fallback,Midwest Short,41,31,17,192
HS-2026-Q4-003,Cold Start Tablet Behavior,Southeast Long,58,39,14,155
HS-2026-Q4-003,Cold Start Tablet Behavior,Southeast Short,44,28,9,142
HS-2026-Q4-003,Cold Start Tablet Behavior,Midwest Long,52,44,31,388
HS-2026-Q4-003,Cold Start Tablet Behavior,Midwest Short,41,35,24,362
HS-2026-Q4-004,Independent Stop Security Watch,Southeast Long,58,47,38,468
HS-2026-Q4-004,Independent Stop Security Watch,Southeast Short,44,38,29,441
HS-2026-Q4-004,Independent Stop Security Watch,Midwest Long,52,33,18,203
HS-2026-Q4-004,Independent Stop Security Watch,Midwest Short,41,27,14,188
