record_id,stop_id,month,driver_count,avg_hours_used,incident_tag,notes
FL00001,TS001,2026-01,9,7.6,mechanical,pump outage
FL00002,TS001,2026-02,16,6.9,none,
FL00003,TS001,2026-03,36,8.2,minor,
FL00004,TS001,2026-04,3,7.4,minor,
FL00005,TS001,2026-05,40,7.3,mechanical,pump outage
FL00006,TS001,2026-06,36,8.3,none,
FL00007,TS001,2026-07,19,6.5,none,
FL00008,TS001,2026-08,12,7.9,none,
FL00009,TS001,2026-09,11,9.6,none,
FL00010,TS001,2026-10,8,6.9,minor,
FL00011,TS001,2026-11,24,9.7,none,
FL00012,TS001,2026-12,31,10.4,none,
FL00013,TS002,2026-01,26,7.7,minor,
FL00014,TS002,2026-02,25,9.3,none,
FL00015,TS002,2026-03,4,9.6,none,
FL00016,TS002,2026-04,7,10.0,none,
FL00017,TS002,2026-05,26,9.0,none,
FL00018,TS002,2026-06,25,7.9,none,
FL00019,TS002,2026-07,19,9.2,none,
FL00020,TS002,2026-08,6,7.2,none,
FL00021,TS002,2026-09,17,8.0,none,
FL00022,TS002,2026-10,37,7.8,none,
FL00023,TS002,2026-11,5,6.6,none,
FL00024,TS002,2026-12,22,6.8,none,
FL00025,TS003,2026-01,5,8.5,none,
FL00026,TS003,2026-02,2,7.5,none,
FL00027,TS003,2026-03,8,8.8,none,
FL00028,TS003,2026-04,6,10.5,none,
FL00029,TS003,2026-05,8,9.5,none,
FL00030,TS003,2026-06,2,9.7,none,
FL00031,TS003,2026-07,1,8.9,none,
FL00032,TS003,2026-08,8,8.7,none,
FL00033,TS003,2026-09,1,8.6,none,
FL00034,TS003,2026-10,5,8.2,safety,lot lighting failed
FL00035,TS003,2026-11,0,10.0,none,
FL00036,TS003,2026-12,8,8.5,none,
FL00037,TS004,2026-01,4,8.5,none,
FL00038,TS004,2026-02,2,7.1,none,
FL00039,TS004,2026-03,0,8.5,none,
FL00040,TS004,2026-04,5,9.8,none,
FL00041,TS004,2026-05,3,10.0,minor,
FL00042,TS004,2026-06,1,9.8,none,
FL00043,TS004,2026-07,2,8.4,none,
FL00044,TS004,2026-08,2,10.0,none,
FL00045,TS004,2026-09,3,9.5,none,
FL00046,TS004,2026-10,4,9.2,none,
FL00047,TS004,2026-11,7,8.3,none,
FL00048,TS004,2026-12,3,6.6,minor,
FL00049,TS005,2026-01,37,7.4,none,
FL00050,TS005,2026-02,6,6.7,none,
FL00051,TS005,2026-03,6,9.9,none,
FL00052,TS005,2026-04,6,7.6,none,
FL00053,TS005,2026-05,33,7.0,none,
FL00054,TS005,2026-06,38,7.5,none,
FL00055,TS005,2026-07,32,7.3,none,
FL00056,TS005,2026-08,8,7.9,none,
FL00057,TS005,2026-09,28,9.4,none,
FL00058,TS005,2026-10,8,9.4,minor,
FL00059,TS005,2026-11,8,7.3,none,
FL00060,TS005,2026-12,30,7.2,none,
FL00061,TS006,2026-01,3,6.8,none,
FL00062,TS006,2026-02,1,10.5,security,reported theft or approach
FL00063,TS006,2026-03,1,9.9,none,
FL00064,TS006,2026-04,6,7.4,none,
FL00065,TS006,2026-05,0,6.5,security,reported theft or approach
FL00066,TS006,2026-06,4,9.6,none,
FL00067,TS006,2026-07,6,9.4,none,
FL00068,TS006,2026-08,7,7.7,security,reported theft or approach
FL00069,TS006,2026-09,8,7.8,security,reported theft or approach
FL00070,TS006,2026-10,7,9.9,none,
FL00071,TS006,2026-11,0,6.8,none,
FL00072,TS006,2026-12,1,9.2,none,
FL00073,TS007,2026-01,17,10.3,none,
FL00074,TS007,2026-02,38,8.9,none,
FL00075,TS007,2026-03,7,8.8,none,
