date,odometer_miles,service,shop,cost_usd,paid_from,notes
2023-02-18,42188,oil change synthetic + filter,Larry's Garage Southside,68.50,checking,standard 5W-30 Motorcraft
2023-05-27,44012,tire rotation,Larry's Garage Southside,25.00,checking,front tires wearing inside
2023-08-19,46331,oil change synthetic + filter,Larry's Garage Southside,68.50,checking,
2023-09-30,47115,new wiper blades front + rear,AutoZone Green Springs,42.19,checking,did the swap in the lot
2023-11-11,48402,oil change synthetic + filter,Larry's Garage Southside,72.00,checking,price up 3.50
2024-01-13,49688,battery replacement,Interstate Batteries Homewood,178.44,checking,cranked slow all week Jan 8
2024-02-24,50519,tire rotation + alignment,Discount Tire Hoover,109.00,checking,pull left corrected
2024-04-06,51840,oil change synthetic + filter,Larry's Garage Southside,72.00,checking,
2024-05-18,53002,brake pads front + rotors turned,Larry's Garage Southside,318.75,savings,Dale rode along
2024-07-27,54611,oil change synthetic + filter,Larry's Garage Southside,72.00,checking,
2024-09-14,55842,cabin air filter + engine air filter,AutoZone Green Springs,44.28,checking,did both in the driveway
2024-11-02,57118,oil change synthetic + filter,Larry's Garage Southside,74.00,checking,price up 2.00
2025-01-25,58227,tire rotation,Discount Tire Hoover,26.00,checking,
2025-03-08,58990,oil change synthetic + filter,Larry's Garage Southside,74.00,checking,
2025-05-17,59788,coolant flush + thermostat,Larry's Garage Southside,241.60,savings,ran a little warm on the drive to Tuscaloosa
2025-07-19,60312,oil change synthetic + filter,Larry's Garage Southside,74.00,checking,
2025-09-13,60706,new set of tires (4) Michelin Defender LTX,Discount Tire Hoover,928.44,savings,over $150 cleared ahead with self
2025-11-01,60918,alignment after new tires,Discount Tire Hoover,89.00,checking,included with tire warranty save $20
2025-12-20,61044,oil change synthetic + filter,Larry's Garage Southside,74.00,checking,before Christmas home time
2026-02-22,61088,wiper blades rear replacement,AutoZone Green Springs,17.29,checking,
2026-03-29,61103,cabin air filter,AutoZone Green Springs,22.14,checking,
2026-05-24,61147,oil change synthetic + filter,Larry's Garage Southside,74.00,checking,
2026-07-26,61189,tire rotation,Discount Tire Hoover,26.00,checking,
2026-09-27,61221,oil change synthetic + filter,Larry's Garage Southside,76.00,checking,price up 2.00
2026-10-28,61236,new battery terminal clamp,AutoZone Green Springs,11.89,checking,corroded terminal cleaned
2026-12-27,61258,oil change synthetic + filter,Larry's Garage Southside,76.00,checking,before January home time slot
