Load_Number	Pickup_Date	Delivery_Date	Origin_City	Origin_State	Destination_City	Destination_State	Miles	Commodity	Gross_Weight_lbs	Status	On_Time
RFS-2025-00118	01/06/2025	01/08/2025	Birmingham	AL	Columbus	OH	612	Industrial Supplies	38400	Delivered	Yes
RFS-2025-00134	01/13/2025	01/14/2025	Nashville	TN	Charlotte	NC	549	Retail Merchandise	41200	Delivered	Yes
RFS-2025-00151	01/20/2025	01/22/2025	Atlanta	GA	Indianapolis	IN	724	Automotive Parts	36800	Delivered	Yes
RFS-2025-00188	02/03/2025	02/05/2025	Birmingham	AL	Louisville	KY	416	Construction Materials	44000	Delivered	Yes
RFS-2025-00204	02/10/2025	02/11/2025	Memphis	TN	Nashville	TN	402	Food Grade Dry	29600	Delivered	Yes
RFS-2025-00221	02/18/2025	02/20/2025	Nashville	TN	Columbus	OH	634	Industrial Supplies	37200	Delivered	Yes
RFS-2025-00258	03/03/2025	03/05/2025	Birmingham	AL	Jacksonville	FL	608	Retail Merchandise	32400	Delivered	Yes
RFS-2025-00274	03/10/2025	03/12/2025	Atlanta	GA	Cincinnati	OH	792	Automotive Parts	40800	Delivered	Yes
RFS-2025-00291	03/18/2025	03/20/2025	Knoxville	TN	Indianapolis	IN	618	Electronics	28400	Delivered	Yes
RFS-2025-00318	04/01/2025	04/02/2025	Nashville	TN	Louisville	KY	412	Food Grade Dry	31600	Delivered	Yes
RFS-2025-00335	04/07/2025	04/09/2025	Birmingham	AL	Columbus	OH	628	Industrial Supplies	39200	Delivered	Yes
RFS-2025-00352	04/14/2025	04/16/2025	Charlotte	NC	Memphis	TN	758	Retail Merchandise	36000	Delivered	Yes
RFS-2025-00389	05/05/2025	05/07/2025	Atlanta	GA	Detroit	MI	1124	Automotive Parts	42800	Delivered	Yes
RFS-2025-00405	05/12/2025	05/14/2025	Nashville	TN	Chicago	IL	851	Construction Materials	44000	Delivered	No - Delayed 6 hours. Ice storm on I-65 near Chicago required chain-up stop and detour.
RFS-2025-00422	05/19/2025	05/21/2025	Birmingham	AL	Columbia	SC	574	Food Grade Dry	30400	Delivered	Yes
RFS-2025-00459	06/02/2025	06/04/2025	Memphis	TN	Columbus	OH	748	Industrial Supplies	38800	Delivered	Yes
RFS-2025-00475	06/09/2025	06/11/2025	Birmingham	AL	Louisville	KY	422	Electronics	26800	Delivered	Yes
RFS-2025-00491	06/16/2025	06/18/2025	Nashville	TN	Charlotte	NC	556	Retail Merchandise	35200	Delivered	Yes
RFS-2025-00528	07/07/2025	07/09/2025	Atlanta	GA	Indianapolis	IN	731	Automotive Parts	41600	Delivered	Yes
RFS-2025-00544	07/14/2025	07/16/2025	Birmingham	AL	Columbus	OH	614	Construction Materials	43200	Delivered	Yes
RFS-2025-00561	07/21/2025	07/22/2025	Knoxville	TN	Nashville	TN	418	Food Grade Dry	28800	Delivered	Yes
RFS-2025-00598	08/04/2025	08/06/2025	Nashville	TN	Chicago	IL	868	Retail Merchandise	37600	Delivered	Yes
RFS-2025-00614	08/11/2025	08/13/2025	Birmingham	AL	Cincinnati	OH	668	Industrial Supplies	40400	Delivered	Yes
RFS-2025-00631	08/18/2025	08/20/2025	Columbus	OH	Jacksonville	FL	1008	Automotive Parts	38000	Delivered	Yes
RFS-2025-00668	09/02/2025	09/03/2025	Memphis	TN	Nashville	TN	408	Food Grade Dry	31200	Delivered	Yes
RFS-2025-00684	09/08/2025	09/10/2025	Birmingham	AL	Louisville	KY	418	Electronics	27600	Delivered	Yes
RFS-2025-00701	09/15/2025	09/17/2025	Nashville	TN	Columbus	OH	641	Construction Materials	43600	Delivered	No - Delayed 4 hours. Traffic accident backup on I-71 near Cincinnati, 3-mile standstill. No fault of driver.
RFS-2025-00738	10/06/2025	10/08/2025	Atlanta	GA	Detroit	MI	1138	Automotive Parts	42400	Delivered	Yes
RFS-2025-00754	10/13/2025	10/15/2025	Birmingham	AL	Columbus	OH	618	Industrial Supplies	38800	Delivered	Yes
RFS-2025-00771	10/20/2025	10/22/2025	Nashville	TN	Charlotte	NC	543	Retail Merchandise	34800	Delivered	Yes
RFS-2025-00808	11/03/2025	11/05/2025	Nashville	TN	Columbus	OH	638	Industrial Supplies	39200	Delivered	Yes
RFS-2025-00824	11/10/2025	11/12/2025	Birmingham	AL	Indianapolis	IN	728	Automotive Parts	41200	Delivered	Yes
RFS-2025-00841	11/17/2025	11/19/2025	Louisville	KY	Charlotte	NC	772	Retail Merchandise	36400	Delivered	Yes
RFS-2025-00878	12/01/2025	12/03/2025	Birmingham	AL	Columbus	OH	619	Construction Materials	44000	Delivered	Yes
RFS-2025-00894	12/08/2025	12/10/2025	Nashville	TN	Louisville	KY	416	Food Grade Dry	30800	Delivered	Yes
RFS-2025-00911	12/15/2025	12/17/2025	Atlanta	GA	Indianapolis	IN	728	Electronics	29200	Delivered	Yes
