id,name,description,active,created
prod_membership,Cedar Ridge Membership — Monthly,"Adult / youth martial arts membership, unlimited classes",True,1704067200
prod_dropin,Drop-In Class,Single class drop-in,True,1704067200
prod_tournament,Fall Tournament Registration,Fall 2026 Kendo + Judo tournament competitor entry,True,1735689600
prod_spectator,Fall Tournament Spectator,Fall 2026 tournament spectator wristband,True,1735689600
prod_sponsorship,Fall Tournament Sponsorship,Sponsorship tiers for Fall Tournament 2026,True,1719811200
prod_00305,Annual Prepay v6,inactive,2026-06-21T09:01:00-07:00,detail_754
prod_00306,Annual Prepay v7,inactive,2024-11-12T17:21:00-07:00,detail_631
prod_00307,Seminar Ticket v8,inactive,2025-10-31T17:06:00-07:00,detail_380
prod_00308,Rank Test Fee v9,inactive,2026-04-02T10:13:00-07:00,detail_487
prod_00309,Monthly Membership v10,inactive,2024-01-28T11:23:00-07:00,detail_169
prod_00310,Private Lesson v1,inactive,2025-05-09T20:48:00-07:00,detail_877
prod_00311,Merch (Variable) v2,active,2024-02-05T19:30:00-07:00,detail_968
prod_00312,Rank Test Fee v3,inactive,2024-02-25T20:07:00-07:00,detail_974
prod_00313,Seminar Ticket v4,inactive,2024-11-24T12:20:00-07:00,detail_759
prod_00314,Merch (Variable) v5,inactive,2025-01-10T19:39:00-07:00,detail_894
prod_00315,Seminar Ticket v6,inactive,2024-01-24T09:31:00-07:00,detail_994
prod_00316,Merch (Variable) v7,active,2026-03-21T11:16:00-07:00,detail_291
prod_00317,Private Lesson v8,active,2025-09-09T17:54:00-07:00,detail_337
prod_00318,Rank Test Fee v9,active,2024-07-31T20:21:00-07:00,detail_331
prod_00319,Drop-In Class v10,active,2024-11-22T13:51:00-07:00,detail_130
prod_00320,Monthly Membership v1,inactive,2025-09-21T08:43:00-07:00,detail_433
prod_00321,Monthly Membership v2,active,2024-12-27T17:36:00-07:00,detail_216
prod_00322,Merch (Variable) v3,active,2026-08-29T16:41:00-07:00,detail_154
prod_00323,Annual Prepay v4,inactive,2024-10-10T11:36:00-07:00,detail_372
prod_00324,Monthly Membership v5,inactive,2024-04-23T15:06:00-07:00,detail_453
prod_00325,Drop-In Class v6,active,2026-04-07T14:20:00-07:00,detail_791
prod_00326,Monthly Membership v7,active,2025-08-24T13:09:00-07:00,detail_537
prod_00327,Private Lesson v8,active,2025-08-15T08:17:00-07:00,detail_118
prod_00328,Drop-In Class v9,active,2025-12-04T15:27:00-07:00,detail_547
prod_00329,Merch (Variable) v10,active,2025-03-27T09:41:00-07:00,detail_795
prod_00330,Annual Prepay v1,active,2024-06-19T19:27:00-07:00,detail_641
prod_00331,Private Lesson v2,inactive,2024-08-02T18:31:00-07:00,detail_395
prod_00332,Rank Test Fee v3,inactive,2026-03-29T15:21:00-07:00,detail_234
prod_00333,Monthly Membership v4,inactive,2025-12-27T10:42:00-07:00,detail_103
prod_00334,Drop-In Class v5,active,2024-06-08T12:53:00-07:00,detail_688
prod_00335,Drop-In Class v6,active,2025-11-08T19:19:00-07:00,detail_208
prod_00336,Monthly Membership v7,active,2026-06-26T19:45:00-07:00,detail_376
prod_00337,Private Lesson v8,active,2026-04-05T17:57:00-07:00,detail_120
prod_00338,Annual Prepay v9,active,2024-11-20T08:02:00-07:00,detail_649
prod_00339,Seminar Ticket v10,active,2025-11-21T15:37:00-07:00,detail_143
prod_00340,Drop-In Class v1,active,2024-10-10T12:43:00-07:00,detail_161
prod_00341,Rank Test Fee v2,inactive,2026-05-28T19:19:00-07:00,detail_813
prod_00342,Rank Test Fee v3,active,2025-01-03T09:33:00-07:00,detail_599
prod_00343,Drop-In Class v4,active,2025-02-17T08:02:00-07:00,detail_792
prod_00344,Rank Test Fee v5,inactive,2025-11-15T19:52:00-07:00,detail_850
prod_00345,Drop-In Class v6,inactive,2025-12-10T16:23:00-07:00,detail_193
prod_00346,Drop-In Class v7,inactive,2024-02-20T18:53:00-07:00,detail_486
prod_00347,Private Lesson v8,active,2026-08-18T16:49:00-07:00,detail_559
prod_00348,Rank Test Fee v9,active,2026-07-04T18:13:00-07:00,detail_578
prod_00349,Annual Prepay v10,inactive,2024-10-27T13:25:00-07:00,detail_104
prod_00350,Seminar Ticket v1,active,2026-08-06T20:13:00-07:00,detail_718
prod_00351,Rank Test Fee v2,active,2025-01-22T19:10:00-07:00,detail_195
prod_00352,Merch (Variable) v3,active,2024-07-24T17:24:00-07:00,detail_419
prod_00353,Rank Test Fee v4,inactive,2024-06-24T15:36:00-07:00,detail_934
prod_00354,Annual Prepay v5,active,2025-02-14T17:21:00-07:00,detail_711
prod_00355,Rank Test Fee v6,inactive,2025-05-17T14:51:00-07:00,detail_686
prod_00356,Seminar Ticket v7,active,2024-04-29T19:55:00-07:00,detail_170
prod_00357,Private Lesson v8,active,2024-11-10T16:26:00-07:00,detail_153
prod_00358,Rank Test Fee v9,inactive,2025-06-05T15:06:00-07:00,detail_567
prod_00359,Rank Test Fee v10,active,2024-11-07T12:48:00-07:00,detail_861
prod_00360,Drop-In Class v1,active,2024-08-03T18:01:00-07:00,detail_773
prod_00361,Monthly Membership v2,inactive,2025-05-03T20:30:00-07:00,detail_497
prod_00362,Rank Test Fee v3,active,2026-08-14T09:28:00-07:00,detail_189
