Item	Room	Highland House Trade	Maison Trade Collective	Trade Discount	Selected Vendor	Selected Price	Lead Time
Sofa, 96 inch low profile	Living room	4850	5120	20 percent	Highland House Trade	3880	9 weeks
Lounge chair, swivel base	Living room	2200	1980	20 percent	Maison Trade Collective	1584	10 weeks
Coffee table, oval stone top	Living room	1750	1640	20 percent	Maison Trade Collective	1312	8 weeks
Media console, walnut	Living room	3100	3340	20 percent	Highland House Trade	2480	11 weeks
Dining table, 84 inch	Dining	4200	4050	20 percent	Maison Trade Collective	3240	12 weeks
Dining chairs, set of six	Dining	3600	3900	20 percent	Highland House Trade	2880	9 weeks
Floor lamp, arc brass	Living room	920	880	20 percent	Maison Trade Collective	704	5 weeks
Sideboard, ribbed front	Dining	2650	2480	20 percent	Maison Trade Collective	1984	10 weeks
Bed frame, upholstered king	Primary	3300	3150	20 percent	Maison Trade Collective	2520	11 weeks
Nightstands, pair	Primary	1480	1560	20 percent	Highland House Trade	1184	8 weeks
Selected subtotal	All	0	0	applied	mixed	21768	blended
