water_id,date,cups,notes
w_0000,2026-10-15,9,
w_0001,2026-08-01,12,
w_0002,2026-07-09,11,
w_0003,2026-06-25,11,
w_0004,2026-09-06,11,
w_0005,2026-07-10,4,
w_0006,2026-05-29,4,
w_0007,2026-06-21,11,
w_0008,2026-10-06,4,
w_0009,2026-08-27,12,
w_0010,2026-07-25,5,
w_0011,2026-08-01,6,
w_0012,2026-09-03,9,
w_0013,2026-08-31,8,
w_0014,2026-06-27,12,
w_0015,2026-04-17,11,
w_0016,2026-06-17,8,
w_0017,2026-09-15,11,
w_0018,2026-04-11,12,
w_0019,2026-07-30,11,
w_0020,2026-09-25,11,
w_0021,2026-09-27,10,
w_0022,2026-06-23,11,
w_0023,2026-08-10,7,
w_0024,2026-06-09,9,
w_0025,2026-04-22,5,
w_0026,2026-08-06,12,
w_0027,2026-10-14,4,
w_0028,2026-09-21,12,
w_0029,2026-07-12,9,
w_0030,2026-09-04,4,
w_0031,2026-07-17,11,
w_0032,2026-07-28,10,
w_0033,2026-07-19,9,
w_0034,2026-08-16,7,
w_0035,2026-04-06,5,
w_0036,2026-07-06,6,
w_0037,2026-09-05,8,
w_0038,2026-05-24,10,
w_0039,2026-06-12,6,
w_0040,2026-04-30,7,
w_0041,2026-04-22,9,
w_0042,2026-04-24,8,
w_0043,2026-07-12,9,
w_0044,2026-04-15,9,
w_0045,2026-04-06,8,
w_0046,2026-05-08,5,
w_0047,2026-09-08,11,
w_0048,2026-06-13,8,
w_0049,2026-08-24,12,
w_0050,2026-06-18,7,
w_0051,2026-04-15,11,
w_0052,2026-04-27,10,
w_0053,2026-06-11,5,
w_0054,2026-05-24,9,
w_0055,2026-06-06,8,
w_0056,2026-05-19,11,
w_0057,2026-04-24,12,
w_0058,2026-07-13,4,
w_0059,2026-10-03,11,
w_0060,2026-07-09,6,
w_0061,2026-04-13,12,
w_0062,2026-09-07,11,
w_0063,2026-05-03,10,
w_0064,2026-05-04,7,
w_0065,2026-09-28,6,
w_0066,2026-07-19,11,
w_0067,2026-08-18,9,
w_0068,2026-05-12,6,
w_0069,2026-08-05,9,
w_0070,2026-04-06,9,
w_0071,2026-07-11,6,
w_0072,2026-05-01,6,
w_0073,2026-08-21,10,
w_0074,2026-07-15,12,
w_0075,2026-05-17,9,
w_0076,2026-09-15,8,
w_0077,2026-08-09,6,
w_0078,2026-07-21,4,
w_0079,2026-07-22,8,
w_0080,2026-06-01,7,
w_0081,2026-08-09,6,
w_0082,2026-08-04,9,
w_0083,2026-10-04,11,
w_0084,2026-08-14,11,
w_0085,2026-05-19,11,
w_0086,2026-05-11,4,
w_0087,2026-10-13,10,
w_0088,2026-04-30,7,
w_0089,2026-08-22,7,
w_0090,2026-07-24,11,
w_0091,2026-06-16,4,
w_0092,2026-04-15,8,
w_0093,2026-04-30,11,
w_0094,2026-07-17,4,
w_0095,2026-04-17,5,
w_0096,2026-08-30,11,
w_0097,2026-08-22,12,
w_0098,2026-06-27,10,
w_0099,2026-04-12,5,
w_0100,2026-04-18,10,
w_0101,2026-08-21,9,
w_0102,2026-09-20,9,
w_0103,2026-08-08,8,
w_0104,2026-06-15,5,
w_0105,2026-04-14,5,
w_0106,2026-04-27,12,
w_0107,2026-08-19,10,
w_0108,2026-10-15,11,
w_0109,2026-08-27,11,
w_0110,2026-04-07,6,
w_0111,2026-04-02,8,
w_0112,2026-04-24,4,
w_0113,2026-07-02,6,
w_0114,2026-05-22,12,
w_0115,2026-09-04,8,
w_0116,2026-04-02,9,
w_0117,2026-08-11,4,
w_0118,2026-04-12,11,
w_0119,2026-05-26,12,
