exercise_type_id,exercise_name,category,calories_per_minute_low,calories_per_minute_high,met_value
1,Walking,Cardio,3,7,3.5
2,Swimming,Cardio,5,12,6.0
3,Cycling,Cardio,4,10,5.5
4,Strength Training,Strength,3,8,4.0
10,Exercise 0,Strength,5,11,5.5
11,Exercise 1,Strength,2,7,8.8
12,Exercise 2,Cardio,4,8,2.4
13,Exercise 3,Cardio,3,9,7.1
14,Exercise 4,Cardio,3,7,9.0
15,Exercise 5,Strength,4,10,6.5
16,Exercise 6,Cardio,3,5,5.6
17,Exercise 7,Cardio,5,9,2.8
18,Exercise 8,Strength,2,6,5.1
19,Exercise 9,Strength,5,8,8.0
20,Exercise 10,Cardio,2,6,3.5
21,Exercise 11,Cardio,6,8,4.7
22,Exercise 12,Strength,5,9,8.9
23,Exercise 13,Cardio,3,9,9.1
24,Exercise 14,Cardio,3,6,7.5
25,Exercise 15,Cardio,6,8,9.0
26,Exercise 16,Strength,3,9,5.2
27,Exercise 17,Strength,3,7,9.4
28,Exercise 18,Strength,5,7,7.4
29,Exercise 19,Strength,3,6,6.7
30,Exercise 20,Cardio,3,9,4.5
31,Exercise 21,Strength,2,7,5.8
32,Exercise 22,Cardio,3,5,8.7
33,Exercise 23,Cardio,2,5,3.3
34,Exercise 24,Strength,6,12,5.9
35,Exercise 25,Cardio,6,12,9.9
36,Exercise 26,Strength,3,7,3.4
37,Exercise 27,Strength,6,9,4.8
38,Exercise 28,Cardio,3,6,8.0
39,Exercise 29,Cardio,4,6,4.7
40,Exercise 30,Cardio,3,8,4.7
41,Exercise 31,Strength,2,5,5.7
42,Exercise 32,Strength,3,8,3.1
43,Exercise 33,Cardio,5,10,6.2
44,Exercise 34,Strength,5,9,5.3
45,Exercise 35,Cardio,4,9,9.7
46,Exercise 36,Strength,2,8,6.3
47,Exercise 37,Strength,2,4,4.1
48,Exercise 38,Cardio,2,8,9.1
49,Exercise 39,Strength,4,9,3.8
50,Exercise 40,Cardio,2,5,3.6
51,Exercise 41,Cardio,5,8,9.4
52,Exercise 42,Cardio,2,5,2.3
53,Exercise 43,Cardio,6,10,4.5
54,Exercise 44,Strength,5,9,6.9
55,Exercise 45,Strength,4,6,7.1
56,Exercise 46,Cardio,4,6,3.5
57,Exercise 47,Cardio,6,9,4.9
58,Exercise 48,Strength,3,5,5.0
59,Exercise 49,Cardio,5,11,2.9
60,Exercise 50,Cardio,5,8,6.5
61,Exercise 51,Strength,3,8,2.6
62,Exercise 52,Strength,6,12,4.3
63,Exercise 53,Strength,3,5,6.3
64,Exercise 54,Strength,4,10,7.9
65,Exercise 55,Cardio,3,9,9.5
66,Exercise 56,Cardio,3,5,8.8
67,Exercise 57,Strength,5,11,9.6
68,Exercise 58,Strength,6,12,8.7
69,Exercise 59,Strength,2,8,6.5
70,Exercise 60,Cardio,4,8,9.3
71,Exercise 61,Cardio,2,4,9.2
72,Exercise 62,Strength,6,9,7.2
73,Exercise 63,Strength,2,6,5.1
74,Exercise 64,Cardio,2,4,8.5
75,Exercise 65,Strength,4,7,3.1
76,Exercise 66,Strength,3,7,5.5
77,Exercise 67,Cardio,5,7,2.0
78,Exercise 68,Strength,3,8,7.4
79,Exercise 69,Strength,5,11,4.8
80,Exercise 70,Strength,2,4,6.3
81,Exercise 71,Cardio,6,8,8.0
82,Exercise 72,Cardio,6,9,7.1
83,Exercise 73,Strength,3,9,7.3
84,Exercise 74,Strength,3,9,9.2
85,Exercise 75,Cardio,2,4,3.2
86,Exercise 76,Strength,4,6,2.2
87,Exercise 77,Cardio,2,5,3.4
88,Exercise 78,Cardio,3,6,9.6
89,Exercise 79,Cardio,5,7,5.5
90,Exercise 80,Strength,4,7,7.3
91,Exercise 81,Strength,2,7,6.0
92,Exercise 82,Cardio,4,7,7.5
93,Exercise 83,Strength,6,8,4.5
94,Exercise 84,Cardio,5,8,5.2
95,Exercise 85,Cardio,4,8,9.7
96,Exercise 86,Strength,3,6,3.6
97,Exercise 87,Strength,6,10,6.0
98,Exercise 88,Cardio,5,9,9.9
99,Exercise 89,Strength,3,5,4.0
100,Exercise 90,Strength,5,10,7.7
101,Exercise 91,Strength,5,11,9.7
102,Exercise 92,Strength,2,4,7.2
103,Exercise 93,Cardio,6,11,6.5
104,Exercise 94,Cardio,3,7,3.0
105,Exercise 95,Strength,2,8,4.1
106,Exercise 96,Cardio,3,7,2.8
107,Exercise 97,Cardio,3,7,3.8
108,Exercise 98,Strength,6,12,2.1
109,Exercise 99,Cardio,2,8,5.1
110,Exercise 100,Strength,4,9,2.7
111,Exercise 101,Cardio,4,9,2.7
112,Exercise 102,Strength,6,10,9.8
113,Exercise 103,Cardio,6,11,5.5
114,Exercise 104,Strength,6,9,4.1
115,Exercise 105,Strength,3,6,6.4
116,Exercise 106,Cardio,4,9,8.4
117,Exercise 107,Cardio,3,9,9.3
118,Exercise 108,Cardio,4,6,3.8
119,Exercise 109,Cardio,4,10,7.3
120,Exercise 110,Cardio,2,4,3.9
121,Exercise 111,Strength,2,8,6.5
122,Exercise 112,Cardio,2,6,3.2
123,Exercise 113,Strength,4,7,6.1
124,Exercise 114,Cardio,5,9,3.5
125,Exercise 115,Cardio,4,10,7.0
126,Exercise 116,Cardio,3,6,8.3
127,Exercise 117,Strength,3,8,6.8
128,Exercise 118,Cardio,6,9,3.0
129,Exercise 119,Strength,3,9,6.4
