exercise_id,date,exercise_type_id,exercise_name,duration_minutes,calories_burned,notes
ex_0000,2026-06-16,8,Swimming,23,367,
ex_0001,2026-04-23,6,Strength Training,34,352,
ex_0002,2026-05-15,7,Cycling,57,245,
ex_0003,2026-09-30,5,Cycling,52,177,
ex_0004,2026-09-13,4,Walking,34,151,
ex_0005,2026-10-15,4,Swimming,37,328,
ex_0006,2026-08-17,2,Strength Training,51,256,
ex_0007,2026-06-30,9,Walking,20,428,
ex_0008,2026-05-03,9,Strength Training,56,224,
ex_0009,2026-09-15,8,Strength Training,54,263,
ex_0010,2026-10-02,9,Strength Training,30,169,
ex_0011,2026-07-02,8,Walking,36,491,
ex_0012,2026-06-15,3,Cycling,34,300,
ex_0013,2026-08-26,5,Walking,56,280,
ex_0014,2026-05-15,4,Strength Training,56,447,
ex_0015,2026-08-24,2,Strength Training,59,472,
ex_0016,2026-08-28,7,Walking,51,166,
ex_0017,2026-08-29,3,Swimming,41,427,
ex_0018,2026-10-09,2,Strength Training,54,194,
ex_0019,2026-08-24,1,Cycling,20,232,
ex_0020,2026-10-13,8,Swimming,45,357,
ex_0021,2026-07-01,3,Walking,58,329,
ex_0022,2026-10-14,8,Cycling,42,428,
ex_0023,2026-10-01,6,Swimming,29,379,
ex_0024,2026-04-14,4,Cycling,28,431,
ex_0025,2026-04-07,9,Cycling,57,160,
ex_0026,2026-06-25,5,Swimming,39,395,
ex_0027,2026-05-25,2,Swimming,21,239,
ex_0028,2026-05-22,10,Walking,39,316,
ex_0029,2026-07-21,5,Walking,23,429,
ex_0030,2026-05-02,4,Swimming,44,120,
ex_0031,2026-07-09,3,Swimming,26,350,
ex_0032,2026-07-18,3,Walking,43,236,
ex_0033,2026-08-20,1,Swimming,45,360,
ex_0034,2026-09-23,4,Swimming,57,215,
ex_0035,2026-07-19,9,Walking,29,389,
ex_0036,2026-08-01,6,Strength Training,22,143,
ex_0037,2026-08-26,9,Strength Training,34,184,
ex_0038,2026-10-09,6,Cycling,21,319,
ex_0039,2026-08-22,1,Swimming,32,226,
ex_0040,2026-07-13,5,Swimming,44,187,
ex_0041,2026-05-12,3,Swimming,22,307,
ex_0042,2026-06-04,8,Walking,59,385,
ex_0043,2026-09-16,7,Strength Training,33,365,
ex_0044,2026-06-12,1,Strength Training,47,236,
ex_0045,2026-08-07,9,Strength Training,26,462,
ex_0046,2026-04-16,7,Swimming,42,353,
ex_0047,2026-08-02,6,Walking,44,478,
ex_0048,2026-08-29,10,Walking,31,212,
ex_0049,2026-06-01,7,Cycling,59,119,
ex_0050,2026-05-16,3,Walking,20,398,
ex_0051,2026-04-10,7,Strength Training,41,374,
ex_0052,2026-06-01,2,Cycling,20,408,
ex_0053,2026-08-29,9,Cycling,31,427,
ex_0054,2026-07-28,7,Cycling,53,211,
ex_0055,2026-09-11,9,Walking,38,267,
ex_0056,2026-05-08,6,Walking,50,373,
ex_0057,2026-09-25,8,Swimming,56,478,
ex_0058,2026-07-14,10,Swimming,55,168,
ex_0059,2026-10-01,5,Walking,45,246,
ex_0060,2026-06-26,6,Cycling,56,163,
ex_0061,2026-08-07,1,Cycling,33,286,
ex_0062,2026-05-17,7,Strength Training,32,417,
ex_0063,2026-09-13,10,Cycling,32,273,
ex_0064,2026-07-05,9,Cycling,53,337,
ex_0065,2026-06-03,3,Strength Training,47,466,
ex_0066,2026-08-19,6,Swimming,37,223,
ex_0067,2026-10-15,1,Strength Training,21,360,
ex_0068,2026-07-31,9,Swimming,41,264,
ex_0069,2026-05-22,1,Strength Training,48,415,
ex_0070,2026-08-12,6,Strength Training,35,246,
ex_0071,2026-05-14,7,Cycling,53,488,
ex_0072,2026-06-12,2,Strength Training,40,398,
ex_0073,2026-05-06,9,Strength Training,55,281,
ex_0074,2026-07-15,7,Swimming,49,435,
ex_0075,2026-09-13,10,Walking,33,465,
ex_0076,2026-06-27,5,Strength Training,31,405,
ex_0077,2026-04-11,10,Cycling,59,202,
ex_0078,2026-04-11,4,Walking,23,497,
ex_0079,2026-10-02,5,Cycling,24,294,
ex_0080,2026-09-01,6,Strength Training,57,475,
ex_0081,2026-06-30,3,Cycling,21,368,
ex_0082,2026-10-08,6,Cycling,58,212,
ex_0083,2026-10-02,8,Cycling,42,289,
ex_0084,2026-04-27,1,Cycling,30,385,
ex_0085,2026-09-11,3,Swimming,44,457,
ex_0086,2026-06-02,2,Strength Training,50,320,
ex_0087,2026-04-13,5,Walking,46,358,
ex_0088,2026-08-29,8,Swimming,24,192,
ex_0089,2026-07-07,1,Strength Training,20,269,
ex_0090,2026-06-30,8,Cycling,24,452,
ex_0091,2026-10-05,5,Swimming,37,106,
ex_0092,2026-04-18,9,Walking,56,344,
ex_0093,2026-10-09,2,Strength Training,30,496,
ex_0094,2026-09-06,2,Strength Training,41,291,
ex_0095,2026-09-09,1,Swimming,40,414,
ex_0096,2026-09-01,4,Walking,49,154,
ex_0097,2026-05-25,2,Walking,23,302,
ex_0098,2026-09-29,7,Cycling,41,454,
ex_0099,2026-05-23,8,Strength Training,59,149,
ex_0100,2026-05-12,7,Cycling,34,146,
ex_0101,2026-07-03,5,Swimming,40,120,
ex_0102,2026-06-03,10,Cycling,43,309,
ex_0103,2026-07-14,4,Cycling,20,132,
ex_0104,2026-08-25,9,Cycling,33,440,
ex_0105,2026-10-06,1,Swimming,49,445,
ex_0106,2026-06-29,5,Swimming,54,215,
ex_0107,2026-09-19,7,Strength Training,53,348,
ex_0108,2026-07-29,10,Walking,35,103,
ex_0109,2026-09-04,9,Walking,27,436,
ex_0110,2026-10-05,2,Walking,26,482,
ex_0111,2026-09-22,5,Swimming,39,375,
ex_0112,2026-09-05,1,Cycling,44,304,
ex_0113,2026-09-06,2,Walking,49,257,
ex_0114,2026-04-08,3,Walking,50,244,
ex_0115,2026-10-13,1,Strength Training,29,270,
ex_0116,2026-08-16,6,Strength Training,56,285,
ex_0117,2026-05-08,2,Strength Training,36,486,
ex_0118,2026-10-14,9,Swimming,28,456,
ex_0119,2026-09-16,5,Swimming,57,112,
