entry_id,date,meal,food_id,food_name,brand,serving_size,serving_unit,servings,calories,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,dietary_fiber_g,sugars_g,protein_g
mde_0000,2026-04-01,Breakfast,food_004,Spanakopita,,1 piece,piece,1,339,18,2,44,532,35,1,20,8
mde_0001,2026-04-01,Lunch,food_003,Greek Salad,,1 serving,serving,1,483,4,7,63,174,60,0,10,5
mde_0002,2026-04-01,Dinner,food_004,Spanakopita,,1 piece,piece,1,392,16,5,76,297,55,7,7,27
mde_0003,2026-04-01,Snacks,food_002,Grilled Chicken Souvlaki,,6 oz,oz,1,289,17,5,14,875,48,3,20,21
mde_0004,2026-04-02,Breakfast,food_002,Grilled Chicken Souvlaki,,6 oz,oz,1,152,8,4,37,200,55,5,18,5
mde_0005,2026-04-02,Lunch,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,319,23,8,39,859,44,6,5,15
mde_0006,2026-04-02,Dinner,food_002,Grilled Chicken Souvlaki,,6 oz,oz,1,442,18,12,2,342,50,8,7,23
mde_0007,2026-04-02,Snacks,food_004,Spanakopita,,1 piece,piece,1,239,3,3,0,818,33,6,14,6
mde_0008,2026-04-03,Breakfast,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,231,15,7,4,541,12,6,25,6
mde_0009,2026-04-03,Lunch,food_005,Baklava,,1 piece,piece,1,408,21,3,8,151,42,5,4,25
mde_0010,2026-04-03,Dinner,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,176,8,6,17,590,60,6,16,5
mde_0011,2026-04-03,Snacks,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,427,20,5,70,748,45,0,15,25
mde_0012,2026-04-04,Breakfast,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,278,11,6,16,227,45,1,22,30
mde_0013,2026-04-04,Lunch,food_002,Grilled Chicken Souvlaki,,6 oz,oz,1,409,14,3,60,565,13,2,19,10
mde_0014,2026-04-04,Dinner,food_004,Spanakopita,,1 piece,piece,1,435,2,0,35,565,30,8,0,36
mde_0015,2026-04-04,Snacks,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,263,7,12,49,288,40,3,1,19
mde_0016,2026-04-05,Breakfast,food_003,Greek Salad,,1 serving,serving,1,199,19,11,39,668,19,1,16,7
mde_0017,2026-04-05,Lunch,food_005,Baklava,,1 piece,piece,1,219,2,4,35,420,15,0,9,39
mde_0018,2026-04-05,Dinner,food_004,Spanakopita,,1 piece,piece,1,439,25,4,45,603,10,8,15,30
mde_0019,2026-04-05,Snacks,food_004,Spanakopita,,1 piece,piece,1,175,17,6,59,563,56,4,14,20
mde_0020,2026-04-06,Breakfast,food_002,Grilled Chicken Souvlaki,,6 oz,oz,1,338,14,4,0,894,45,6,0,32
mde_0021,2026-04-06,Lunch,food_004,Spanakopita,,1 piece,piece,1,486,24,10,51,690,23,4,24,31
mde_0022,2026-04-06,Dinner,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,191,6,9,2,761,10,6,2,30
mde_0023,2026-04-06,Snacks,food_004,Spanakopita,,1 piece,piece,1,333,19,12,48,64,50,4,14,15
mde_0024,2026-04-07,Breakfast,food_004,Spanakopita,,1 piece,piece,1,433,25,2,42,346,30,6,2,40
mde_0025,2026-04-07,Lunch,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,479,22,3,4,61,45,8,23,18
mde_0026,2026-04-07,Dinner,food_004,Spanakopita,,1 piece,piece,1,166,17,8,35,287,24,1,19,24
mde_0027,2026-04-07,Snacks,food_003,Greek Salad,,1 serving,serving,1,307,15,2,8,563,20,3,23,30
mde_0028,2026-04-08,Breakfast,food_004,Spanakopita,,1 piece,piece,1,282,14,12,39,723,52,8,13,37
mde_0029,2026-04-08,Lunch,food_003,Greek Salad,,1 serving,serving,1,291,12,9,65,368,52,3,5,26
mde_0030,2026-04-08,Dinner,food_005,Baklava,,1 piece,piece,1,376,20,9,41,160,18,6,22,19
mde_0031,2026-04-08,Snacks,food_005,Baklava,,1 piece,piece,1,163,21,10,45,856,25,3,5,32
mde_0032,2026-04-09,Breakfast,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,309,6,10,18,75,32,4,18,10
mde_0033,2026-04-09,Lunch,food_003,Greek Salad,,1 serving,serving,1,210,13,0,28,345,32,7,15,6
mde_0034,2026-04-09,Dinner,food_005,Baklava,,1 piece,piece,1,315,6,2,70,237,60,7,1,8
mde_0035,2026-04-09,Snacks,food_004,Spanakopita,,1 piece,piece,1,338,6,8,59,533,35,4,10,28
mde_0036,2026-04-10,Breakfast,food_002,Grilled Chicken Souvlaki,,6 oz,oz,1,468,10,10,13,490,48,1,25,35
mde_0037,2026-04-10,Lunch,food_001,Greek Yogurt with Honey,Fage,1 cup,cup,1,298,4,8,15,618,14,4,5,14
mde_0038,2026-04-10,Dinner,food_004,Spanakopita,,1 piece,piece,1,228,5,9,16,466,33,4,6,19
mde_0039,2026-04-10,Snacks,food_004,Spanakopita,,1 piece,piece,1,157,5,1,5,196,19,4,8,13
mde_0040,2026-04-11,Breakfast,food_004,Spanakopita,,1 piece,piece,1,259,20,3,56,853,20,1,7,31
mde_0041,2026-04-11,Lunch,food_003,Greek Salad,,1 serving,serving,1,422,9,2,68,262,37,8,15,6
mde_0042,2026-04-11,Dinner,food_004,Spanakopita,,1 piece,piece,1,241,15,6,76,596,36,4,8,29
mde_0043,2026-04-11,Snacks,food_005,Baklava,,1 piece,piece,1,460,23,8,17,780,35,0,20,9
mde_0044,2026-04-12,Breakfast,food_004,Spanakopita,,1 piece,piece,1,470,5,5,13,687,15,7,22,15
