weight_id,date,weight_lbs,notes
wt_0000,2026-07-21,208.5,
wt_0001,2026-04-07,209.6,
wt_0002,2026-05-12,204.9,
wt_0003,2026-07-05,205.9,
wt_0004,2026-05-11,207.5,
wt_0005,2026-05-16,202.8,
wt_0006,2026-09-30,204.3,
wt_0007,2026-04-05,205.4,
wt_0008,2026-08-18,207.5,
wt_0009,2026-04-04,207.0,
wt_0010,2026-08-22,207.9,
wt_0011,2026-05-01,206.9,
wt_0012,2026-08-03,208.3,
wt_0013,2026-06-20,201.1,
wt_0014,2026-04-08,206.9,
wt_0015,2026-05-07,201.6,
wt_0016,2026-05-29,204.5,
wt_0017,2026-06-16,206.2,
wt_0018,2026-04-11,209.7,
wt_0019,2026-05-06,201.4,
wt_0020,2026-10-03,202.8,
wt_0021,2026-09-03,201.0,
wt_0022,2026-09-06,201.2,
wt_0023,2026-09-17,205.9,
wt_0024,2026-04-20,201.8,
wt_0025,2026-06-21,202.0,
wt_0026,2026-09-17,201.4,
wt_0027,2026-09-09,206.7,
wt_0028,2026-09-21,200.6,
wt_0029,2026-10-03,209.6,
wt_0030,2026-04-15,206.6,
wt_0031,2026-06-10,203.4,
wt_0032,2026-09-30,206.6,
wt_0033,2026-09-15,201.8,
wt_0034,2026-05-27,207.4,
wt_0035,2026-07-26,205.0,
wt_0036,2026-07-21,207.1,
wt_0037,2026-08-05,201.3,
wt_0038,2026-04-07,208.9,
wt_0039,2026-08-09,204.1,
wt_0040,2026-10-09,200.5,
wt_0041,2026-07-22,206.1,
wt_0042,2026-05-08,209.2,
wt_0043,2026-05-18,203.9,
wt_0044,2026-08-11,202.9,
wt_0045,2026-06-30,202.7,
wt_0046,2026-06-27,200.3,
wt_0047,2026-07-31,208.9,
wt_0048,2026-09-18,208.5,
wt_0049,2026-05-20,209.6,
wt_0050,2026-05-17,205.4,
wt_0051,2026-05-18,206.7,
wt_0052,2026-08-03,208.4,
wt_0053,2026-09-20,202.1,
wt_0054,2026-07-31,202.7,
wt_0055,2026-06-10,209.9,
wt_0056,2026-08-15,205.7,
wt_0057,2026-07-27,206.8,
wt_0058,2026-05-29,208.1,
wt_0059,2026-08-21,203.2,
wt_0060,2026-07-29,208.8,
wt_0061,2026-09-20,207.6,
wt_0062,2026-10-12,201.5,
wt_0063,2026-07-04,202.7,
wt_0064,2026-05-06,202.0,
wt_0065,2026-10-03,200.4,
wt_0066,2026-07-13,207.0,
wt_0067,2026-06-06,204.4,
wt_0068,2026-05-27,205.2,
wt_0069,2026-06-10,206.9,
wt_0070,2026-07-18,203.8,
wt_0071,2026-08-22,207.0,
wt_0072,2026-05-18,208.1,
wt_0073,2026-08-03,202.9,
wt_0074,2026-08-27,206.4,
wt_0075,2026-07-11,204.9,
wt_0076,2026-08-26,201.5,
wt_0077,2026-07-12,200.5,
wt_0078,2026-05-23,207.0,
wt_0079,2026-06-25,203.4,
wt_0080,2026-06-27,202.2,
wt_0081,2026-06-28,207.7,
wt_0082,2026-08-09,207.7,
wt_0083,2026-10-05,204.9,
wt_0084,2026-08-18,203.1,
wt_0085,2026-05-20,202.2,
wt_0086,2026-07-17,202.5,
wt_0087,2026-06-12,205.0,
wt_0088,2026-10-01,201.1,
wt_0089,2026-09-06,205.1,
wt_0090,2026-09-08,208.1,
wt_0091,2026-10-14,209.7,
wt_0092,2026-09-30,207.0,
wt_0093,2026-06-23,200.3,
wt_0094,2026-04-04,200.2,
wt_0095,2026-06-29,208.7,
wt_0096,2026-04-12,203.2,
wt_0097,2026-06-04,208.9,
wt_0098,2026-07-22,209.6,
wt_0099,2026-07-14,201.0,
wt_0100,2026-10-04,202.7,
wt_0101,2026-05-27,206.8,
wt_0102,2026-08-28,201.5,
wt_0103,2026-07-13,203.6,
wt_0104,2026-06-14,201.1,
wt_0105,2026-07-02,200.2,
wt_0106,2026-08-20,204.9,
wt_0107,2026-10-12,206.0,
wt_0108,2026-09-10,205.7,
wt_0109,2026-07-24,206.0,
wt_0110,2026-05-17,204.8,
wt_0111,2026-05-09,207.8,
wt_0112,2026-09-14,208.3,
wt_0113,2026-10-04,209.3,
wt_0114,2026-06-08,209.1,
wt_0115,2026-07-14,208.4,
wt_0116,2026-07-17,200.0,
wt_0117,2026-06-11,208.4,
wt_0118,2026-10-10,208.8,
wt_0119,2026-04-04,204.4,
