id,title,overview,release_date,vote_average,vote_count,genre_ids,popularity,original_language
101,The Quiet Orbit,A marooned engineer races to repair a failing station before its orbit decays.,2024-03-15,7.8,2140,878;53,142.6,en
102,Harvest Moon Diner,A small-town cook reopens her late mother's diner and rediscovers her family.,2023-11-02,7.2,980,18;10749,58.3,en
103,Cinders of the Pass,Two rival smugglers must cooperate to cross a collapsing mountain route.,2024-06-21,6.9,1320,28;12,97.1,en
104,Paper Lanterns,An animated tale of a lantern maker who lights the way for lost spirits.,2022-12-10,8.1,3010,16;14,76.4,en
105,The Ledger,A forensic accountant uncovers a shell-company web inside a charity.,2024-01-19,7.5,1560,53;9648,88.9,en
106,Midnight at the Arcade,A group of friends get trapped inside a haunted retro arcade overnight.,2023-10-13,6.4,2200,27;35,64.2,en
107,Cargo 7,A salvage crew boards a derelict freighter and finds it is not empty.,2024-08-30,7.0,1750,878;27,110.5,en
108,Letters We Never Sent,Decades of unsent letters reunite two former lovers in a coastal town.,2023-02-14,7.6,1410,18;10749,49.8,en
109,Downhill Both Ways,A washed-up skier coaches a scrappy junior team to a regional title.,2022-07-08,6.7,890,35;18,33.5,en
110,The Cartographer,A mapmaker charts an uncharted valley and the people who guard it.,2024-05-03,8.3,2680,12;18,128.7,en
