id,name,parent_id,owner_id,description,created_at,modified_at,item_count
bxf_root,Walker's Point Builders - Harborview,0,bx_u_tyler,Shared root - Harborview Condos panel upgrade,2026-04-01T09:00:00-05:00,2026-09-30T17:00:00-05:00,4
bxf_plans,01 - Plans + Specs,bxf_root,bx_u_tyler,Stamped architectural + electrical drawings,2026-04-01T09:00:00-05:00,2026-08-12T11:00:00-05:00,4
bxf_permits,02 - Permits + Inspections,bxf_root,bx_u_tyler,City of Milwaukee permits + inspection sheets,2026-04-01T09:00:00-05:00,2026-09-28T14:30:00-05:00,3
bxf_chand,03 - Chandler Electric scope,bxf_root,bx_u_jae,Electrical scope deliverables,2026-04-15T09:00:00-05:00,2026-09-30T16:00:00-05:00,5
bxf_co,04 - Change orders,bxf_root,bx_u_tyler,Signed change orders,2026-05-20T09:00:00-05:00,2026-09-25T11:00:00-05:00,4
bf_n1hmjo8g,Folder 9nyf,bf_sxx9,user_001,,2026-05-01T15:09:00,2026-05-08T05:43:00,5
bf_nkyxf8n1,Folder 4jod,bf_kdei,user_001,,2025-04-11T07:41:00,2025-04-29T05:38:00,7
bf_wg0wr4f1,Folder jqfg,bf_im32,user_001,,2026-05-02T10:27:00,2025-10-03T00:40:00,20
bf_udtpcoyc,Folder 97lw,bf_q95u,user_001,,2025-04-06T02:27:00,2025-08-23T23:17:00,10
bf_zi6cilga,Folder 4u4x,bf_hb32,user_001,,2025-12-28T08:25:00,2025-07-04T16:28:00,8
bf_bgv08jxx,Folder jgzv,bf_tm2d,user_001,,2026-04-04T20:10:00,2025-03-07T06:21:00,13
bf_g62y1tfa,Folder b5ly,bf_8fpb,user_001,,2025-08-14T01:12:00,2026-02-07T06:10:00,5
bf_xned0l6c,Folder 3glf,bf_kq8i,user_001,,2026-09-25T02:39:00,2025-02-02T23:25:00,2
bf_92swmqb7,Folder 1cdk,bf_lpak,user_001,,2025-06-14T07:23:00,2026-02-20T20:13:00,0
bf_1u1mutwv,Folder lxem,bf_74jn,user_001,,2025-05-12T02:08:00,2026-04-03T00:51:00,1
bf_tekcxpej,Folder ww3w,bf_e65m,user_001,,2025-01-16T05:13:00,2026-07-10T02:25:00,14
bf_j1l5lc38,Folder t3f1,bf_ki26,user_001,,2025-10-16T13:43:00,2025-11-17T15:05:00,18
bf_2e3sr6ac,Folder hjv3,bf_e8sr,user_001,,2025-10-25T12:53:00,2025-09-23T12:27:00,11
bf_krzerc5h,Folder mhpa,bf_gvhh,user_001,,2025-03-09T23:03:00,2026-04-11T01:45:00,8
bf_sv2yvy2m,Folder r3ya,bf_3kbu,user_001,,2025-10-20T03:11:00,2026-05-17T04:15:00,13
bf_jg7401qi,Folder yiy2,bf_taur,user_001,,2025-05-29T21:17:00,2026-01-07T22:29:00,13
bf_va3ckedn,Folder 2hpq,bf_h7xz,user_001,,2026-08-10T17:05:00,2026-06-22T16:14:00,11
bf_bntyyea6,Folder 7a74,bf_9qld,user_001,,2025-01-28T17:49:00,2026-04-02T23:31:00,4
bf_8lsa1bxw,Folder css8,bf_u9aw,user_001,,2026-01-18T06:56:00,2025-01-31T05:12:00,1
bf_wc48oa8l,Folder uggo,bf_qabz,user_001,,2025-11-08T17:48:00,2026-06-05T11:37:00,11
bf_yvpv94do,Folder bihz,bf_yb2g,user_001,,2026-02-12T10:45:00,2026-08-13T08:44:00,18
bf_j6gfxmjr,Folder 9faa,bf_35w4,user_001,,2025-01-24T17:29:00,2025-06-28T09:46:00,5
bf_zzmknnun,Folder eal5,bf_skjz,user_001,,2026-06-28T18:11:00,2026-08-18T02:42:00,9
bf_2zb9cnvl,Folder i61s,bf_ej7z,user_001,,2026-03-17T09:26:00,2025-01-30T15:49:00,8
bf_xkpc57wu,Folder hr9p,bf_a6am,user_001,,2025-07-11T13:31:00,2026-05-26T02:13:00,7
bf_72w01ad0,Folder qq0e,bf_c2uj,user_001,,2025-01-15T10:42:00,2025-06-27T05:02:00,5
bf_ikem3g4p,Folder 8d20,bf_amg3,user_001,,2026-05-12T01:53:00,2025-06-10T12:00:00,5
bf_dy9ixp0n,Folder p0th,bf_kebf,user_001,,2026-08-23T07:02:00,2026-03-07T01:27:00,11
bf_lkv824uo,Folder p25b,bf_od75,user_001,,2025-12-14T13:25:00,2026-01-31T10:16:00,1
bf_1lcu01up,Folder opca,bf_7vgm,user_001,,2025-03-05T06:19:00,2026-08-01T08:59:00,20
bf_reqp5g76,Folder dn6i,bf_zifz,user_001,,2025-10-23T07:16:00,2025-02-19T14:31:00,7
bf_tmeud1du,Folder qeg5,bf_5ma1,user_001,,2025-08-04T05:50:00,2026-06-17T04:20:00,10
bf_yzev8fyx,Folder z6yw,bf_bkep,user_001,,2026-02-19T02:43:00,2025-03-19T11:31:00,15
