id,name,parent_id,owner_id,description,size,extension,sha1,created_at,modified_at
bxfile_001,Harborview-electrical-stamped-2026.pdf,bxf_plans,bx_u_tyler,Stamped electrical drawings (rev D),4823042,pdf,a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2,2026-04-01T09:00:00-05:00,2026-08-12T11:00:00-05:00
bxfile_002,Harborview-architectural-plans-revC.pdf,bxf_plans,bx_u_tyler,Architectural set,18221204,pdf,b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3,2026-04-01T09:00:00-05:00,2026-04-01T09:00:00-05:00
bxfile_003,Permit-EL-2026-1842.pdf,bxf_permits,bx_u_tyler,Electrical permit,482204,pdf,c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4,2026-04-10T11:00:00-05:00,2026-04-10T11:00:00-05:00
bxfile_004,Inspection-reschedule-Oct8.pdf,bxf_permits,bx_u_jae,Final-walk reschedule notice from Dan Mitchell,142884,pdf,d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5,2026-09-28T14:30:00-05:00,2026-09-28T14:30:00-05:00
bxfile_005,CE-asbuilts-units-1-24.pdf,bxf_chand,bx_u_jae,Chandler Electric as-builts,9824111,pdf,e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6,2026-09-20T16:00:00-05:00,2026-09-30T16:00:00-05:00
bxfile_006,CE-punch-list-Oct.xlsx,bxf_chand,bx_u_jae,Punch list workbook,38422,xlsx,f6a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1,2026-09-15T11:00:00-05:00,2026-09-30T17:00:00-05:00
bxfile_007,CO-3-Unit-19-subpanel-relocation.pdf,bxf_co,bx_u_tyler,Signed CO-3,821044,pdf,a1b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1c3,2026-08-15T16:42:00-05:00,2026-08-15T16:42:00-05:00
bxfile_008,CO-4-HPC-scope-adjustment-DRAFT.pdf,bxf_co,bx_u_jae,Draft CO-4 - HPC amendment scope adjustment (PENDING signature),612082,pdf,b2c3d4e5f6a1b2c3d4e5f6a1b2c3d4e5f6a1c3d4,2026-09-25T11:00:00-05:00,2026-09-25T11:00:00-05:00
bf_9jikmrsd,file_75lr.docx,bf_vga2,user_001,desc vkjiab0mab,515416,docx,bw9n2lwmivcdru00k0o3tsg964nk3ht96r15xzt7,2025-07-09T23:27:00,2026-01-03T20:40:00
bf_6t3i3iur,file_rw4v.jpg,bf_5oen,user_001,desc f9flsip1f2,2965379,jpg,m5apnur956xld9ep74xnrfv2koap8i0js9ngwjen,2026-07-15T19:42:00,2026-08-10T23:45:00
bf_n6r0v26g,file_yf8u.pdf,bf_nt9b,user_001,desc uo8lfi8lib,1419036,pdf,y84nfnqurz5r6vxe2kae5kahcp408o6t02b1q1hl,2026-07-18T22:54:00,2025-03-11T05:30:00
bf_nfrx9de4,file_rqlm.xlsx,bf_iqqq,user_001,desc 0vtdsg91ij,263617,xlsx,m1pykiij7gum5bp6pz3j5i5e4gg072a0vd6kk54a,2025-11-06T12:38:00,2026-08-22T18:23:00
bf_h4qso3pt,file_gpzs.xlsx,bf_awig,user_001,desc 30r0bywod5,134698,xlsx,29veeek9rg7psooeqqae63qvkke0f2dmi5qfclxx,2026-04-04T07:00:00,2026-08-08T19:58:00
bf_8uciknzo,file_mp77.jpg,bf_ivdb,user_001,desc jq5cw8pwm6,4797892,jpg,4h5tpom4hzjwsugmdziq5yydmm2efntcc0fwfmd9,2025-03-23T05:06:00,2026-01-20T07:54:00
