Id,Name,Industry,AnnualRevenue,Phone,Website,BillingCity,BillingState,NumberOfEmployees
001OUTREACH,Kestrel Community Outreach,Healthcare,,614-555-0000,kestrelhealth.example.org,Worthington,OH,300
001ACC000,Partner Org 0,Nonprofit,792088,614-555-0000,partner0.example.org,Dublin,OH,185
001ACC001,Partner Org 1,Nonprofit,289465,614-555-0001,partner1.example.org,Westerville,OH,105
001ACC002,Partner Org 2,Nonprofit,412924,614-555-0002,partner2.example.org,Hilliard,OH,177
001ACC003,Partner Org 3,Nonprofit,506507,614-555-0003,partner3.example.org,Columbus,OH,128
001ACC004,Partner Org 4,Nonprofit,439757,614-555-0004,partner4.example.org,Grove City,OH,167
001ACC005,Partner Org 5,Nonprofit,558439,614-555-0005,partner5.example.org,Powell,OH,173
001ACC006,Partner Org 6,Nonprofit,165275,614-555-0006,partner6.example.org,Delaware,OH,55
001ACC007,Partner Org 7,Nonprofit,493809,614-555-0007,partner7.example.org,Powell,OH,161
001ACC008,Partner Org 8,Nonprofit,398200,614-555-0008,partner8.example.org,Gahanna,OH,67
001ACC009,Partner Org 9,Nonprofit,637409,614-555-0009,partner9.example.org,Powell,OH,17
001ACC010,Partner Org 10,Nonprofit,368182,614-555-0010,partner10.example.org,Columbus,OH,16
001ACC011,Partner Org 11,Nonprofit,103840,614-555-0011,partner11.example.org,Grove City,OH,93
001ACC012,Partner Org 12,Nonprofit,413366,614-555-0012,partner12.example.org,Delaware,OH,154
001ACC013,Partner Org 13,Nonprofit,453828,614-555-0013,partner13.example.org,Grove City,OH,196
001ACC014,Partner Org 14,Nonprofit,684342,614-555-0014,partner14.example.org,Gahanna,OH,89
001ACC015,Partner Org 15,Nonprofit,467483,614-555-0015,partner15.example.org,Dublin,OH,128
001ACC016,Partner Org 16,Nonprofit,775630,614-555-0016,partner16.example.org,Worthington,OH,131
001ACC017,Partner Org 17,Nonprofit,284776,614-555-0017,partner17.example.org,Reynoldsburg,OH,197
001ACC018,Partner Org 18,Nonprofit,541475,614-555-0018,partner18.example.org,Westerville,OH,103
001ACC019,Partner Org 19,Nonprofit,886317,614-555-0019,partner19.example.org,Dublin,OH,111
001ACC020,Partner Org 20,Nonprofit,226301,614-555-0020,partner20.example.org,Powell,OH,21
001ACC021,Partner Org 21,Nonprofit,245640,614-555-0021,partner21.example.org,Gahanna,OH,70
001ACC022,Partner Org 22,Nonprofit,617405,614-555-0022,partner22.example.org,Hilliard,OH,33
001ACC023,Partner Org 23,Nonprofit,644727,614-555-0023,partner23.example.org,Gahanna,OH,134
001ACC024,Partner Org 24,Nonprofit,335905,614-555-0024,partner24.example.org,Reynoldsburg,OH,167
001ACC025,Partner Org 25,Nonprofit,849745,614-555-0025,partner25.example.org,Grove City,OH,37
001ACC026,Partner Org 26,Nonprofit,594879,614-555-0026,partner26.example.org,Gahanna,OH,78
001ACC027,Partner Org 27,Nonprofit,792444,614-555-0027,partner27.example.org,Grove City,OH,68
001ACC028,Partner Org 28,Nonprofit,625377,614-555-0028,partner28.example.org,Worthington,OH,100
001ACC029,Partner Org 29,Nonprofit,701091,614-555-0029,partner29.example.org,Worthington,OH,193
001ACC030,Partner Org 30,Nonprofit,686447,614-555-0030,partner30.example.org,Grove City,OH,129
001ACC031,Partner Org 31,Nonprofit,778056,614-555-0031,partner31.example.org,Westerville,OH,197
001ACC032,Partner Org 32,Nonprofit,565538,614-555-0032,partner32.example.org,Dublin,OH,51
001ACC033,Partner Org 33,Nonprofit,434182,614-555-0033,partner33.example.org,Westerville,OH,163
001ACC034,Partner Org 34,Nonprofit,881591,614-555-0034,partner34.example.org,Westerville,OH,39
001ACC035,Partner Org 35,Nonprofit,590880,614-555-0035,partner35.example.org,Reynoldsburg,OH,167
001ACC036,Partner Org 36,Nonprofit,629375,614-555-0036,partner36.example.org,Columbus,OH,172
001ACC037,Partner Org 37,Nonprofit,458741,614-555-0037,partner37.example.org,Westerville,OH,43
001ACC038,Partner Org 38,Nonprofit,870552,614-555-0038,partner38.example.org,Reynoldsburg,OH,194
001ACC039,Partner Org 39,Nonprofit,835241,614-555-0039,partner39.example.org,Westerville,OH,42
001ACC040,Partner Org 40,Nonprofit,818204,614-555-0040,partner40.example.org,Columbus,OH,16
001ACC041,Partner Org 41,Nonprofit,492272,614-555-0041,partner41.example.org,Westerville,OH,177
001ACC042,Partner Org 42,Nonprofit,854604,614-555-0042,partner42.example.org,Grove City,OH,96
001ACC043,Partner Org 43,Nonprofit,357162,614-555-0043,partner43.example.org,Worthington,OH,61
