date,category,vendor,description,amount,payment_method,receipt
2026-07-02,Supplies,AutoZone Edison,Sandpaper 320-grit 50-pack,28.5,Debit,Y
2026-07-05,Utilities,PSE&G,Shop electric Jul,218.4,ACH,Y
2026-07-08,Supplies,Sherwin-Williams,Basecoat tint DBC-9700 quart,42.0,Debit,Y
2026-07-11,Office,Staples Edison,Printer toner and copy paper,47.5,Debit,Y
2026-07-14,Shop Maintenance,Home Depot,Compressor air filter replacement,18.95,Cash,Y
2026-07-18,Food,Rajan's Curry House,Crew lunch thali x6,54.0,Cash,N
2026-07-22,Supplies,NAPA Edison,Bondo body filler case,96.0,Debit,Y
2026-07-25,Insurance,Progressive Commercial,Shop liability quarterly,680.0,ACH,Y
2026-08-01,Supplies,AutoZone Edison,Masking tape 3M 3/4in x12,31.2,Debit,Y
2026-08-04,Utilities,PSE&G,Shop electric Aug,224.1,ACH,Y
2026-08-07,Waste,Clean Harbors NJ,Paint waste disposal pickup,145.0,Check,Y
2026-08-12,Supplies,Sherwin-Williams,Clear coat DBC-500 gallon,89.0,Debit,Y
2026-08-15,Food,Rajan's Curry House,Crew lunch biryani x6,48.0,Cash,N
2026-08-19,Shop Maintenance,Grainger,Paint booth filter set,62.0,Debit,Y
2026-08-22,Office,Staples Edison,Invoice forms and envelopes,23.8,Debit,Y
2026-08-26,Supplies,NAPA Edison,DA sander pads 80-grit,38.5,Debit,Y
2026-09-02,Utilities,PSE&G,Shop electric Sep,210.6,ACH,Y
2026-09-05,Supplies,AutoZone Edison,Brake rotors return credit,-45.99,Debit,Y
2026-09-08,Insurance,Hartford,Workers comp quarterly,420.0,ACH,Y
2026-09-10,Food,Rajan's Curry House,Crew lunch chole bhature x5,40.0,Cash,N
2026-09-12,Shop Maintenance,Snap-on,Impact driver battery replacement,89.0,Debit,Y
2026-09-15,Supplies,Sherwin-Williams,Primer surfacer 2K gallon,76.0,Debit,Y
2026-09-18,Waste,Clean Harbors NJ,Solvent waste disposal,145.0,Check,Y
2026-09-22,Office,Staples Edison,Desk calendar and sticky notes,12.4,Cash,Y
2026-09-25,Supplies,LKQ NJ,Misc fastener hardware kit,28.0,Debit,Y
2026-09-28,Food,DoorDash,Late night shop pizza crew,34.5,Debit,N
