Date,TxnID,Description,Amount,Type,Reference,PostedBalance
2026-07-02,BNK-0702-001,Geico Ins Settlement,2450.00,Credit,GEI-2026-0341,8945.30
2026-07-05,BNK-0705-002,AutoZone Parts #4412,-389.50,Debit,,8555.80
2026-07-08,BNK-0708-003,Sherwin-Williams Paint,-612.00,Debit,,7943.80
2026-07-10,BNK-0710-004,Progressive Ins Dep,1875.00,Credit,PRG-2026-0412,9818.80
2026-07-14,BNK-0714-005,NAPA Auto Parts,-186.00,Debit,,9632.80
2026-07-18,BNK-0718-006,Cash Deposit,380.00,Credit,,10012.80
2026-07-22,BNK-0722-007,PSE&G Electric,-345.00,Debit,,9667.80
2026-07-23,BNK-0723-008,Staples Office Supply,-47.50,Debit,,9620.30
2026-07-28,BNK-0728-009,State Farm Settl C-7712,1450.00,Credit,SF-C-7712,11070.30
2026-08-02,BNK-0802-010,Square Deposit T Nguyen,340.00,Credit,,11410.30
2026-08-05,BNK-0805-011,LKQ Corp Parts,-1240.00,Debit,,10170.30
2026-08-09,BNK-0809-012,USAA Ins Deposit,2100.00,Credit,USAA-2026-0508,12270.30
2026-08-15,BNK-0815-013,State Farm Settl C-7840,2100.00,Credit,SF-C-7840,14370.30
2026-08-20,BNK-0820-014,Stripe Transfer,290.00,Credit,,14660.30
2026-08-25,BNK-0825-015,Shop Ins Premium,-485.00,Debit,,14175.30
2026-09-01,BNK-0901-016,Allstate Settl ABP-0847,2800.00,Credit,ABP-2026-0847,16975.30
2026-09-04,BNK-0904-017,AutoZone Parts #4471,-919.80,Debit,,16055.50
2026-09-08,BNK-0908-018,Shop Lease Sept,-3200.00,Debit,,12855.50
2026-09-12,BNK-0912-019,Stripe Transfer,475.00,Credit,,13330.50
2026-09-15,BNK-0915-020,Gusto Payroll,-4850.00,Debit,,8480.50
2026-09-18,BNK-0918-021,NAPA Auto Parts,-228.00,Debit,,8252.50
2026-09-22,BNK-0922-022,Progressive Ins Dep,1650.00,Credit,PRG-2026-0519,9902.50
2026-09-25,BNK-0925-023,Allstate Ins Dep,1800.00,Credit,ALS-2026-0623,11702.50
2026-09-28,BNK-0928-024,Stripe Transfer,150.00,Credit,,11852.50
2026-09-29,BNK-0929-025,Gusto Payroll,-4850.00,Debit,,7002.50
2026-09-30,BNK-0930-026,Stripe Transfer,320.00,Credit,,7322.50
