date,time,event,location,category,attendees,notes
2026-10-03,07:30,Shop open,Hari's Auto Body,Work,,Normal Saturday half day
2026-10-03,10:00,Desi Vibes Edison live,WDVI 1380 AM Studio,Radio,Hari,Regular show
2026-10-05,12:00,Lunch with Priya,Rajan's Curry House,Personal,Priya,
2026-10-06,07:30,Payroll close deadline,Shop office,Work,Maya,Oct pay run draft
2026-10-07,18:00,Ana dinosaur exhibit,Liberty Science Center,Family,"Priya, Ana",
2026-10-08,09:00,Progressive adjuster call,Phone,Work,Maya,Reeves supplement
2026-10-09,08:00,Tent delivery,Shop parking lot,Event,,Garden State Party Rentals
2026-10-10,10:00,Customer Appreciation BBQ,Shop lot,Event,All,Target 60 guests
2026-10-10,10:00,Desi Vibes Edison live,WDVI 1380 AM Studio,Radio,Hari,Regular show; BBQ same day
2026-10-12,10:00,Sunday basketball,Edison Community Center,Personal,"Ravi, crew",Weekly pickup
2026-10-14,07:30,Tran CX-5 drop-off,Shop,Work,DeShawn,USAA bumper repaint
2026-10-17,10:00,DIWALI SPECIAL EPISODE,WDVI 1380 AM Studio,Radio,"Neela Patel, Chef Arjun",Show rebuild; ad spots
2026-10-18,11:00,Edison Diwali Festival,Oak Tree Road,Community,Family,Community celebration
2026-10-19,10:00,Sunday basketball,Edison Community Center,Personal,Ravi,Weekly
2026-10-20,17:00,NJ Q3 sales tax deadline,,Finance,,File online
2026-10-24,10:00,Desi Vibes Edison live,WDVI 1380 AM Studio,Radio,Hari,Regular show
2026-10-26,10:00,Sunday basketball,Edison Community Center,Personal,,Weekly
2026-10-31,10:00,Desi Vibes Edison live,WDVI 1380 AM Studio,Radio,Hari,Halloween show
2026-10-31,18:00,Trick or treating with Ana,Edison neighborhood,Family,"Priya, Ana",Ana wants to be a T-Rex
