Delivery_Date	PO_Ref	Vendor	Item	Qty_Ordered	Qty_Received	Signed_By	Notes
2026-09-03	PO-SEP-078	AutoZone	Brake pads assorted	10	10	Amit Sharma	Complete
2026-09-06	PO-SEP-089	AutoZone	Brake rotors front	20	20	Amit Sharma	All received
2026-09-08	PO-SEP-095	NAPA	Bondo body filler qt	12	8	Miguel Reyes	SHORT DELIVERY - 4 units backordered
2026-09-10	PO-SEP-098	AutoZone	Oil filters bulk	24	24	Amit Sharma	
2026-09-14	PO-SEP-103	LKQ	Fender assembly Civic	4	4	Amit Sharma	Checked condition - acceptable
2026-09-04	PO-SEP-085	Sherwin-Williams	Clear coat gallon	4	4	DeShawn Williams	
2026-09-14	PO-SEP-107	NAPA	Sandpaper assorted	50	50	Carlos Medina	
2026-09-18	PO-SEP-110	Sherwin-Williams	Basecoat custom	2	2	DeShawn Williams	Color match verified
2026-09-22	PO-SEP-112	LKQ	Door panel Accord	2	2	Amit Sharma	
2026-09-24	PO-SEP-115	AutoZone	Masking tape	1	1	Maya Singh	
