date,time,event,location,category,notes
2026-11-01,09:00,Paint booth service,Shop,Maintenance,Celette technician
2026-11-02,10:00,Sunday basketball,Edison Community Center,Personal,
2026-11-07,10:00,Desi Vibes Edison,WDVI Studio,Radio,Regular show
2026-11-09,10:00,Sunday basketball,Edison Community Center,Personal,
2026-11-14,19:00,Business Association meeting,Edison Township Hall,Community,Oak Tree Road agenda
2026-11-16,10:00,Sunday basketball,Edison Community Center,Personal,
2026-11-21,10:00,Desi Vibes Edison,WDVI Studio,Radio,
2026-11-23,10:00,Sunday basketball,Edison Community Center,Personal,
2026-11-26,12:00,Thanksgiving dinner,Rajan's Curry House,Family,Whole family; Dad cooking
2026-11-27,,Shop closed,,,Day after Thanksgiving
2026-11-28,10:00,Desi Vibes Edison,WDVI Studio,Radio,
2026-12-05,10:00,Desi Vibes Edison,WDVI Studio,Radio,
2026-12-06,17:00,Annual payroll close,Shop office,Finance,W-2 prep
2026-12-12,10:00,Desi Vibes Edison,WDVI Studio,Radio,
2026-12-15,09:00,Year-end inventory,Shop,Work,Full parts and supplies count
2026-12-19,10:00,Desi Vibes Edison,WDVI Studio,Radio,Holiday special
2026-12-20,17:00,Safety training,Shop,Compliance,OSHA annual requirement
2026-12-24,18:00,Christmas Eve dinner,Home,Family,Priya's side
2026-12-25,,Christmas - shop closed,,Family,
2026-12-26,10:00,Desi Vibes Edison,WDVI Studio,Radio,Year-end show
2026-12-31,,Year-end financial close,,Finance,Final entries for 2026
