PO_Number,Date,Vendor,Item,Qty_Ordered,Unit_Price,Total,Status,Delivery_Date,Notes
PO-SEP-078,2026-09-01,AutoZone,Brake pads assorted,10,38.95,389.50,Delivered,2026-09-03,Complete
PO-SEP-085,2026-09-02,Sherwin-Williams,Clear coat gallon,4,57.00,228.00,Delivered,2026-09-04,
PO-SEP-089,2026-09-03,AutoZone,Brake rotors front,20,45.99,919.80,Delivered,2026-09-06,Amit flagged pricing concern
PO-SEP-095,2026-09-05,NAPA,Bondo body filler qt,12,15.50,186.00,Partial,2026-09-08,Only 8 units received
PO-SEP-098,2026-09-08,AutoZone,Oil filters bulk,24,8.75,210.00,Delivered,2026-09-10,
PO-SEP-103,2026-09-10,LKQ,Fender assembly - Civic,4,310.00,1240.00,Delivered,2026-09-14,Used/refurbished OEM
PO-SEP-107,2026-09-12,NAPA,Sandpaper assorted grits,50,3.20,160.00,Delivered,2026-09-14,
PO-SEP-110,2026-09-15,Sherwin-Williams,Basecoat - custom mix,2,185.00,370.00,Delivered,2026-09-18,Honda match code
PO-SEP-112,2026-09-18,LKQ,Door panel - Accord,2,275.00,550.00,Delivered,2026-09-22,
PO-SEP-115,2026-09-22,AutoZone,Masking tape and supplies,1,89.00,89.00,Delivered,2026-09-24,
