Date,TxnID,Description,Category,Debit,Credit,Balance,ClaimRef,Notes
2026-07-02,QB-TXN-0702-001,Geico settlement - Thompson Accord,Insurance Income,,2450.00,2450.00,GEI-2026-0341,Paid in full
2026-07-05,QB-TXN-0705-002,AutoZone - brake pads bulk,Parts Expense,389.50,,2060.50,,PO-SEP-078
2026-07-08,QB-TXN-0708-003,Sherwin-Williams - basecoat,Paint Supplies,612.00,,1448.50,,
2026-07-10,QB-TXN-0710-004,Progressive - Davis Camry,Insurance Income,,1875.00,3323.50,PRG-2026-0412,
2026-07-14,QB-TXN-0714-005,NAPA - Bondo and filler,Parts Expense,186.00,,3137.50,,PO-SEP-095
2026-07-18,QB-TXN-0718-006,Walk-in cash - Murphy bumper,Cash Income,,380.00,3517.50,,INV-2026-118
2026-07-22,QB-TXN-0722-007,PSE&G - shop electric,Utilities,345.00,,3172.50,,
2026-07-23,QB-TXN-0723-008,Office supplies - Staples,Office Expense,48.00,,3124.50,,Receipt in drawer
2026-07-28,QB-TXN-0728-009,State Farm settlement - Moore Highlander,Insurance Income,,1450.00,4574.50,SF-C-7712,Claim settled
2026-08-02,QB-TXN-0802-010,Stripe deposit - Nguyen fender,Card Income,,340.00,4914.50,,Square terminal
2026-08-05,QB-TXN-0805-011,LKQ - fender assembly 4x,Parts Expense,1240.00,,3674.50,,PO-SEP-103
2026-08-09,QB-TXN-0809-012,USAA settlement - Park SUV,Insurance Income,,2100.00,5774.50,USAA-2026-0508,
2026-08-15,QB-TXN-0815-013,State Farm settlement - Kim Forester,Insurance Income,,2100.00,7874.50,SF-C-7840,$1400 + $700 split
2026-08-20,QB-TXN-0820-014,Stripe deposit - Jackson quarter panel,Card Income,,290.00,8164.50,,INV-2026-122
2026-08-25,QB-TXN-0825-015,Shop insurance premium,Insurance Expense,485.00,,7679.50,,Quarterly
2026-09-01,QB-TXN-0901-016,Allstate settlement - Chen Civic,Insurance Income,,3200.00,10879.50,ABP-2026-0847,Estimate was $3200
2026-09-04,QB-TXN-0904-017,AutoZone - brake rotors 20x,Parts Expense,919.80,,9959.70,,PO-SEP-089
2026-09-08,QB-TXN-0908-018,Rent - shop lease,Rent,3200.00,,6759.70,,Monthly
2026-09-12,QB-TXN-0912-019,Stripe deposit - Wilson alignment,Card Income,,475.00,7234.70,,
2026-09-15,QB-TXN-0915-020,Payroll - Sep first half,Payroll,4850.00,,2384.70,,6 employees
2026-09-18,QB-TXN-0918-021,NAPA - clear coat,Paint Supplies,228.00,,2156.70,,
2026-09-22,QB-TXN-0922-022,Progressive - Lee Altima,Insurance Income,,1650.00,3806.70,PRG-2026-0519,
2026-09-25,QB-TXN-0925-023,Allstate - Williams Accord,Insurance Income,,1800.00,5606.70,ALS-2026-0623,
2026-09-28,QB-TXN-0928-024,Stripe deposit - Chen M. copay,Card Income,,150.00,5756.70,,Terminal copay
2026-09-29,QB-TXN-0929-025,Payroll - Sep second half,Payroll,4850.00,,906.70,,
2026-09-30,QB-TXN-0930-026,Stripe deposit - Patel dent repair,Card Income,,320.00,1226.70,,Walk-in
