id,name,id_board,pos,closed
trl_lead,Leads,trb_active,1.0,False
trl_quoted,Quoted,trb_active,2.0,False
trl_inprogress,In Progress,trb_active,3.0,False
trl_punch,Punch List,trb_active,4.0,False
trl_inspect,Inspection,trb_active,5.0,False
trl_done,Done,trb_active,6.0,False
list_0m4omf88,List q6sc,board_29iv,4096,false
list_6dynctpv,List tw41,board_unkf,5120,false
list_q6k64qya,List egff,board_mclc,10240,false
list_0bx0nge0,List x0fy,board_2uon,10240,false
list_zvzk5xgr,List bwsi,board_twhf,2048,false
list_3go2q2e7,List wcy7,board_87oy,3072,false
list_axprjx9k,List 48yc,board_br2g,5120,false
list_woituo5k,List kkhd,board_v41v,5120,false
list_g4encx8u,List wnns,board_vwh1,6144,false
list_acijntiu,List zgc4,board_s7nu,5120,false
list_br4qavvm,List qekv,board_axqd,10240,false
list_wmaqro4o,List g1oj,board_l3w7,7168,false
list_oucxsimu,List yh30,board_fvzx,5120,false
list_l1k4icdh,List 9h59,board_70wn,1024,false
list_fk178mxo,List sjm8,board_flb4,3072,false
list_0zkhvq7p,List n7dm,board_9oy1,4096,false
list_5xh83y06,List 87ct,board_wa38,2048,false
list_rxph9xax,List rb6h,board_llze,10240,false
list_yxf2ic5l,List v7ev,board_mhem,7168,false
list_wypx57rt,List vhg2,board_2g3t,4096,false
list_a5m0vigr,List 4fmb,board_a164,8192,false
list_74jumqa2,List zpu0,board_c6z7,2048,false
list_zkkj91zf,List 1huy,board_iu62,9216,false
list_jqymsqvv,List 72jp,board_eyyw,9216,false
list_8cb71u9c,List zqvb,board_qjas,1024,false
list_fecktv2l,List ne3k,board_0gw6,4096,false
list_uwylo2ji,List gl2k,board_rqmp,9216,false
list_8uz6odof,List u4ck,board_iman,4096,false
list_5sl0zeii,List u6p7,board_7uqq,10240,false
list_kqhykfrb,List s277,board_b8m2,1024,false
list_pesn71we,List 8k3d,board_v157,5120,false
list_9otvutoj,List mw67,board_ba34,1024,false
list_i81cwsql,List oloc,board_jbvx,2048,false
list_49xkgcw1,List bul6,board_41nq,9216,false
list_ifnyphdi,List xa1f,board_hzvf,2048,false
list_m2y64p21,List 6bh1,board_tudd,9216,false
list_m3is8k3s,List thjn,board_n0ve,3072,false
list_dw9orf20,List le7n,board_iy9h,8192,false
list_6m1u52d2,List 7c0n,board_3bkx,5120,false
list_th9dqf4u,List uugx,board_02se,8192,false
list_z9kqy9u2,List xsko,board_yvmj,1024,false
list_7gu8yi69,List 1xfj,board_k0ee,5120,false
list_s34p3m2m,List wnkg,board_m6c0,1024,false
list_9er3lxn6,List hx4d,board_b9ww,8192,false
list_ddvc5u3g,List t3fo,board_i4vi,4096,false
list_sw8os4ss,List q3rf,board_n4sc,1024,false
list_5e3702se,List c071,board_jrxi,9216,false
