id,name,address1,city,region,postal_code,country,latitude,longitude
ven_orig,Mykonos Taverna Original,721 Dodecanese Blvd,Tarpon Springs,FL,34689,US,28.1477,-82.7570
ven_alt19,Mykonos Taverna Alt 19,1850 US-19 Alt,Tarpon Springs,FL,34689,US,28.1522,-82.7634
ven_0000,Venue 0,878 Main St,Tarpon Springs,FL,34689,US,28.0977,-82.842
ven_0001,Venue 1,899 Main St,Tarpon Springs,FL,34689,US,28.0873,-82.7422
ven_0002,Venue 2,970 Main St,Tarpon Springs,FL,34689,US,28.0934,-82.7454
ven_0003,Venue 3,712 Main St,Tarpon Springs,FL,34689,US,28.1494,-82.849
ven_0004,Venue 4,459 Main St,Tarpon Springs,FL,34689,US,28.0961,-82.6787
ven_0005,Venue 5,657 Main St,Tarpon Springs,FL,34689,US,28.1539,-82.8275
ven_0006,Venue 6,176 Main St,Tarpon Springs,FL,34689,US,28.1627,-82.6826
ven_0007,Venue 7,849 Main St,Tarpon Springs,FL,34689,US,28.2249,-82.7045
ven_0008,Venue 8,447 Main St,Tarpon Springs,FL,34689,US,28.2259,-82.8042
ven_0009,Venue 9,464 Main St,Tarpon Springs,FL,34689,US,28.1244,-82.6911
ven_0010,Venue 10,788 Main St,Tarpon Springs,FL,34689,US,28.1098,-82.8277
ven_0011,Venue 11,727 Main St,Tarpon Springs,FL,34689,US,28.1072,-82.6772
ven_0012,Venue 12,499 Main St,Tarpon Springs,FL,34689,US,28.1799,-82.8307
ven_0013,Venue 13,998 Main St,Tarpon Springs,FL,34689,US,28.1862,-82.7425
ven_0014,Venue 14,118 Main St,Tarpon Springs,FL,34689,US,28.0934,-82.8132
ven_0015,Venue 15,350 Main St,Tarpon Springs,FL,34689,US,28.2089,-82.8439
ven_0016,Venue 16,916 Main St,Tarpon Springs,FL,34689,US,28.1865,-82.7912
ven_0017,Venue 17,766 Main St,Tarpon Springs,FL,34689,US,28.1964,-82.8426
ven_0018,Venue 18,322 Main St,Tarpon Springs,FL,34689,US,28.2084,-82.7948
ven_0019,Venue 19,142 Main St,Tarpon Springs,FL,34689,US,28.1989,-82.8301
ven_0020,Venue 20,831 Main St,Tarpon Springs,FL,34689,US,28.1666,-82.8066
ven_0021,Venue 21,258 Main St,Tarpon Springs,FL,34689,US,28.2043,-82.6833
ven_0022,Venue 22,526 Main St,Tarpon Springs,FL,34689,US,28.0816,-82.7467
ven_0023,Venue 23,743 Main St,Tarpon Springs,FL,34689,US,28.2269,-82.8498
ven_0024,Venue 24,764 Main St,Tarpon Springs,FL,34689,US,28.1401,-82.8072
ven_0025,Venue 25,838 Main St,Tarpon Springs,FL,34689,US,28.0559,-82.7735
ven_0026,Venue 26,513 Main St,Tarpon Springs,FL,34689,US,28.2261,-82.7462
ven_0027,Venue 27,794 Main St,Tarpon Springs,FL,34689,US,28.1178,-82.6953
ven_0028,Venue 28,441 Main St,Tarpon Springs,FL,34689,US,28.1446,-82.7127
ven_0029,Venue 29,114 Main St,Tarpon Springs,FL,34689,US,28.1292,-82.7975
ven_0030,Venue 30,981 Main St,Tarpon Springs,FL,34689,US,28.078,-82.7752
ven_0031,Venue 31,801 Main St,Tarpon Springs,FL,34689,US,28.0608,-82.7146
ven_0032,Venue 32,512 Main St,Tarpon Springs,FL,34689,US,28.1272,-82.841
ven_0033,Venue 33,190 Main St,Tarpon Springs,FL,34689,US,28.1841,-82.7301
ven_0034,Venue 34,177 Main St,Tarpon Springs,FL,34689,US,28.1146,-82.7703
ven_0035,Venue 35,397 Main St,Tarpon Springs,FL,34689,US,28.182,-82.6731
ven_0036,Venue 36,763 Main St,Tarpon Springs,FL,34689,US,28.2087,-82.6995
