id,event_id,name,quantity_total,quantity_sold,cost,fee,free,sales_start,sales_end
tc_engagement,ev_engagement,General Admission,120,0,0,0,true,2026-09-15,2026-10-17
tc_0000,ev_0003,Ticket 0,55,9,35,0,false,2026-06-19,2026-09-26
tc_0001,ev_0015,Ticket 1,82,27,31,0,false,2026-01-23,2026-01-28
tc_0002,ev_0018,Ticket 2,147,43,7,0,false,2026-09-22,2026-09-21
tc_0003,ev_0011,Ticket 3,113,41,42,0,true,2026-01-21,2026-04-19
tc_0004,ev_0014,Ticket 4,188,35,41,0,true,2026-05-08,2026-10-03
tc_0005,ev_0013,Ticket 5,196,32,39,0,true,2026-02-15,2026-07-30
tc_0006,ev_0006,Ticket 6,116,14,39,0,false,2026-07-08,2026-04-12
tc_0007,ev_0000,Ticket 7,100,37,7,0,false,2026-01-01,2026-02-11
tc_0008,ev_0005,Ticket 8,68,2,41,0,true,2026-04-17,2026-02-12
tc_0009,ev_0015,Ticket 9,135,39,17,0,true,2026-02-13,2026-06-28
tc_0010,ev_0001,Ticket 10,163,24,16,0,true,2026-04-18,2026-08-17
tc_0011,ev_0003,Ticket 11,154,45,46,0,true,2026-07-18,2026-04-01
tc_0012,ev_0011,Ticket 12,199,36,7,0,false,2026-04-14,2026-05-23
tc_0013,ev_0008,Ticket 13,67,14,28,0,true,2026-04-16,2026-05-20
tc_0014,ev_0011,Ticket 14,134,49,32,0,false,2026-04-29,2026-10-15
tc_0015,ev_0006,Ticket 15,80,41,39,0,false,2026-03-26,2026-02-13
tc_0016,ev_0010,Ticket 16,98,19,26,0,true,2026-03-05,2026-06-26
tc_0017,ev_0019,Ticket 17,154,15,17,0,true,2026-02-16,2026-09-22
tc_0018,ev_0005,Ticket 18,68,41,24,0,false,2026-03-17,2026-09-02
tc_0019,ev_0002,Ticket 19,71,17,38,0,true,2026-08-11,2026-04-11
tc_0020,ev_0007,Ticket 20,167,38,12,0,true,2026-09-26,2026-08-17
tc_0021,ev_0013,Ticket 21,184,37,39,0,false,2026-05-02,2026-09-15
tc_0022,ev_0015,Ticket 22,103,42,46,0,true,2026-07-03,2026-02-21
tc_0023,ev_0018,Ticket 23,70,29,14,0,false,2026-04-21,2026-07-06
tc_0024,ev_0020,Ticket 24,198,42,29,0,true,2026-07-25,2026-02-02
tc_0025,ev_0011,Ticket 25,133,39,31,0,true,2026-01-17,2026-07-13
tc_0026,ev_0009,Ticket 26,172,34,22,0,false,2026-08-27,2026-03-28
tc_0027,ev_0000,Ticket 27,128,22,26,0,true,2026-07-21,2026-06-10
tc_0028,ev_0000,Ticket 28,198,39,1,0,true,2026-04-03,2026-05-29
tc_0029,ev_0002,Ticket 29,136,46,2,0,true,2026-08-30,2026-04-22
tc_0030,ev_0012,Ticket 30,96,28,9,0,true,2026-09-03,2026-03-13
tc_0031,ev_0002,Ticket 31,193,33,36,0,true,2026-05-02,2026-09-04
tc_0032,ev_0010,Ticket 32,182,28,17,0,false,2026-10-06,2026-02-03
tc_0033,ev_0000,Ticket 33,189,13,48,0,false,2026-04-24,2026-03-23
tc_0034,ev_0013,Ticket 34,96,31,22,0,true,2026-07-16,2026-08-22
tc_0035,ev_0005,Ticket 35,173,14,39,0,true,2026-04-22,2026-08-18
tc_0036,ev_0002,Ticket 36,98,46,31,0,false,2026-04-07,2026-06-27
tc_0037,ev_0003,Ticket 37,182,44,26,0,false,2026-01-18,2026-03-14
tc_0038,ev_0008,Ticket 38,189,34,22,0,false,2026-10-08,2026-07-24
tc_0039,ev_0001,Ticket 39,72,31,35,0,true,2026-08-16,2026-05-22
tc_0040,ev_0010,Ticket 40,198,46,11,0,true,2026-09-05,2026-03-17
tc_0041,ev_0018,Ticket 41,157,28,47,0,false,2026-02-17,2026-08-06
tc_0042,ev_0006,Ticket 42,134,20,24,0,false,2026-04-03,2026-04-10
tc_0043,ev_0003,Ticket 43,55,24,44,0,false,2026-08-29,2026-04-08
tc_0044,ev_0001,Ticket 44,122,11,20,0,true,2026-01-24,2026-05-18
tc_0045,ev_0005,Ticket 45,108,9,39,0,false,2026-09-25,2026-05-30
tc_0046,ev_0020,Ticket 46,196,32,7,0,true,2026-05-08,2026-02-26
tc_0047,ev_0012,Ticket 47,192,12,13,0,false,2026-07-20,2026-06-11
tc_0048,ev_0018,Ticket 48,128,19,6,0,true,2026-08-03,2026-06-04
tc_0049,ev_0013,Ticket 49,60,28,38,0,false,2026-02-02,2026-05-25
tc_0050,ev_0010,Ticket 50,83,4,37,0,true,2026-01-09,2026-02-04
tc_0051,ev_0016,Ticket 51,153,46,2,0,true,2026-03-06,2026-03-19
tc_0052,ev_0013,Ticket 52,119,14,42,0,false,2026-01-03,2026-04-25
tc_0053,ev_0016,Ticket 53,132,23,47,0,true,2026-08-25,2026-04-24
tc_0054,ev_0008,Ticket 54,169,7,15,0,false,2026-08-13,2026-01-05
tc_0055,ev_0000,Ticket 55,157,33,40,0,false,2026-05-12,2026-09-25
tc_0056,ev_0009,Ticket 56,138,6,24,0,false,2026-03-08,2026-05-04
tc_0057,ev_0014,Ticket 57,167,45,14,0,false,2026-05-10,2026-04-28
tc_0058,ev_0006,Ticket 58,85,41,41,0,false,2026-05-31,2026-10-01
tc_0059,ev_0014,Ticket 59,133,7,44,0,true,2026-03-04,2026-05-15
tc_0060,ev_0002,Ticket 60,53,9,13,0,true,2026-10-10,2026-01-22
tc_0061,ev_0014,Ticket 61,64,27,39,0,false,2026-09-23,2026-10-02
tc_0062,ev_0011,Ticket 62,129,6,7,0,true,2026-02-18,2026-10-06
tc_0063,ev_0002,Ticket 63,196,21,42,0,true,2026-10-08,2026-05-30
tc_0064,ev_0007,Ticket 64,115,16,46,0,false,2026-06-01,2026-08-03
tc_0065,ev_0014,Ticket 65,190,47,19,0,false,2026-05-02,2026-09-26
tc_0066,ev_0008,Ticket 66,56,20,4,0,true,2026-06-03,2026-04-07
tc_0067,ev_0009,Ticket 67,184,5,31,0,true,2026-08-15,2026-10-06
tc_0068,ev_0008,Ticket 68,118,49,8,0,false,2026-08-18,2026-08-28
tc_0069,ev_0003,Ticket 69,68,31,2,0,true,2026-04-16,2026-01-19
tc_0070,ev_0009,Ticket 70,194,2,4,0,true,2026-05-01,2026-03-15
tc_0071,ev_0016,Ticket 71,148,47,16,0,false,2026-03-08,2026-05-01
tc_0072,ev_0020,Ticket 72,181,29,40,0,true,2026-08-30,2026-05-15
tc_0073,ev_0008,Ticket 73,89,4,45,0,false,2026-09-01,2026-08-01
tc_0074,ev_0000,Ticket 74,186,20,30,0,false,2026-02-07,2026-02-03
tc_0075,ev_0000,Ticket 75,60,32,46,0,false,2026-04-09,2026-08-27
tc_0076,ev_0009,Ticket 76,143,34,1,0,false,2026-04-30,2026-06-23
tc_0077,ev_0007,Ticket 77,167,37,40,0,true,2026-09-25,2026-07-10
tc_0078,ev_0002,Ticket 78,50,43,9,0,true,2026-06-05,2026-07-23
tc_0079,ev_0018,Ticket 79,179,18,6,0,false,2026-08-03,2026-08-25
tc_0080,ev_0013,Ticket 80,82,25,22,0,false,2026-06-30,2026-07-07
tc_0081,ev_0001,Ticket 81,136,4,31,0,false,2026-06-03,2026-05-02
tc_0082,ev_0003,Ticket 82,142,35,40,0,false,2026-09-11,2026-08-24
tc_0083,ev_0013,Ticket 83,85,12,50,0,true,2026-08-03,2026-09-23
tc_0084,ev_0017,Ticket 84,196,20,24,0,true,2026-05-11,2026-05-24
tc_0085,ev_0015,Ticket 85,96,20,44,0,false,2026-04-01,2026-01-30
tc_0086,ev_0005,Ticket 86,50,43,18,0,false,2026-03-20,2026-01-17
