Id,Name,AccountType,AccountSubType,CurrentBalance,Active,Classification,Description
300,Operating Checking,Bank,Checking,42180.55,true,Asset,Primary operating bank account
301,Petty Cash,Bank,CashOnHand,450.00,true,Asset,Front desk petty cash
302,Accounts Receivable,Accounts Receivable,AccountsReceivable,620.00,true,Asset,Standard AR
303,Inventory Asset,Other Current Asset,Inventory,8240.00,true,Asset,Gift shop inventory
304,Building,Fixed Asset,Buildings,485000.00,true,Asset,Museum building basis
305,Accounts Payable,Accounts Payable,AccountsPayable,1832.50,true,Liability,Standard AP
306,Sales Tax Payable,Other Current Liability,SalesTaxPayable,225.00,true,Liability,Alabama sales tax
400,Admissions Revenue,Income,ServiceFeeIncome,0.00,true,Revenue,General admissions
401,Membership Revenue,Income,ServiceFeeIncome,0.00,true,Revenue,Annual memberships
402,Retail Revenue,Income,SalesOfProductIncome,0.00,true,Revenue,Gift shop
500,Utilities Expense,Expense,Utilities,0.00,true,Expense,Power gas water
501,Office Supplies,Expense,OfficeGeneralAdministrativeExpenses,0.00,true,Expense,General supplies
