Title	Author	Type	Status	Notes
The Pittsburgh Daily Herald	Daily paper	Newspaper	Daily	Tablet, 6:15 with coffee
Band of Brothers	Stephen E. Ambrose	WWII history	Finished	Read it twice
With the Old Breed	E.B. Sledge	WWII memoir	Finished	Tough one, worth it
The Guns at Last Light	Rick Atkinson	WWII history	On the shelf	Emma found it at the library for me
A Higher Call	Adam Makos	WWII history	On the shelf	Eddie loaned it to me
The Longest Day	Cornelius Ryan	WWII history	Finished	Read it before the movie
Report from Engine Co. 82	Dennis Smith	Firefighting memoir	Finished	He gets it right
Young Men and Fire	Norman Maclean	Firefighting	Reading	Slow going, good
Firehouse	David Halberstam	Firefighting memoir	Finished	Short, hits hard
The Coaching Habit	Michael Bungay Stanier	Reference	Skimmed	For the league, a few good bits
Coach Wooden's Pyramid of Success	John Wooden	Reference	Reading	Keep it in the dugout bag
The Mental Game of Baseball	H.A. Dorfman	Reference	On the shelf	Matt got it for me
Clemente	David Maraniss	Sports	Finished	The kids should know who he was
Their Life's Work	Gary Pomerantz	Sports	Reading	The 1970s Steelers, my era
Three Days in January	Bryce Larson	History	Finished	
Fly Fishing the Allegheny	Local guide	Hobby	Reference	For the tackle box project
