Part	Quantity	Material	Thickness	Width	Length	Notes
Front panel	1	Poplar	3/4 in	16 in	30 in	Sand to 220
Back panel	1	Poplar	3/4 in	16 in	30 in	
Side panel	2	Poplar	3/4 in	16 in	15 in	
Bottom	1	Birch plywood	1/2 in	15 in	29 in	Sits in a groove
Lid	1	Poplar glue up	3/4 in	16.5 in	30.5 in	Round the edges
Lid cleat	2	Poplar	3/4 in	2 in	14 in	Keeps the lid flat
Lid edge trim	2	Poplar	3/4 in	1 in	32 in	Rounded over, easy on hands
Corner post	4	Poplar	1 in	1 in	16 in	For strength
Base trim front	1	Poplar	3/4 in	3 in	31 in	Mitered
Base trim side	2	Poplar	3/4 in	3 in	16 in	Mitered
Foot	4	Poplar	1 in	1 in	3 in	Glued under the base
Inner till	1	Birch plywood	1/2 in	5 in	15 in	Small parts tray
Till runner	2	Poplar	1/2 in	1/2 in	14 in	The till slides on these
Bottom cleat	2	Poplar	3/4 in	3/4 in	14 in	Supports the bottom
Rope handle	2	Hardware				Cotton rope, no metal to pinch
Soft close hinge	2	Hardware				So it does not slam
Safety lid stay	1	Hardware				Important, Sophie is five
