Tool	Spec	Location	Condition	Notes
Table saw	10 inch contractor	Garage bench wall	Good	New blade Nov 2025
Drill press	Benchtop	Corner stand	Good	
Cordless drill	20V	Pegboard	Good	Two batteries
Random orbital sander	5 inch	Lower shelf	Good	Need more 120 grit
Circular saw	7 1/4 inch	Pegboard	Fair	Cord is fraying, tape for now
Router	2 hp fixed base	Lower cabinet	Good	Bought used from Eddie
Bench grinder	6 inch	Garage bench wall	Good	For sharpening chisels
Shop vacuum	12 gallon	Floor by door	Good	
Hand plane no. 4	Smoothing	Top drawer	Good	Grandpa's, still true
Chisel set	6 piece bench	Top drawer	Good	Sharpened Oct 2025
Wooden mallet	Joiner's	Top drawer	Good	
Framing square	Steel	Pegboard	Good	
Combination square	12 inch	Pegboard	Good	
Speed square	7 inch	Pegboard	Good	
Carpenter's level	24 inch box	Hangs on the wall	Good	The new one
Wood level antique	Grandfather's	Hangs on the wall	Display	Do not use, do not move
Tape measure 25 ft	Wide blade	Bench	Good	Have three, still lose them
Clamps bar 24 inch	Parallel jaw	Under bench	Good	Six of them
Doweling jig	Self centering	Drawer	Good	
Sawhorses	Folding pair	Against wall	Good	
Workbench vise	Quick release	Mounted on bench	Good	Solid as ever
Wood glue	Waterproof PVA	Shelf	Half full	Add to grocery run
