Date	Item	Store	Cost	Paid by	Reimbursed	Receipt #	Category
2025-04-05	Two dozen baseballs	Sporting goods store	47.88	Joyce	League, yes	R-2501	Equipment
2025-04-19	Batting tee	Sporting goods store	34.99	Joyce	No, donated	R-2502	Equipment
2025-05-03	First aid kit refill	Pharmacy	18.42	Joyce	League, yes	R-2503	Safety
2025-05-31	Team snacks playoff	Grocery market	26.10	Joyce	No	R-2504	Team events
2025-06-14	Field chalk 2 bags	Hardware store	21.96	Joyce	League, yes	R-2505	Field
2025-07-11	End of season pizza	Pizza shop	88.00	Joyce	Split with league	R-2506	Team events
	Season running total 2025		237.35				Subtotal
2026-10-24	New catcher shin guards	Sporting goods store	44.99	Joyce	PENDING	R-2601	Equipment
2026-11-15	Replacement helmet medium	Sporting goods store	29.99	Joyce	PENDING	R-2602	Safety
2027-03-28	Practice cones set	Ordered online by Matt	16.49	Joyce	League, yes	R-2701	Equipment
2027-04-24	Opening day game balls	Sporting goods store	23.94	Joyce	PENDING	R-2702	Equipment
2027-05-09	Field chalk 2 bags	Hardware store	22.50	Joyce	League, yes	R-2703	Field
2027-06-13	Team snacks and drinks	Grocery market	31.75	Joyce	No	R-2704	Team events
2027-07-11	All-Star picnic burgers and dogs	Grocery market	96.40	Joyce	League, yes	R-2705	Team events
