artist_id,name,genres,followers,popularity
artist_0000,Clark Thomas Jessup,ranger|safety,73,142
artist_0001,Glen Jessup,photography|glacier,361,411
artist_0002,Emma Jessup,backcountry|trail,431,294
artist_0003,Wade Jessup,photography|interp,418,450
artist_0004,Aiden Jessup,safety|photography,416,382
artist_0005,Sophie Jessup,safety|trail,402,397
artist_0006,Neil Petrovic,trail|winter,344,393
artist_0007,Diane Howell,backcountry|winter,119,450
artist_0008,Josie Firth,family|gear,489,73
artist_0009,Ben Alvarado,ranger|photography,490,433
artist_0010,Karen Ng,photography|interp,234,74
artist_0011,Heather Jessup,glacier|backcountry,490,306
artist_0012,Marcus Ridley,gear|interp,98,93
artist_0013,Priya Sundaram,photography|ranger,338,62
artist_0014,Ted McAllister,photography|backcountry,285,30
artist_0015,Ranger Bergstrom,backcountry|trail,432,13
artist_0016,Sam Iverson,glacier|safety,118,257
artist_0017,Amelia Chen,ranger|winter,275,419
artist_0018,Rob Doherty,backcountry|glacier,252,473
artist_0019,Val Cortez,family|interp,289,190
artist_0020,Rachel Okafor,ranger|family,425,111
artist_0021,Jack Underhill,ranger|safety,459,259
artist_0022,Wren Kaur,backcountry|glacier,377,225
artist_0023,Xiao Ramirez,family|backcountry,440,378
artist_0024,Yara Young,winter|ranger,313,32
artist_0025,Zane Ferrari,safety|backcountry,74,242
artist_0026,Anika Meyer,safety|trail,288,204
artist_0027,Bram Ueda,interp|gear,447,138
artist_0028,Cora Diaz,interp|trail,440,427
artist_0029,Deshaun Kaur,winter|photography,93,149
artist_0030,Eli Ramirez,photography|backcountry,228,76
artist_0031,Freya Young,interp|ranger,311,390
artist_0032,Gabriel Ferrari,winter|photography,169,112
artist_0033,Hana Meyer,glacier|interp,163,148
artist_0034,Ian Ueda,backcountry|ranger,104,394
artist_0035,Jessa Diaz,gear|family,424,189
artist_0036,Kai Kaur,backcountry|safety,403,471
artist_0037,Lena Ramirez,glacier|backcountry,280,27
artist_0038,Mateo Young,ranger|winter,356,79
artist_0039,Nia Ferrari,family|trail,394,458
artist_0040,Owen Meyer,backcountry|glacier,174,155
