device_id,zone_id,zone_name,sensitivity,enabled,coordinates
ring_original,zone_0000,Zone 0,low,true,
ring_alt19,zone_0001,Zone 1,low,true,
ring_home,zone_0002,Zone 2,high,true,
ring_alt19,zone_0003,Zone 3,high,true,
ring_original,zone_0004,Zone 4,low,true,
ring_original,zone_0005,Zone 5,low,true,
ring_original,zone_0006,Zone 6,low,true,
ring_original,zone_0007,Zone 7,high,true,
ring_alt19,zone_0008,Zone 8,medium,true,
ring_original,zone_0009,Zone 9,medium,true,
ring_alt19,zone_0010,Zone 10,medium,true,
ring_home,zone_0011,Zone 11,low,true,
ring_original,zone_0012,Zone 12,low,true,
ring_original,zone_0013,Zone 13,high,true,
ring_home,zone_0014,Zone 14,low,true,
ring_alt19,zone_0015,Zone 15,high,true,
ring_home,zone_0016,Zone 16,medium,true,
ring_home,zone_0017,Zone 17,low,true,
ring_home,zone_0018,Zone 18,high,true,
ring_home,zone_0019,Zone 19,high,true,
ring_original,zone_0020,Zone 20,low,true,
ring_original,zone_0021,Zone 21,high,true,
ring_original,zone_0022,Zone 22,high,true,
ring_alt19,zone_0023,Zone 23,medium,true,
ring_alt19,zone_0024,Zone 24,medium,true,
ring_original,zone_0025,Zone 25,medium,true,
ring_home,zone_0026,Zone 26,high,true,
ring_original,zone_0027,Zone 27,high,true,
ring_home,zone_0028,Zone 28,low,true,
ring_alt19,zone_0029,Zone 29,high,true,
ring_alt19,zone_0030,Zone 30,low,true,
ring_original,zone_0031,Zone 31,medium,true,
ring_alt19,zone_0032,Zone 32,high,true,
ring_alt19,zone_0033,Zone 33,low,true,
ring_original,zone_0034,Zone 34,high,true,
ring_alt19,zone_0035,Zone 35,medium,true,
ring_alt19,zone_0036,Zone 36,high,true,
ring_alt19,zone_0037,Zone 37,low,true,
ring_alt19,zone_0038,Zone 38,medium,true,
ring_alt19,zone_0039,Zone 39,low,true,
ring_home,zone_0040,Zone 40,low,true,
ring_original,zone_0041,Zone 41,high,true,
ring_home,zone_0042,Zone 42,high,true,
ring_original,zone_0043,Zone 43,high,true,
ring_original,zone_0044,Zone 44,medium,true,
ring_original,zone_0045,Zone 45,medium,true,
ring_alt19,zone_0046,Zone 46,medium,true,
ring_home,zone_0047,Zone 47,medium,true,
ring_original,zone_0048,Zone 48,low,true,
ring_home,zone_0049,Zone 49,medium,true,
ring_home,zone_0050,Zone 50,high,true,
ring_alt19,zone_0051,Zone 51,medium,true,
ring_home,zone_0052,Zone 52,low,true,
ring_original,zone_0053,Zone 53,high,true,
ring_original,zone_0054,Zone 54,high,true,
ring_alt19,zone_0055,Zone 55,high,true,
ring_alt19,zone_0056,Zone 56,medium,true,
ring_alt19,zone_0057,Zone 57,low,true,
ring_original,zone_0058,Zone 58,low,true,
ring_alt19,zone_0059,Zone 59,high,true,
ring_original,zone_0060,Zone 60,high,true,
ring_original,zone_0061,Zone 61,low,true,
ring_home,zone_0062,Zone 62,high,true,
ring_original,zone_0063,Zone 63,medium,true,
ring_alt19,zone_0064,Zone 64,low,true,
ring_original,zone_0065,Zone 65,medium,true,
ring_original,zone_0066,Zone 66,high,true,
ring_original,zone_0067,Zone 67,low,true,
ring_original,zone_0068,Zone 68,low,true,
ring_home,zone_0069,Zone 69,high,true,
ring_original,zone_0070,Zone 70,low,true,
ring_original,zone_0071,Zone 71,high,true,
ring_original,zone_0072,Zone 72,low,true,
ring_alt19,zone_0073,Zone 73,low,true,
ring_alt19,zone_0074,Zone 74,medium,true,
ring_original,zone_0075,Zone 75,medium,true,
ring_alt19,zone_0076,Zone 76,high,true,
ring_alt19,zone_0077,Zone 77,medium,true,
ring_home,zone_0078,Zone 78,high,true,
ring_home,zone_0079,Zone 79,high,true,
ring_home,zone_0080,Zone 80,high,true,
ring_original,zone_0081,Zone 81,high,true,
ring_alt19,zone_0082,Zone 82,high,true,
ring_original,zone_0083,Zone 83,medium,true,
ring_original,zone_0084,Zone 84,medium,true,
ring_home,zone_0085,Zone 85,low,true,
ring_home,zone_0086,Zone 86,low,true,
ring_home,zone_0087,Zone 87,medium,true,
ring_home,zone_0088,Zone 88,medium,true,
ring_alt19,zone_0089,Zone 89,medium,true,
ring_original,zone_0090,Zone 90,medium,true,
ring_alt19,zone_0091,Zone 91,low,true,
ring_home,zone_0092,Zone 92,low,true,
ring_home,zone_0093,Zone 93,low,true,
ring_alt19,zone_0094,Zone 94,high,true,
ring_alt19,zone_0095,Zone 95,low,true,
ring_original,zone_0096,Zone 96,medium,true,
ring_home,zone_0097,Zone 97,medium,true,
ring_alt19,zone_0098,Zone 98,low,true,
ring_alt19,zone_0099,Zone 99,high,true,
ring_home,zone_0100,Zone 100,medium,true,
ring_home,zone_0101,Zone 101,high,true,
ring_alt19,zone_0102,Zone 102,low,true,
ring_home,zone_0103,Zone 103,low,true,
ring_alt19,zone_0104,Zone 104,high,true,
ring_original,zone_0105,Zone 105,low,true,
ring_home,zone_0106,Zone 106,medium,true,
ring_home,zone_0107,Zone 107,low,true,
ring_alt19,zone_0108,Zone 108,low,true,
ring_alt19,zone_0109,Zone 109,medium,true,
ring_home,zone_0110,Zone 110,medium,true,
ring_original,zone_0111,Zone 111,medium,true,
ring_home,zone_0112,Zone 112,low,true,
ring_original,zone_0113,Zone 113,medium,true,
ring_alt19,zone_0114,Zone 114,low,true,
ring_alt19,zone_0115,Zone 115,medium,true,
ring_alt19,zone_0116,Zone 116,high,true,
ring_alt19,zone_0117,Zone 117,medium,true,
ring_alt19,zone_0118,Zone 118,high,true,
ring_home,zone_0119,Zone 119,low,true,
