date	system	work	parts_source	cost_usd	engine_hours_port	engine_hours_stbd	performed_by
2026-02-03	port outrigger winch	full rebuild, gears and bearings	Marine Supply Depot	248.60	4180	4205	C. Bennett
2026-02-05	port engine	oil and filter, valve lash	Cummins	96.40	4180	4205	C. Bennett
2026-02-05	starboard engine	oil and filter, valve lash	Cummins	96.40	4180	4205	C. Bennett
2026-02-09	both engines	impellers and zincs	Marine Supply Depot	118.00	4182	4207	C. Bennett
2026-02-11	fuel system	primary and secondary filters	Marine Supply Depot	84.25	4182	4207	C. Bennett
2026-02-14	hull and running gear	bottom inspection, props checked	none	0.00	4182	4207	C. Bennett
2026-02-20	USCG annual inspection	passed, safety gear checked	none	0.00	4182	4207	USCG
2026-02-22	electronics	chartplotter firmware, VHF check	none	0.00	4182	4207	C. Bennett
2025-08-12	both engines	midseason oil change	Cummins	192.80	3980	4002	C. Bennett
2025-04-02	both engines	season open service, fuel polish	Marine Supply Depot	210.00	3760	3782	C. Bennett
