video_id,title,description,publishedAt,channelId,categoryId,tags,duration,dimension,definition,privacyStatus,publishAt,embeddable,viewCount,likeCount,dislikeCount,commentCount,thumbnailUrl,liveBroadcastContent,defaultLanguage,defaultAudioLanguage
vid_001,240Z Engine Bay Cleanup - Ep 1,Starting the restoration. Degreasing and stripping the engine bay.,2026-03-15T12:00:00Z,UC_hari_datsun,2,"datsun,240z,restoration",PT12M30S,2d,hd,public,,true,2340,45,0,8,https://i.ytimg.com/vid_001.jpg,none,en,en
vid_002,Datsun 240Z - L24 Engine Rebuild Part 1,Tearing down the L24 inline six. SU carb removal and head pull.,2026-04-20T12:00:00Z,UC_hari_datsun,2,"datsun,240z,restoration",PT12M30S,2d,hd,public,,true,1890,38,0,8,https://i.ytimg.com/vid_002.jpg,none,en,en
vid_003,First Start After Rebuild!,The L24 lives again. First start after full rebuild.,2026-06-10T12:00:00Z,UC_hari_datsun,2,"datsun,240z,restoration",PT12M30S,2d,hd,public,,true,3200,72,0,8,https://i.ytimg.com/vid_003.jpg,none,en,en
vid_004,240Z Rust Repair - Floorpans and Rockers,Cutting out the rust and welding in new panels.,2026-07-28T12:00:00Z,UC_hari_datsun,2,"datsun,240z,restoration",PT12M30S,2d,hd,public,,true,1650,31,0,8,https://i.ytimg.com/vid_004.jpg,none,en,en
vid_005,Finding the Right Color - 240Z Paint Planning,Debating Fairlady Blue vs custom metallic. PPG Envirobase samples.,2026-09-05T12:00:00Z,UC_hari_datsun,2,"datsun,240z,restoration",PT12M30S,2d,hd,public,,true,980,22,0,8,https://i.ytimg.com/vid_005.jpg,none,en,en
vid_bg_000,Datsun 240Z Restoration Part 6: Test Drive,Datsun 240Z Restoration Part 6: Test Drive - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,6838,398,0,34,,none,en,en
vid_bg_001,Datsun 240Z Restoration Part 7: Bodywork,Datsun 240Z Restoration Part 7: Bodywork - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,5979,160,0,14,,none,en,en
vid_bg_002,Datsun 240Z Restoration Part 8: Rust Repair,Datsun 240Z Restoration Part 8: Rust Repair - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,301,46,0,59,,none,en,en
vid_bg_003,Datsun 240Z Restoration Part 9: Suspension,Datsun 240Z Restoration Part 9: Suspension - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,7258,101,0,25,,none,en,en
vid_bg_004,Datsun 240Z Restoration Part 10: Bodywork,Datsun 240Z Restoration Part 10: Bodywork - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,2685,56,0,2,,none,en,en
vid_bg_005,Datsun 240Z Restoration Part 11: Bodywork,Datsun 240Z Restoration Part 11: Bodywork - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,6023,16,0,18,,none,en,en
vid_bg_006,Datsun 240Z Restoration Part 12: Engine Bay,Datsun 240Z Restoration Part 12: Engine Bay - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,6939,44,0,39,,none,en,en
vid_bg_007,Datsun 240Z Restoration Part 13: Wiring,Datsun 240Z Restoration Part 13: Wiring - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,5036,343,0,50,,none,en,en
vid_bg_008,Datsun 240Z Restoration Part 14: Interior,Datsun 240Z Restoration Part 14: Interior - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,7747,278,0,45,,none,en,en
vid_bg_009,Datsun 240Z Restoration Part 15: Wiring,Datsun 240Z Restoration Part 15: Wiring - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,7401,108,0,14,,none,en,en
vid_bg_010,Datsun 240Z Restoration Part 16: Wiring,Datsun 240Z Restoration Part 16: Wiring - follow the build,"2026-0{random.randint(1,9)}-{random.randint(10,28)}T18:00:00Z",UC_hari_datsun,2,datsun;240z;restoration,PT12M,2d,hd,public,,true,1237,74,0,43,,none,en,en
