Title	Star	Year	Format	Owned	Rating (Ed's)	Notes
The Searchers	John Wayne	1956	Blu-ray	Yes	10/10	Greatest western ever made. John Ford at his peak.
True Grit	John Wayne	1969	DVD	Yes	9/10	Rooster Cogburn is Wayne's best role. Fight me.
The Man Who Shot Liberty Valance	John Wayne	1962	Blu-ray	Yes	9/10	Wayne and Stewart together. Print the legend.
Rio Bravo	John Wayne	1959	DVD	Yes	9/10	Dean Martin is surprisingly great in this.
The Shootist	John Wayne	1976	DVD	Yes	8/10	Wayne's last film. Knowing that makes it hit harder.
Red River	John Wayne	1948	DVD	Yes	9/10	Wayne as a cattle drive tyrant. Montgomery Clift steals scenes.
El Dorado	John Wayne	1966	DVD	Yes	8/10	Basically Rio Bravo again but I don't care, it's fun.
Stagecoach	John Wayne	1939	Blu-ray	Yes	9/10	The one that made him a star. Monument Valley.
The Good, the Bad and the Ugly	Clint Eastwood	1966	Blu-ray	Yes	10/10	Three hours and it earns every minute. Morricone's score.
Unforgiven	Clint Eastwood	1992	Blu-ray	Yes	10/10	Best western of the modern era. Dark and perfect.
The Outlaw Josey Wales	Clint Eastwood	1976	DVD	Yes	9/10	'Dyin' ain't much of a living, boy.' Favorite Eastwood line.
A Fistful of Dollars	Clint Eastwood	1964	DVD	Yes	8/10	Started the Man with No Name trilogy. Raw and stylish.
For a Few Dollars More	Clint Eastwood	1965	DVD	Yes	8/10	Lee Van Cleef makes this one. Watch pocket scene.
High Plains Drifter	Clint Eastwood	1973	DVD	Yes	8/10	Supernatural revenge western. Weird and great.
Pale Rider	Clint Eastwood	1985	DVD	Yes	7/10	Shane remake basically. Solid but not top-tier Eastwood.
Hang 'Em High	Clint Eastwood	1968	DVD	Yes	7/10	First American-made Eastwood western. Underrated.
Gran Torino	Clint Eastwood	2008	Blu-ray	Yes	9/10	Not a western but feels like one. Eastwood's modern Shootist.
Tombstone	Kurt Russell / Val Kilmer	1993	Blu-ray	Yes	10/10	Not Wayne or Eastwood but it belongs here. Val Kilmer IS Doc Holliday.
Open Range	Kevin Costner	2003	DVD	Yes	8/10	Best gunfight in any western. Costner and Duvall.
Lonesome Dove (miniseries)	Robert Duvall / Tommy Lee Jones	1989	DVD Box	Yes	10/10	8 hours of perfection. Watch it every winter with Jolene.
