listing_id,start_date,end_date,available
lst_42091776,2026-09-01,2026-09-30,true
lst_42091776,2026-10-01,2026-10-31,true
lst_42091776,2026-11-01,2026-11-12,true
lst_42091776,2026-11-13,2026-11-15,false
lst_42091776,2026-11-16,2026-11-30,true
lst_42091776,2026-12-01,2026-12-31,true
lst_42091800,2026-09-01,2026-09-30,true
lst_42091800,2026-10-01,2026-10-31,true
lst_42091800,2026-11-01,2026-11-30,false
lst_42091800,2026-12-01,2026-12-31,true
lst_42091815,2026-09-01,2026-09-30,true
lst_42091815,2026-10-01,2026-10-31,false
lst_42091815,2026-11-01,2026-11-30,true
lst_42091815,2026-12-01,2026-12-31,true
lst_42091830,2026-09-01,2026-09-30,true
lst_42091830,2026-10-01,2026-10-31,true
lst_42091830,2026-11-01,2026-11-30,true
lst_42091830,2026-12-01,2026-12-31,true
lst_42091844,2026-09-01,2026-09-30,true
lst_42091844,2026-10-01,2026-10-31,false
lst_42091844,2026-11-01,2026-11-30,true
lst_42091844,2026-12-01,2026-12-31,true
lst_42091858,2026-09-01,2026-09-30,true
lst_42091858,2026-10-01,2026-10-31,false
lst_42091858,2026-11-01,2026-11-30,false
lst_42091858,2026-12-01,2026-12-31,true
lst_42091872,2026-09-01,2026-09-30,true
lst_42091872,2026-10-01,2026-10-31,false
lst_42091872,2026-11-01,2026-11-30,true
lst_42091872,2026-12-01,2026-12-31,true
lst_42091886,2026-09-01,2026-09-30,true
lst_42091886,2026-10-01,2026-10-31,true
lst_42091886,2026-11-01,2026-11-30,false
lst_42091886,2026-12-01,2026-12-31,true
