SiteID	TransectID	Survey_Date	Observer	Depth_m	CoralCover_pct	Macroalgae_pct	CCA_pct	Rubble_pct	Sand_pct	CoralBleach_pct	Dominant_Genus	Site_Condition	Notes
KNB-01	KNB-01-T1	2025-10-04	L. Roach	3.0	28	14	9	10	39	2	Porites lobata	Fair Recovery	Some bleaching on Porites lobata tips. Rubble field stable. Post-2022 regrowth visible on older substrate.
KNB-01	KNB-01-T2	2025-10-04	L. Roach	3.5	31	12	11	8	38	3	Montipora capitata	Fair Recovery	Montipora capitata dominant. Patchy bleaching on colony edges. CCA crust expanding on cleared rubble.
KNB-01	KNB-01-T3	2025-10-04	L. Roach	4.0	34	10	12	9	35	1	Porites lobata	Good Recovery	Best cover on this site. Low bleaching. New recruits of Pocillopora meandrina noted on carbonate rubble.
KNB-02	KNB-02-T1	2025-10-04	L. Roach	6.0	38	9	13	8	32	0	Pocillopora meandrina	Good Recovery	Fore-reef shows strong recovery. No active bleaching. DHW has dropped since August. Good visibility 12m.
KNB-02	KNB-02-T2	2025-10-04	L. Roach	6.5	42	8	12	7	31	0	Pocillopora meandrina	Good Recovery	Highest coral cover recorded on this transect since 2021 surveys. Dense Pocillopora colonies structurally complex.
KNB-02	KNB-02-T3	2025-10-04	L. Roach	7.0	39	10	11	7	33	0	Pavona varians	Good Recovery	Pavona varians forming plate-like structures at depth. No bleaching. CCA in good condition. Moderate surge.
KNB-03	KNB-03-T1	2025-10-04	L. Roach	2.0	22	22	7	14	35	5	Montipora capitata	Fair Recovery	Fringing reef with high macroalgae pressure. Bleaching on Montipora capitata tips. Turbidity elevated near channel.
KNB-03	KNB-03-T2	2025-10-04	L. Roach	2.5	19	24	6	15	36	7	Montipora capitata	Fair Recovery	Highest bleaching incidence on all October transects. Macroalgae competitive pressure high. Terrestrial runoff suspected.
KNB-03	KNB-03-T3	2025-10-04	L. Roach	3.0	25	18	8	13	36	4	Porites lobata	Fair Recovery	Mid-channel fringing shows moderate recovery. Porites lobata mounding colonies surviving but stunted growth form.
KNB-04	KNB-04-T1	2025-10-11	L. Roach	4.5	36	11	14	9	30	1	Porites lobata	Good Recovery	Coconut Island south shows good recovery. Recruit density high on lower transect. CCA 14% highest on dataset.
KNB-04	KNB-04-T2	2025-10-11	L. Roach	5.0	33	13	10	10	34	2	Pocillopora meandrina	Good Recovery	Mixed assemblage. Pocillopora dominant. Some Montipora capitata encrusting. Minor bleaching on 2 colonies.
KNB-04	KNB-04-T3	2025-10-11	L. Roach	5.5	30	15	9	11	35	1	Montipora capitata	Fair Recovery	Moderate macroalgae. Montipora capitata encrusting forms active. Rubble stabilizing with crustose coverage.
KNB-05	KNB-05-T1	2025-10-11	L. Roach	6.5	37	9	11	5	38	0	Pocillopora meandrina	Good Recovery	South barrier reef shows strong structural recovery. No bleaching. Swell energy higher. Deeper carbonate framework.
KNB-05	KNB-05-T2	2025-10-11	L. Roach	7.5	40	8	13	6	33	0	Pavona varians	Good Recovery	Pavona varians dominant at depth. Dense coral cover. High fish diversity noted. No bleaching observed.
KNB-05	KNB-05-T3	2025-10-11	L. Roach	8.0	36	10	12	6	36	0	Pocillopora meandrina	Good Recovery	Deepest transect on dataset. Excellent visibility 15m. Low macroalgae. Strong recovery since 2022 bleaching event.
