Item	Category	Qty_On_Hand	Reorder_At	Supplier	Unit_Cost_USD	Last_Ordered
Professional Clipper, model A	Equipment	3	2	Pinnacle Barber Supply	89.99	2025-11-01
Cordless Clipper, model B	Equipment	2	1	Pinnacle Barber Supply	109.99	2025-09-15
Clipper Blade Set (sizes 0 to 4)	Blades	8	4	Pinnacle Barber Supply	12.50	2026-01-05
Neck Strips (box of 100)	Consumables	4	2	beauty supply retailer	6.99	2026-01-20
Barber Capes, black, snap closure	Linens	6	3	Pinnacle Barber Supply	18.00	2025-10-10
Shop Disinfectant Solution (64 oz)	Sanitation	2	1	beauty supply retailer	14.99	2026-02-01
Hot Lather Machine Cartridges (12-pack)	Shaving	3	1	online supplier	22.50	2025-12-15
Disposable Straight Razor Blades (100-pack)	Blades	2	1	Pinnacle Barber Supply	8.99	2026-01-10
White Barber Towels (dozen)	Linens	24	12	beauty supply retailer	15.99	2026-02-05
Pinnacle Beard Oil (4 oz, retail)	Retail Product	18	10	Pinnacle Barber Supply	5.10	2026-02-10
Pinnacle Pomade (3 oz, retail)	Retail Product	22	10	Pinnacle Barber Supply	4.20	2026-02-10
Aftershave Balm, unscented (8 oz)	Grooming	5	2	online supplier	9.49	2025-11-20
Witch Hazel Tonic (16 oz)	Grooming	3	1	beauty supply retailer	6.49	2026-01-15
Edge Brushes (3-pack)	Tools	4	2	Pinnacle Barber Supply	3.99	2025-12-01
Spray Bottles (16 oz)	Tools	6	3	online supplier	2.49	2025-10-20
Sanitizer Wipes (canister, 200 ct)	Sanitation	3	1	online supplier	8.99	2026-01-25
Hair Clips (box of 50)	Tools	2	1	beauty supply retailer	4.99	2025-11-10
Shaving Cream (can, 10 oz)	Shaving	5	2	Pinnacle Barber Supply	5.49	2026-02-01
Cape Hooks (set of 4)	Fixtures	2	1	online supplier	7.99	2025-08-15
Mirror Cleaner (32 oz spray)	Cleaning	2	1	online supplier	4.99	2026-01-05
