order_id,product_id,quantity,unit_price,line_total,replacement_for
ORDE_d4b4a600,PROD_9e6d49c2,11,16.00,line_total_0,web
ORDE_f3f48369,PROD_38612f6e,28,33.31,line_total_1,mobile
ORDE_a8f1d6c5,PROD_80137e18,45,50.62,line_total_2,api
ORDE_e36d127c,PROD_6b8d285e,62,67.93,line_total_3,import
ORDE_066977a5,PROD_ceb581ec,79,84.24,line_total_4,manual
ORDE_ec2b794d,PROD_b13392fc,96,101.55,line_total_5,referral
ORDE_2e2855cb,PROD_1afe28f6,113,118.86,line_total_6,organic
ORDE_22298470,PROD_ff23839c,130,135.17,line_total_7,paid
ORDE_93906a6c,PROD_a61336a7,147,152.48,line_total_8,email
ORDE_83428c00,PROD_fd2791d2,164,169.79,line_total_9,partner
ORDE_2403512e,PROD_d301bbf0,181,186.10,line_total_10,web
ORDE_3e36223c,PROD_5a967593,198,203.41,line_total_11,mobile
ORDE_9a9b39c0,PROD_f64a40bc,14,220.72,line_total_12,api
ORDE_25fd4193,PROD_cfa323d1,31,237.03,line_total_13,import
ORDE_c71df5f4,PROD_a58e746d,48,254.34,line_total_14,manual
ORDE_39a11014,PROD_1ddfb992,65,271.65,line_total_15,referral
ORDE_637f4830,PROD_dad52110,82,288.96,line_total_16,organic
ORDE_eb3f8234,PROD_3100b72c,99,305.27,line_total_17,paid
ORDE_50ec2914,PROD_00128da5,116,322.58,line_total_18,email
ORDE_22909512,PROD_ca170885,133,339.89,line_total_19,partner
ORDE_1582c1ec,PROD_9715e5fb,150,356.20,line_total_20,web
ORDE_9669b0dc,PROD_1130c581,167,373.51,line_total_21,mobile
ORDE_b4ca822c,PROD_dc4a2cf0,184,390.82,line_total_22,api
ORDE_b0fdfb5c,PROD_0bcfee2d,0,407.13,line_total_23,import
ORDE_5b1c02fc,PROD_32a20ad5,17,424.44,line_total_24,manual
ORDE_1cfb73e1,PROD_cebf310a,34,441.75,line_total_25,referral
