Title	Author	Genre	Format	Started	Finished	Rating	Notes
Hillbilly Elegy	J.D. Vance	Memoir - Rural America	Paperback	2025-11-01	2025-11-20	2/5	Read critically. Oversimplifies structural poverty. Useful for knowing the argument to counter.
Thurgood Marshall: American Revolutionary	Juan Williams	Biography	Hardcover	2025-12-01	2026-01-15	5/5	Essential. Annotated heavily. Inspiration for civil rights litigation strategy.
Just Mercy	Bryan Stevenson	Legal Memoir	Paperback	2024-09-10	2024-09-28	5/5	Third reread. Still the clearest moral map I have for this work.
Poverty and the Law	Peter Edelman	Legal Theory	Hardcover	2025-08-15	2025-10-08	4/5	Dense but essential for housing class action framing.
The House on Mango Street	Sandra Cisneros	Literary Fiction	Paperback	2025-07-04	2025-07-22	4/5	Quiet and devastating. Read for a break from case files.
Appalachian Quilts: Heritage Patterns and Stories	Cuesta Benberry	Crafts - History	Hardcover	2025-06-01	2025-07-01	5/5	Primary reference for Stoneridge Museum commission research.
The New Jim Crow	Michelle Alexander	Legal Theory - Civil Rights	Paperback	2024-03-01	2024-04-10	5/5	Core reading. Referenced in Franklin County case research notes.
Where the Crawdads Sing	Delia Owens	Literary Fiction	Paperback	2025-02-14	2025-03-01	3/5	Good escapism on a hard week.
Braiding Sweetgrass	Robin Wall Kimmerer	Nature - Indigenous Science	Paperback	2024-10-01	2024-11-15	5/5	Bought for Jackie. Read it twice myself.
The Color of Law	Richard Rothstein	History - Housing Policy	Hardcover	2025-01-05	2025-02-20	5/5	Directly cited in Franklin County housing case briefs.
Fair Housing Act Cases and Materials	Robert G. Schwemm	Legal Reference	Hardcover	2026-01-01	2026-02-25	4/5	Working through for disparate impact case law updates.
Educated	Tara Westover	Memoir	Paperback	2024-06-10	2024-07-02	4/5	Resonant. Rural isolation as both protection and prison.
